"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160020 Calçoene";-;1;1;28;39;47;37;58;16;10;17;25;279
"160021 Cutias";-;-;-;-;-;-;1;-;-;-;1;-;2
"160023 Ferreira Gomes";-;-;-;1;13;4;-;-;1;-;-;-;19
"160025 Itaubal";-;-;-;-;-;-;-;-;-;-;1;-;1
"160030 Macapá";43;58;99;135;195;148;179;279;184;84;83;45;1532
"160040 Mazagão";-;-;-;-;-;-;1;1;-;-;-;-;2
"160050 Oiapoque";124;286;85;7;1;1;1;-;16;50;79;18;668
"160015 Pedra Branca do Amapari";-;1;-;-;-;1;-;-;1;-;-;-;3
"160053 Porto Grande";1;9;7;8;8;12;2;9;-;1;1;1;59
"160060 Santana";10;10;11;14;16;22;56;90;53;46;17;9;354
"160005 Serra do Navio";1;1;6;8;16;7;13;41;86;136;3;3;321
"Total";179;366;209;201;288;242;290;478;357;327;202;101;3240
