"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160010 Amapá";-;-;-;-;-;1;-;-;1;-;-;-;2
"160020 Calçoene";16;14;22;11;1;2;3;1;1;1;2;1;75
"160023 Ferreira Gomes";25;33;45;16;4;1;-;-;-;-;-;1;125
"160027 Laranjal do Jari";1;1;-;-;-;-;-;-;-;-;-;-;2
"160030 Macapá";34;102;173;155;120;52;52;72;86;53;27;16;942
"160040 Mazagão";1;3;-;-;-;2;2;-;-;1;-;-;9
"160050 Oiapoque";32;88;133;54;26;9;7;15;13;6;4;4;391
"160015 Pedra Branca do Amapari";9;16;1;28;13;9;6;10;2;7;3;1;105
"160060 Santana";2;9;11;4;15;4;2;4;9;6;4;4;74
"160005 Serra do Navio";1;1;1;11;2;1;-;1;-;-;-;1;19
"160070 Tartarugalzinho";12;24;18;14;-;-;1;1;-;-;-;-;70
"Total";133;291;404;293;181;81;73;104;112;74;40;28;1814
