"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160010 Amapá";-;-;-;-;-;-;-;-;-;-;1;-;1
"160020 Calçoene";4;2;2;-;1;1;1;-;8;24;33;-;76
"160023 Ferreira Gomes";3;-;-;1;7;-;-;-;-;-;-;1;12
"160027 Laranjal do Jari";1;3;73;223;429;107;5;5;3;1;-;1;851
"160030 Macapá";13;11;17;26;23;21;22;27;40;37;50;28;315
"160040 Mazagão";1;-;-;-;-;-;-;-;-;7;10;4;22
"160050 Oiapoque";6;7;2;2;9;3;2;5;89;345;125;19;614
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;-;2;7;41;64;20;134
"160053 Porto Grande";-;1;4;2;3;33;59;12;-;1;-;2;117
"160060 Santana";-;1;2;1;1;-;-;3;2;1;-;7;18
"160005 Serra do Navio";-;2;1;2;3;-;-;3;-;-;1;-;12
"160070 Tartarugalzinho";1;-;-;-;-;-;-;-;-;-;-;-;1
"Total";29;27;101;257;476;165;89;57;149;457;284;82;2173
