"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160010 Amapá";-;-;-;-;-;-;1;-;-;-;-;-;1
"160020 Calçoene";-;-;1;-;-;-;-;-;-;-;-;-;1
"160023 Ferreira Gomes";22;12;17;7;2;4;2;-;-;-;-;-;66
"160027 Laranjal do Jari";4;23;36;58;30;3;3;-;-;-;-;-;157
"160030 Macapá";35;40;43;49;24;24;26;45;22;19;14;14;355
"160040 Mazagão";-;-;-;-;-;-;-;1;3;5;4;3;16
"160050 Oiapoque";-;1;-;-;-;1;-;-;-;-;-;-;2
"160015 Pedra Branca do Amapari";-;2;14;20;3;-;-;-;1;28;10;-;78
"160060 Santana";3;5;3;6;4;2;4;6;4;4;1;4;46
"160005 Serra do Navio";1;-;2;-;-;1;1;4;2;-;-;1;12
"160070 Tartarugalzinho";1;7;12;-;-;-;-;1;-;-;-;2;23
"160080 Vitória do Jari";-;-;-;2;1;-;-;1;-;-;-;-;4
"Total";66;90;128;142;64;35;37;58;32;56;29;24;761
