"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160020 Calçoene";-;-;-;-;-;-;-;-;-;-;-;1;1
"160023 Ferreira Gomes";-;-;-;-;-;-;-;-;-;-;1;-;1
"160025 Itaubal";-;1;-;-;-;-;-;-;-;-;-;-;1
"160030 Macapá";92;67;74;62;22;7;10;12;11;25;49;59;490
"160040 Mazagão";1;-;2;2;-;1;-;-;-;-;-;2;8
"160050 Oiapoque";24;25;20;27;29;4;2;6;39;173;203;23;575
"160053 Porto Grande";-;-;-;12;10;8;-;-;-;1;-;1;32
"160060 Santana";12;12;19;14;7;14;5;3;2;1;-;2;91
"160005 Serra do Navio";1;-;-;-;-;-;-;-;-;-;-;-;1
"Total";130;105;115;117;68;34;17;21;52;200;253;88;1200
