"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160010 Amapá";-;-;-;4;-;-;-;-;-;-;-;-;4
"160020 Calçoene";-;1;2;-;6;2;-;-;-;-;-;-;11
"160023 Ferreira Gomes";24;19;11;4;4;2;1;1;1;-;2;3;72
"160025 Itaubal";-;-;1;-;-;-;-;-;-;-;-;-;1
"160027 Laranjal do Jari";3;2;2;4;9;3;-;-;-;1;-;-;24
"160030 Macapá";56;65;53;52;31;17;13;14;17;20;14;24;376
"160040 Mazagão";-;-;1;-;-;-;-;-;-;-;-;-;1
"160050 Oiapoque";40;59;83;22;16;7;-;-;-;2;-;1;230
"160015 Pedra Branca do Amapari";16;14;7;2;2;1;-;-;-;-;-;-;42
"160053 Porto Grande";-;1;4;1;12;4;4;1;1;-;-;-;28
"160060 Santana";11;14;11;10;12;-;-;1;3;-;6;-;68
"160005 Serra do Navio";3;-;3;5;13;6;4;2;-;2;1;-;39
"160070 Tartarugalzinho";10;11;-;-;-;-;-;-;-;-;-;-;21
"Total";163;186;178;104;105;42;22;19;22;25;23;28;917
