Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	27.241	22.976	3,32	3,33	2.229,460	24.674,98	4.426,570	20,41
Cacoal (Município) (110004)	24.249	19.416	3,24	3,19	1.938,340	24.668,96	3.792,950	20,72
Jaru (Município) (110011)	15.946	10.967	3,26	3,20	1.302,520	25.046,01	2.944,130	17,66
Ji-Paraná (Município) (110012)	35.652	32.278	3,27	3,25	3.031,040	25.992,99	6.896,650	16,91
Porto Velho (Município) (110020)	117.142	108.175	3,66	3,61	14.856,300	34.668,30	34.090,960	12,57
Rolim de Moura (Município) (110028)	15.841	13.010	3,20	3,18	1.025,700	20.251,46	1.457,890	34,74
Vilhena (Município) (110030)	23.618	22.367	3,23	3,23	2.364,220	31.025,76	11.699,150	6,51
Cruzeiro do Sul (Município) (120020)	18.617	13.546	4,22	4,08	1.259,620	16.044,74	8.779,400	8,94
Rio Branco (Município) (120040)	94.407	87.419	3,56	3,53	8.373,950	24.919,64	8.834,940	38,04
Careiro da Várzea (Município) (130115)	5.760	260	4,15	3,85	307,170	12.836,08	2.627,470	9,11
Coari (Município) (130120)	15.248	10.458	4,98	4,75	3.265,370	42.985,15	57.970,770	1,31
Humaitá (Município) (130170)	9.863	7.050	4,48	4,33	355,400	8.035,92	33.111,160	1,34
Iranduba (Município) (130185)	9.834	6.840	4,15	4,24	500,630	12.276,09	2.216,820	18,40
Itacoatiara (Município) (130190)	19.943	13.415	4,35	4,34	1.388,030	15.983,90	8.891,910	9,77
Manacapuru (Município) (130250)	18.224	13.044	4,67	4,61	1.057,700	12.422,96	7.336,580	11,61
Manaus (Município) (130260)	461.605	459.138	3,90	3,90	81.959,260	45.482,03	11.401,090	158,06
Manicoré (Município) (130270)	9.578	4.343	4,91	4,69	410,790	8.736,97	48.315,020	0,97
Maués (Município) (130290)	10.045	5.155	5,20	5,01	443,720	8.494,57	39.991,070	1,31
Novo Airão (Município) (130320)	3.181	2.101	4,63	4,52	120,640	8.193,98	37.805,260	0,39
Parintins (Município) (130340)	20.849	14.454	4,89	4,84	944,810	9.259,86	5.956,370	17,13
