Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	7,90	0,00	4,64	0,00	2,37	0,00	467	46,11
Cacoal (Município) (110004)	21,55	0,00	6,29	0,00	0,82	0,00	399	46,47
Jaru (Município) (110011)	10,07	0,00	16,55	0,00	3,06	0,00	331	59,54
Ji-Paraná (Município) (110012)	23,98	0,00	43,12	0,00	1,25	0,00	652	50,93
Porto Velho (Município) (110020)	5,57	0,00	1,77	0,25	4,19	0,00	1.391	28,68
Rolim de Moura (Município) (110028)	61,96	0,00	34,32	0,00	0,36	0,00	389	70,27
Vilhena (Município) (110030)	13,11	0,00	5,47	0,00	1,14	0,00	650	74,09
Cruzeiro do Sul (Município) (120020)	132,00	0,00	0,25	0,12	24,63	0,00	793	98,66
Rio Branco (Município) (120040)	2,35	0,00	0,87	0,53	0,45	0,00	661	18,51
Careiro da Várzea (Município) (130115)	1,50	0,00	0,37	0,00	0,00	0,00	5	1,87
Coari (Município) (130120)	25,95	0,00	0,37	0,00	2,09	0,00	305	37,50
Humaitá (Município) (130170)	8,55	0,00	0,00	0,00	0,81	0,00	212	43,14
Iranduba (Município) (130185)	23,37	0,00	0,22	0,00	1,12	0,00	129	28,99
Itacoatiara (Município) (130190)	17,93	0,00	0,64	0,00	0,32	0,00	352	37,34
Manacapuru (Município) (130250)	23,42	0,00	0,54	0,22	0,22	0,00	374	40,74
Manaus (Município) (130260)	8,34	0,00	2,04	0,14	0,64	0,01	7.989	40,30
Manicoré (Município) (130270)	20,26	0,00	0,00	0,00	0,58	0,00	65	12,66
Maués (Município) (130290)	10,58	0,00	0,87	0,17	0,35	0,00	157	27,23
Novo Airão (Município) (130320)	7,18	0,00	0,00	0,00	1,79	0,00	25	14,95
Parintins (Município) (130340)	12,09	0,00	0,00	0,27	0,55	0,00	315	28,84
Presidente Figueiredo (Município) (130353)	11,30	0,00	1,61	0,00	1,29	0,00	149	48,10
Rio Preto da Eva (Município) (130356)	7,24	0,00	0,34	0,00	0,69	0,00	55	18,97
Tabatinga (Município) (130406)	3,43	0,00	1,03	0,00	0,69	0,00	107	18,35
Tefé (Município) (130420)	13,04	0,00	4,29	0,32	2,23	0,00	170	27,03
Boa Vista (Município) (140010)	9,03	0,00	0,91	0,00	6,63	0,00	1.411	45,66
Abaetetuba (Município) (150010)	78,84	0,00	9,37	0,20	0,14	0,00	679	46,11
Acará (Município) (150020)	32,20	0,00	0,74	0,19	0,00	0,00	179	33,13
Alenquer (Município) (150040)	116,78	0,00	0,19	0,00	0,56	0,00	704	130,29
Altamira (Município) (150060)	159,84	0,00	35,77	0,10	1,05	0,00	2.089	198,75
Ananindeua (Município) (150080)	53,50	0,00	3,64	0,16	0,04	0,02	3.429	69,42
Barcarena (Município) (150130)	26,73	0,00	4,18	0,00	0,18	0,00	651	59,20
Belém (Município) (150140)	25,85	0,00	0,58	0,18	0,04	0,00	2.834	19,87
Benevides (Município) (150150)	20,14	0,00	0,71	0,18	0,00	0,00	114	20,32
Bragança (Município) (150170)	93,87	0,00	8,51	0,08	0,00	0,00	1.762	148,47
Breu Branco (Município) (150178)	23,43	0,00	0,52	0,00	0,34	0,00	157	27,05
Breves (Município) (150180)	43,55	0,00	1,76	0,21	1,14	0,00	718	74,45
Cametá (Município) (150210)	56,36	0,00	2,75	0,08	0,31	0,00	592	46,47
Capanema (Município) (150220)	80,77	0,00	2,75	0,00	0,15	0,00	571	87,18
Capitão Poço (Município) (150230)	228,03	0,00	2,28	0,00	0,00	0,00	322	61,29
Castanhal (Município) (150240)	21,97	0,00	1,25	0,16	0,05	0,00	928	50,46
Dom Eliseu (Município) (150293)	140,10	0,00	13,55	0,00	0,18	0,00	308	56,41
Igarapé-Miri (Município) (150330)	106,97	0,00	1,01	0,00	0,34	0,00	430	72,09
Ipixuna do Pará (Município) (150345)	94,31	0,00	1,28	0,18	0,00	0,00	485	88,81
Itaituba (Município) (150360)	64,35	0,00	3,66	0,10	6,81	0,00	1.296	131,76
Itupiranga (Município) (150370)	36,36	0,00	7,54	0,00	0,19	0,00	125	24,17
Jacundá (Município) (150380)	161,10	0,00	20,41	0,00	2,39	0,00	205	37,70
Juruti (Município) (150390)	3,11	0,00	3,69	0,00	0,00	0,00	75	14,57
Marabá (Município) (150420)	4,05	0,00	0,32	0,00	0,04	0,00	460	18,26
Marituba (Município) (150442)	16,24	0,00	1,02	0,17	0,00	0,00	646	54,93
Moju (Município) (150470)	44,67	0,00	0,67	0,13	0,00	0,00	358	47,88
Monte Alegre (Município) (150480)	51,83	0,00	5,17	0,00	0,53	0,00	245	43,64
Novo Repartimento (Município) (150506)	34,29	0,00	1,33	0,00	0,00	0,00	217	32,08
Óbidos (Município) (150510)	126,77	0,00	3,19	0,00	0,20	0,00	482	96,07
Oriximiná (Município) (150530)	30,38	0,00	7,33	0,75	0,30	0,00	183	27,39
Paragominas (Município) (150550)	9,44	0,00	0,39	0,10	0,00	0,00	338	32,57
Parauapebas (Município) (150553)	3,28	0,00	0,62	0,00	0,06	0,06	376	21,29
Portel (Município) (150580)	29,77	0,00	1,78	0,00	0,36	0,00	162	28,88
Redenção (Município) (150613)	47,08	0,00	2,91	0,00	0,38	0,00	506	64,04
Rondon do Pará (Município) (150618)	303,52	0,00	5,72	0,00	0,20	0,00	397	81,09
Santa Bárbara do Pará (Município) (150635)	8,01	0,00	0,53	0,00	0,53	0,00	36	19,21
Santa Izabel do Pará (Município) (150650)	166,79	0,00	5,00	0,16	0,31	0,00	214	33,45
Santana do Araguaia (Município) (150670)	82,34	0,00	7,46	0,00	0,16	0,00	310	49,18
Santarém (Município) (150680)	12,03	0,00	1,28	0,66	1,07	0,00	1.352	46,87
São Félix do Xingu (Município) (150730)	41,80	0,00	7,48	0,00	0,65	0,00	415	38,81
São Miguel do Guamá (Município) (150760)	33,81	0,00	0,92	0,00	0,00	0,00	144	26,46
Tailândia (Município) (150795)	12,26	0,00	0,44	0,00	0,00	0,00	198	21,87
Tomé-Açu (Município) (150800)	46,01	0,00	5,92	0,00	0,17	0,00	226	38,23
Tucuruí (Município) (150810)	2,80	0,00	0,29	0,00	0,29	0,00	124	11,97
Ulianópolis (Município) (150812)	126,47	0,00	3,00	0,00	0,20	0,00	731	146,28
Vigia (Município) (150820)	82,71	0,00	2,40	0,00	1,60	0,00	160	31,96
Viseu (Município) (150830)	134,25	0,00	17,15	0,00	0,00	0,00	345	59,15
Macapá (Município) (160030)	8,35	0,02	1,19	0,39	1,35	0,00	2.102	48,07
Santana (Município) (160060)	13,59	0,00	1,19	0,55	1,10	0,00	889	81,64
Araguaína (Município) (170210)	17,86	0,00	0,61	0,06	0,00	0,00	717	43,69
Gurupi (Município) (170950)	13,57	0,00	0,49	0,00	0,00	0,00	281	34,36
Paraíso do Tocantins (Município) (171610)	12,36	0,00	2,51	0,00	0,00	0,00	418	87,59
Porto Nacional (Município) (171820)	28,15	0,00	2,72	0,00	0,00	0,00	460	89,32
Palmas (Município) (172100)	9,73	0,00	1,16	0,04	0,12	0,00	730	28,31
Açailândia (Município) (210005)	36,09	0,00	1,86	0,00	0,28	0,00	490	45,46
Alcântara (Município) (210020)	23,56	0,00	0,46	0,00	0,00	0,00	8	3,70
Bacabal (Município) (210120)	33,97	0,00	1,08	0,00	0,00	0,00	668	65,59
Balsas (Município) (210140)	66,09	0,00	2,92	0,00	0,11	0,00	975	109,40
Barra do Corda (Município) (210160)	50,58	0,00	0,71	0,00	0,59	0,00	329	38,70
