Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	280,44	4,89	2.758,05	0,00	711.311,05	714.069,10	6,84
Cacoal (Município) (110004)	455,00	182,00	706.388,53	0,00	0,00	706.388,53	8,10
Jaru (Município) (110011)	415,19	0,00	2.991,59	0,00	838.217,37	841.208,96	15,09
Ji-Paraná (Município) (110012)	382,87	0,00	2.243,69	0,00	1.434.283,16	1.436.526,85	11,01
Porto Velho (Município) (110020)	938,12	70,17	3.388.770,20	0,00	564.207,65	3.952.977,85	7,86
Rolim de Moura (Município) (110028)	246,44	0,00	10.984,92	0,00	0,00	10.984,92	0,20
Vilhena (Município) (110030)	486,00	0,00	0,00	0,00	0,00	0,00	0,00
Cruzeiro do Sul (Município) (120020)	188,41	0,00	0,00	0,00	171.661,55	171.661,55	2,11
Rio Branco (Município) (120040)	1.139,44	533,47	0,00	0,00	11.383.073,16	11.383.073,16	30,72
Careiro da Várzea (Município) (130115)	9,25	0,00	31.736,72	0,00	0,00	31.736,72	1,13
Coari (Município) (130120)	-	-	-	-	-	-	-
Humaitá (Município) (130170)	-	-	-	-	-	-	-
Iranduba (Município) (130185)	-	-	-	-	-	-	-
Itacoatiara (Município) (130190)	-	-	-	-	-	-	-
Manacapuru (Município) (130250)	65,00	0,00	0,00	0,00	0,00	0,00	0,00
Manaus (Município) (130260)	3.625,08	480,07	36.049.632,85	0,00	0,00	36.049.632,85	17,52
Manicoré (Município) (130270)	54,00	0,00	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	-	-	-	-	-	-	-
Novo Airão (Município) (130320)	63,20	0,00	0,00	117.476,12	0,00	117.476,12	6,65
Parintins (Município) (130340)	180,00	0,00	0,00	0,00	0,00	0,00	0,00
Presidente Figueiredo (Município) (130353)	40,80	19,57	0,00	0,00	0,00	0,00	0,00
Rio Preto da Eva (Município) (130356)	-	-	-	-	-	-	-
Tabatinga (Município) (130406)	78,53	0,00	21.436,35	0,00	0,00	21.436,35	0,35
Tefé (Município) (130420)	-	-	-	-	-	-	-
Boa Vista (Município) (140010)	1.395,21	712,26	7.689.075,28	0,00	61.671.828,09	69.360.903,37	216,27
Abaetetuba (Município) (150010)	165,86	0,00	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	40,00	0,00	0,00	241.590,36	0,00	241.590,36	4,47
Alenquer (Município) (150040)	51,00	0,00	0,00	0,00	314.836,53	314.836,53	5,76
Altamira (Município) (150060)	79,00	0,00	0,00	0,00	1.143.885,19	1.143.885,19	10,55
Ananindeua (Município) (150080)	417,00	21,20	0,00	5.532.351,51	1.953.191,82	7.485.543,33	14,81
Barcarena (Município) (150130)	121,92	40,00	0,00	9.712.010,10	0,00	9.712.010,10	83,88
Belém (Município) (150140)	2.255,18	381,00	12.629.189,27	886.606,97	16.554.029,86	30.069.826,10	20,89
Benevides (Município) (150150)	-	-	-	-	-	-	-
Bragança (Município) (150170)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	0,00	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	0,00	0,00	0,00	1.224.747,82	1.224.747,82	12,47
Cametá (Município) (150210)	76,18	0,00	146.954,53	0,00	0,00	146.954,53	1,12
Capanema (Município) (150220)	118,00	0,00	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	384,00	212,00	0,00	0,00	1.080.258,65	1.080.258,65	5,69
Dom Eliseu (Município) (150293)	40,00	0,00	0,00	0,00	774.620,98	774.620,98	13,73
Igarapé-Miri (Município) (150330)	65,00	0,00	0,00	0,00	930.033,95	930.033,95	15,41
Ipixuna do Pará (Município) (150345)	-	-	-	-	-	-	-
Itaituba (Município) (150360)	58,00	0,00	0,00	0,00	2.585.561,76	2.585.561,76	26,26
Itupiranga (Município) (150370)	9,00	0,00	0,00	0,00	0,00	0,00	0,00
Jacundá (Município) (150380)	37,00	0,00	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	-	-	-	-	-	-	-
Marabá (Município) (150420)	235,00	0,00	0,00	0,00	25.624.290,93	25.624.290,93	97,77
Marituba (Município) (150442)	377,90	0,00	0,00	0,00	2.843.685,08	2.843.685,08	23,14
Moju (Município) (150470)	25,00	0,00	0,00	0,00	1.505.390,16	1.505.390,16	19,45
Monte Alegre (Município) (150480)	56,00	0,00	0,00	0,00	2.099.533,26	2.099.533,26	37,28
Novo Repartimento (Município) (150506)	30,00	0,00	0,00	0,00	0,00	0,00	0,00
Óbidos (Município) (150510)	66,00	0,00	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	285,00	0,00	0,00	281.784,58	1.776.453,98	2.058.238,56	29,82
Paragominas (Município) (150550)	199,00	16,90	917.744,72	5.457.852,05	0,00	6.375.596,77	59,58
Parauapebas (Município) (150553)	-	-	-	-	-	-	-
Portel (Município) (150580)	22,00	0,00	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	240,52	0,00	2.878.395,62	0,00	0,00	2.878.395,62	35,63
Rondon do Pará (Município) (150618)	-	-	-	-	-	-	-
Santa Bárbara do Pará (Município) (150635)	47,00	0,50	0,00	0,00	0,00	0,00	0,00
Santa Izabel do Pará (Município) (150650)	-	-	-	-	-	-	-
Santana do Araguaia (Município) (150670)	55,41	0,00	35.969,18	0,00	0,00	35.969,18	0,54
Santarém (Município) (150680)	361,00	0,00	0,00	0,00	17.679.785,45	17.679.785,45	60,44
São Félix do Xingu (Município) (150730)	7,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	52,54	0,00	0,00	0,00	0,00	0,00	0,00
Tailândia (Município) (150795)	50,00	0,00	0,00	0,00	0,00	0,00	0,00
Tomé-Açu (Município) (150800)	93,00	0,00	0,00	549.113,96	0,00	549.113,96	9,08
Tucuruí (Município) (150810)	155,00	0,00	0,00	0,00	0,00	0,00	0,00
Ulianópolis (Município) (150812)	49,00	0,10	0,00	0,00	0,00	0,00	0,00
Vigia (Município) (150820)	35,00	0,00	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	20,00	0,00	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	707,86	89,29	127.165,83	0,00	544.496,49	671.662,32	1,47
Santana (Município) (160060)	155,06	9,42	200.924,47	0,00	1.311.497,29	1.512.421,76	13,48
Araguaína (Município) (170210)	1.137,70	183,07	36.601.456,24	0,00	0,00	36.601.456,24	215,07
Gurupi (Município) (170950)	511,37	136,07	7.321.174,51	0,00	0,00	7.321.174,51	87,46
Paraíso do Tocantins (Município) (171610)	288,86	28,34	17.939.166,87	0,00	0,00	17.939.166,87	365,54
Porto Nacional (Município) (171820)	507,00	249,92	9.789.201,13	0,00	0,00	9.789.201,13	187,60
Palmas (Município) (172100)	1.642,00	936,00	91.489.672,28	0,00	0,00	91.489.672,28	335,46
Açailândia (Município) (210005)	95,00	0,00	848.694,78	0,00	0,00	848.694,78	7,74
Alcântara (Município) (210020)	12,83	0,00	0,00	0,00	0,00	0,00	0,00
Bacabal (Município) (210120)	177,00	29,01	282.140,86	0,00	0,00	282.140,86	2,75
Balsas (Município) (210140)	158,49	0,00	52.505,39	0,00	0,00	52.505,39	0,57
Barra do Corda (Município) (210160)	105,19	0,00	0,00	0,00	0,00	0,00	0,00
Barreirinhas (Município) (210170)	46,40	11,74	0,00	0,00	0,00	0,00	0,00
Buriticupu (Município) (210232)	52,79	0,00	0,00	0,00	0,00	0,00	0,00
Caxias (Município) (210300)	366,00	59,05	1.423.392,59	0,00	0,00	1.423.392,59	8,83
Chapadinha (Município) (210320)	71,96	0,00	1.052.019,52	0,00	0,00	1.052.019,52	13,54
Codó (Município) (210330)	286,00	35,00	1.054.943,86	0,00	0,00	1.054.943,86	8,77
Coroatá (Município) (210360)	98,08	0,00	256.316,88	0,00	0,00	256.316,88	4,02
Grajaú (Município) (210480)	54,00	0,00	0,00	0,00	0,00	0,00	0,00
Imperatriz (Município) (210530)	543,22	112,98	929,33	0,00	0,00	929,33	0,00
Itapecuru Mirim (Município) (210540)	54,15	0,00	0,00	0,00	0,00	0,00	0,00
Paço do Lumiar (Município) (210750)	360,00	74,00	5.144.357,82	0,00	0,00	5.144.357,82	43,64
Pinheiro (Município) (210860)	77,20	0,00	0,00	0,00	0,00	0,00	0,00
Raposa (Município) (210945)	-	-	-	-	-	-	-
Santa Inês (Município) (210990)	153,05	0,00	0,00	0,00	0,00	0,00	0,00
Santa Luzia (Município) (211000)	31,82	0,00	0,00	0,00	0,00	0,00	0,00
São José de Ribamar (Município) (211120)	336,00	55,00	7.104.112,47	0,00	0,00	7.104.112,47	40,77
São Luís (Município) (211130)	1.962,00	875,00	85.531.619,39	0,00	0,00	85.531.619,39	79,65
Timon (Município) (211220)	435,00	0,00	14.857.408,46	0,00	0,00	14.857.408,46	90,12
Tutóia (Município) (211250)	11,62	0,00	59.244,49	0,00	0,00	59.244,49	1,03
Vargem Grande (Município) (211270)	57,04	0,00	0,00	0,00	0,00	0,00	0,00
Viana (Município) (211280)	-	-	-	-	-	-	-
Zé Doca (Município) (211400)	30,69	0,00	0,00	0,00	0,00	0,00	0,00
Altos (Município) (220040)	26,52	10,38	0,00	0,00	0,00	0,00	0,00
Beneditinos (Município) (220160)	20,12	0,00	0,00	0,00	0,00	0,00	0,00
Coivaras (Município) (220273)	32,00	0,00	0,00	71.131,03	0,00	71.131,03	18,10
Curralinhos (Município) (220325)	-	-	-	-	-	-	-
Demerval Lobão (Município) (220330)	32,64	0,00	0,00	0,00	0,00	0,00	0,00
Floriano (Município) (220390)	217,87	6,50	1.365.004,46	0,00	0,00	1.365.004,46	23,21
José de Freitas (Município) (220550)	49,38	0,00	0,00	0,00	0,00	0,00	0,00
Lagoa Alegre (Município) (220555)	17,56	0,00	0,00	0,00	0,00	0,00	0,00
Lagoa do Piauí (Município) (220558)	-	-	-	-	-	-	-
Miguel Leão (Município) (220630)	28,00	0,00	0,00	0,00	0,00	0,00	0,00
Monsenhor Gil (Município) (220640)	30,15	0,00	0,00	0,00	0,00	0,00	0,00
Nazária (Município) (220672)	6,31	0,00	0,00	0,00	0,00	0,00	0,00
Parnaíba (Município) (220770)	245,53	164,94	7.093.458,31	0,00	0,00	7.093.458,31	47,35
Pau D'Arco do Piauí (Município) (220779)	-	-	-	-	-	-	-
Picos (Município) (220800)	118,64	51,47	721.001,04	0,00	0,00	721.001,04	9,42
Piripiri (Município) (220840)	177,59	0,00	2.261.907,36	0,00	0,00	2.261.907,36	36,10
Teresina (Município) (221100)	1.619,10	481,57	2.600.574,16	3.198.957,92	0,00	5.799.532,09	6,87
União (Município) (221110)	66,38	0,00	5.364.344,09	0,00	0,00	5.364.344,09	123,02
Acaraú (Município) (230020)	96,96	21,30	15.096,54	0,00	0,00	15.096,54	0,25
Acopiara (Município) (230030)	44,42	23,81	118.557,13	0,00	0,00	118.557,13	2,23
