Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	165,16	9,06	9.368.710,30	0,00	0,00	9.368.710,30	87,28
Cacoal (Município) (110004)	528,00	228,00	171.057,71	0,00	0,00	171.057,71	1,93
Jaru (Município) (110011)	417,18	0,00	5.040.301,71	0,00	2.325.199,49	7.365.501,20	131,83
Ji-Paraná (Município) (110012)	412,66	0,00	30.136.006,50	0,00	1.879.529,11	32.015.535,61	241,32
Porto Velho (Município) (110020)	939,14	70,17	23.502.437,96	0,00	18.353.453,72	41.855.891,68	80,58
Rolim de Moura (Município) (110028)	568,15	0,00	3.423.538,18	0,00	0,00	3.423.538,18	59,98
Vilhena (Município) (110030)	524,00	0,00	179.350,65	0,00	0,00	179.350,65	1,88
Cruzeiro do Sul (Município) (120020)	188,41	0,00	0,00	0,00	740.225,34	740.225,34	8,96
Rio Branco (Município) (120040)	1.139,57	534,32	0,00	0,00	11.593.463,29	11.593.463,29	30,24
Careiro da Várzea (Município) (130115)	9,17	0,00	20.393,65	0,00	0,00	20.393,65	0,70
Coari (Município) (130120)	-	-	-	-	-	-	-
Humaitá (Município) (130170)	-	-	-	-	-	-	-
Iranduba (Município) (130185)	-	-	-	-	-	-	-
Itacoatiara (Município) (130190)	-	-	-	-	-	-	-
Manacapuru (Município) (130250)	123,00	0,00	0,00	0,00	0,00	0,00	0,00
Manaus (Município) (130260)	3.765,78	529,20	101.566.213,86	0,00	0,00	101.566.213,86	47,68
Manicoré (Município) (130270)	62,00	0,00	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	-	-	-	-	-	-	-
Novo Airão (Município) (130320)	73,00	0,00	0,00	139.218,28	0,00	139.218,28	7,49
Parintins (Município) (130340)	180,00	0,00	0,00	0,00	0,00	0,00	0,00
Presidente Figueiredo (Município) (130353)	50,00	50,00	0,00	0,00	0,00	0,00	0,00
Rio Preto da Eva (Município) (130356)	-	-	-	-	-	-	-
Tabatinga (Município) (130406)	78,53	0,00	32.361,03	0,00	0,00	32.361,03	0,51
Tefé (Município) (130420)	60,00	0,00	0,00	0,00	0,00	0,00	0,00
Boa Vista (Município) (140010)	1.403,96	882,83	6.047.070,85	0,00	106.611.763,99	112.658.834,84	339,31
Abaetetuba (Município) (150010)	69,00	0,00	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	-	-	-	-	-	-	-
Alenquer (Município) (150040)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Altamira (Município) (150060)	195,92	192,92	0,00	0,00	0,00	0,00	0,00
Ananindeua (Município) (150080)	438,04	32,00	0,00	0,00	1.068.993,37	1.068.993,37	2,07
Barcarena (Município) (150130)	171,08	50,43	0,00	0,00	0,00	0,00	0,00
Belém (Município) (150140)	2.127,00	294,00	11.860.482,84	0,00	30.925.331,52	42.785.814,35	29,46
Benevides (Município) (150150)	-	-	-	-	-	-	-
Bragança (Município) (150170)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	0,00	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	0,00	0,00	0,00	1.391.468,39	1.391.468,39	13,93
Cametá (Município) (150210)	82,25	0,00	51.825,19	0,00	0,00	51.825,19	0,39
Capanema (Município) (150220)	118,00	0,00	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	384,00	231,10	0,00	2.824.641,33	0,00	2.824.641,33	14,47
Dom Eliseu (Município) (150293)	152,00	0,00	430.251,91	0,00	0,00	430.251,91	7,41
Igarapé-Miri (Município) (150330)	65,00	0,00	0,00	0,00	0,00	0,00	0,00
Ipixuna do Pará (Município) (150345)	-	-	-	-	-	-	-
Itaituba (Município) (150360)	58,00	0,00	0,00	0,00	5.932.870,46	5.932.870,46	60,22
Itupiranga (Município) (150370)	19,00	12,00	0,00	0,00	0,00	0,00	0,00
Jacundá (Município) (150380)	37,00	0,00	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	-	-	-	-	-	-	-
Marabá (Município) (150420)	235,00	35,85	0,00	0,00	17.004.587,54	17.004.587,54	62,61
Marituba (Município) (150442)	91,07	0,00	0,00	0,00	372.668,14	372.668,14	2,91
Moju (Município) (150470)	25,00	0,00	0,00	0,00	7.569.194,35	7.569.194,35	94,82
Monte Alegre (Município) (150480)	56,00	0,00	0,00	0,00	1.591.663,70	1.591.663,70	28,19
Novo Repartimento (Município) (150506)	-	-	-	-	-	-	-
Óbidos (Município) (150510)	66,00	0,00	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	415,00	0,00	0,00	226.244,63	1.105.958,16	1.332.202,79	18,74
Paragominas (Município) (150550)	250,00	21,45	236.812,45	4.259.126,80	0,00	4.495.939,25	40,86
Parauapebas (Município) (150553)	774,95	49,00	740.093,55	0,00	0,00	740.093,55	3,66
Portel (Município) (150580)	22,00	0,00	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	284,00	25,00	942.174,64	0,00	0,00	942.174,64	11,43
Rondon do Pará (Município) (150618)	203,90	0,00	133.761,52	0,00	0,00	133.761,52	2,63
Santa Bárbara do Pará (Município) (150635)	50,00	0,50	0,00	0,00	0,00	0,00	0,00
Santa Izabel do Pará (Município) (150650)	-	-	-	-	-	-	-
Santana do Araguaia (Município) (150670)	59,00	0,00	39.918,69	0,00	0,00	39.918,69	0,56
Santarém (Município) (150680)	361,00	60,94	0,00	0,00	173.570,16	173.570,16	0,59
São Félix do Xingu (Município) (150730)	7,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	120,00	0,00	0,00	0,00	0,00	0,00	0,00
Tailândia (Município) (150795)	50,00	0,00	0,00	0,00	0,00	0,00	0,00
Tomé-Açu (Município) (150800)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Tucuruí (Município) (150810)	160,40	0,00	0,00	0,00	0,00	0,00	0,00
