Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	105.896	105.896	89.689	4.426,570	103.742	87.535	97,6%	98,0%
Cacoal (Município) (110004)	87.877	87.877	69.252	3.792,950	48.127	29.502	42,6%	54,8%
Jaru (Município) (110011)	55.806	55.806	37.685	2.944,130	55.806	37.685	100,0%	100,0%
Ji-Paraná (Município) (110012)	131.560	131.560	118.301	6.896,650	131.560	118.301	100,0%	100,0%
Porto Velho (Município) (110020)	511.219	511.219	466.132	34.090,960	493.903	450.370	96,6%	96,6%
Rolim de Moura (Município) (110028)	56.664	56.664	46.350	1.457,890	55.194	44.880	96,8%	97,4%
Vilhena (Município) (110030)	93.745	93.745	88.844	11.699,150	93.745	88.844	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	82.075	82.075	57.840	8.779,400	82.075	57.840	100,0%	100,0%
Rio Branco (Município) (120040)	377.057	377.057	346.208	8.834,940	294.091	263.242	76,0%	78,0%
Careiro da Várzea (Município) (130115)	28.592	28.592	1.195	2.627,470	28.592	1.195	100,0%	100,0%
Coari (Município) (130120)	83.929	83.929	54.856	57.970,770	-	-	-	-
Humaitá (Município) (130170)	52.354	52.354	36.106	33.111,160	-	-	-	-
Iranduba (Município) (130185)	46.703	46.703	33.187	2.216,820	-	-	-	-
Itacoatiara (Município) (130190)	98.503	98.503	65.969	8.891,910	-	-	-	-
Manacapuru (Município) (130250)	95.330	95.330	67.375	7.336,580	95.330	67.375	100,0%	100,0%
Manaus (Município) (130260)	2.094.391	2.094.391	2.083.776	11.401,090	1.881.143	1.870.528	89,8%	89,8%
Manicoré (Município) (130270)	53.890	53.890	23.324	48.315,020	53.890	23.324	100,0%	100,0%
Maués (Município) (130290)	61.110	61.110	30.220	39.991,070	61.110	30.220	100,0%	100,0%
Novo Airão (Município) (130320)	18.133	18.133	11.699	37.805,260	18.133	11.699	100,0%	100,0%
Parintins (Município) (130340)	112.716	112.716	77.208	5.956,370	112.716	77.208	100,0%	100,0%
Presidente Figueiredo (Município) (130353)	33.703	33.703	16.124	25.412,270	-	-	-	-
Rio Preto da Eva (Município) (130356)	31.274	31.274	14.841	5.815,620	-	-	-	-
Tabatinga (Município) (130406)	62.346	62.346	43.361	3.266,060	62.346	43.361	100,0%	100,0%
Tefé (Município) (130420)	62.230	62.230	50.702	23.692,220	-	-	-	-
Boa Vista (Município) (140010)	326.419	326.419	318.940	5.687,040	141.434	133.955	42,0%	43,3%
Abaetetuba (Município) (150010)	151.934	151.934	89.371	1.610,400	151.934	89.371	100,0%	100,0%
Acará (Município) (150020)	54.080	54.080	12.741	4.343,810	-	-	-	-
Alenquer (Município) (150040)	54.960	54.960	28.951	23.645,450	54.960	28.951	100,0%	100,0%
Altamira (Município) (150060)	109.938	109.938	93.312	159.533,330	72.830	56.204	60,2%	66,2%
Ananindeua (Município) (150080)	510.834	510.834	509.577	190,450	507.006	505.749	99,2%	99,3%
Barcarena (Município) (150130)	118.537	118.537	43.086	1.310,590	106.537	37.086	86,1%	89,9%
Belém (Município) (150140)	1.446.042	1.446.042	1.433.668	1.059,460	1.263.580	1.251.206	87,3%	87,4%
Benevides (Município) (150150)	59.836	59.836	33.494	187,830	-	-	-	-
Bragança (Município) (150170)	122.881	122.881	78.813	2.091,930	122.881	78.813	100,0%	100,0%
Breu Branco (Município) (150178)	62.737	62.737	35.027	3.941,910	51.737	25.027	71,5%	82,5%
Breves (Município) (150180)	99.080	99.080	49.679	9.563,010	99.080	49.679	100,0%	100,0%
Cametá (Município) (150210)	132.515	132.515	57.916	3.081,370	132.515	57.916	100,0%	100,0%
Capanema (Município) (150220)	66.759	66.759	53.219	614,690	66.759	53.219	100,0%	100,0%
Capitão Poço (Município) (150230)	52.768	52.768	21.803	2.899,550	52.768	21.803	100,0%	100,0%
Castanhal (Município) (150240)	192.571	192.571	170.582	1.028,890	107.561	85.572	50,2%	55,9%
