Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	11,47	0,00	7,49	0,19	1,94	0,00	620	60,28
Cacoal (Município) (110004)	13,63	0,00	3,23	1,04	0,35	0,00	324	37,43
Jaru (Município) (110011)	4,85	0,00	5,21	0,18	3,59	0,00	279	50,12
Ji-Paraná (Município) (110012)	24,53	0,00	23,44	0,08	0,46	0,00	823	63,68
Porto Velho (Município) (110020)	5,14	0,00	1,32	0,47	3,70	0,02	1.415	28,64
Rolim de Moura (Município) (110028)	85,29	0,00	12,72	0,36	1,61	0,18	560	100,35
Vilhena (Município) (110030)	29,73	0,00	3,01	0,00	1,00	0,00	660	73,50
Cruzeiro do Sul (Município) (120020)	94,87	0,00	66,71	0,37	25,69	0,00	841	103,89
Rio Branco (Município) (120040)	2,42	0,00	0,47	1,02	0,14	0,00	533	14,65
Careiro da Várzea (Município) (130115)	1,46	0,00	0,00	0,00	0,37	0,00	6	2,19
Coari (Município) (130120)	19,10	0,00	0,12	0,12	1,58	0,00	260	31,63
Humaitá (Município) (130170)	4,78	0,00	0,00	0,20	0,80	0,00	135	26,88
Iranduba (Município) (130185)	17,02	0,00	0,00	0,00	0,88	0,00	247	54,59
Itacoatiara (Município) (130190)	12,22	0,00	4,07	0,00	0,00	0,00	361	37,72
Manacapuru (Município) (130250)	16,24	0,00	0,22	0,00	0,22	0,00	388	41,72
Manaus (Município) (130260)	8,36	0,00	0,49	0,17	0,63	0,00	7.514	37,19
Manicoré (Município) (130270)	9,39	0,00	0,00	0,00	0,00	0,00	60	11,49
Maués (Município) (130290)	9,52	0,00	0,00	0,00	0,17	0,00	197	33,48
Novo Airão (Município) (130320)	8,72	0,00	0,00	0,00	0,58	0,00	15	8,72
Parintins (Município) (130340)	16,94	0,00	0,00	0,00	0,09	0,00	269	24,36
Presidente Figueiredo (Município) (130353)	16,30	0,00	0,31	0,00	0,63	0,00	119	37,30
Rio Preto da Eva (Município) (130356)	12,76	0,00	0,00	0,00	0,00	0,00	123	41,32
Tabatinga (Município) (130406)	4,52	0,00	2,01	0,50	1,01	0,00	153	25,64
Tefé (Município) (130420)	16,92	0,00	3,35	0,00	2,55	0,00	189	30,16
Boa Vista (Município) (140010)	11,53	0,00	0,98	0,03	4,41	0,00	1.328	42,17
Abaetetuba (Município) (150010)	68,45	0,00	2,02	0,20	0,00	0,00	436	29,29
Acará (Município) (150020)	34,60	0,00	1,30	0,00	0,00	0,00	175	32,38
Alenquer (Município) (150040)	94,93	0,00	0,00	0,00	0,37	0,00	468	86,10
Altamira (Município) (150060)	142,18	0,00	24,26	0,00	0,56	0,00	1.459	136,65
Ananindeua (Município) (150080)	49,24	0,00	0,94	0,08	0,00	0,00	3.328	66,59
Barcarena (Município) (150130)	26,21	0,00	1,24	0,09	0,09	0,00	548	48,53
Belém (Município) (150140)	25,38	0,00	0,37	0,24	0,01	0,01	2.883	20,12
Benevides (Município) (150150)	8,36	0,00	0,35	0,17	0,00	0,00	130	22,65
Bragança (Município) (150170)	109,64	0,00	3,58	0,08	0,00	0,00	1.252	104,23
Breu Branco (Município) (150178)	16,76	0,00	0,50	0,00	0,00	0,00	140	23,47
Breves (Município) (150180)	30,30	0,00	0,62	1,34	0,10	0,00	480	49,31
Cametá (Município) (150210)	49,24	0,00	0,54	0,00	0,00	0,00	704	54,51
Capanema (Município) (150220)	66,89	0,00	2,12	0,00	0,00	0,00	548	83,12
Capitão Poço (Município) (150230)	213,81	0,00	0,95	0,00	0,00	0,00	289	54,93
Castanhal (Município) (150240)	23,70	0,00	1,34	0,00	0,05	0,00	1.071	57,30
Dom Eliseu (Município) (150293)	127,54	0,00	13,51	0,00	0,00	0,00	359	64,67
Igarapé-Miri (Município) (150330)	134,67	0,00	0,00	0,17	0,00	0,00	374	62,34
Ipixuna do Pará (Município) (150345)	92,56	0,00	2,12	0,00	0,00	0,00	433	76,48
Itaituba (Município) (150360)	88,21	0,00	5,08	0,00	1,93	0,00	1.250	127,03
Itupiranga (Município) (150370)	30,54	0,00	3,09	0,00	0,00	0,00	154	29,76
Jacundá (Município) (150380)	164,12	0,00	10,69	0,00	0,36	0,00	259	46,92
Juruti (Município) (150390)	4,55	0,00	0,00	0,00	0,00	0,00	33	6,26
Marabá (Município) (150420)	4,51	0,00	0,27	0,04	0,08	0,00	402	15,64
Marituba (Município) (150442)	24,44	0,00	1,25	0,17	0,00	0,00	548	45,55
Moju (Município) (150470)	74,77	0,00	0,13	0,00	0,00	0,00	600	78,85
Monte Alegre (Município) (150480)	52,46	0,00	1,42	0,00	0,18	0,00	219	38,95
Novo Repartimento (Município) (150506)	42,88	0,00	1,15	0,14	0,00	0,00	212	30,61
Óbidos (Município) (150510)	101,16	0,00	0,00	0,00	0,20	0,00	398	79,10
Oriximiná (Município) (150530)	25,32	0,00	9,13	1,62	0,59	0,00	178	26,20
Paragominas (Município) (150550)	11,67	0,00	0,19	0,00	0,00	0,00	299	28,36
Parauapebas (Município) (150553)	3,93	0,00	0,44	0,00	0,05	0,05	485	26,45
Portel (Município) (150580)	27,79	0,00	2,10	0,17	0,17	0,00	133	23,25
Redenção (Município) (150613)	33,03	0,00	1,88	0,13	0,88	0,00	393	49,18
Rondon do Pará (Município) (150618)	308,03	0,00	2,43	0,00	0,00	0,00	432	87,32
Santa Bárbara do Pará (Município) (150635)	7,81	0,00	0,00	0,00	0,00	0,00	31	16,15
Santa Izabel do Pará (Município) (150650)	170,42	0,00	1,53	0,00	0,00	0,00	201	30,80
Santana do Araguaia (Município) (150670)	82,23	0,00	1,08	0,00	0,00	0,00	397	61,02
Santarém (Município) (150680)	11,74	0,00	0,31	0,62	0,65	0,00	1.119	38,52
