Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	165,16	9,06	5.645.963,93	0,00	0,00	5.645.963,93	53,18
Cacoal (Município) (110004)	530,00	228,00	0,00	0,00	0,00	0,00	0,00
Jaru (Município) (110011)	417,18	-	0,00	0,00	1.910.452,98	1.910.452,98	36,79
Ji-Paraná (Município) (110012)	423,89	-	255.049,75	0,00	5.813.782,08	6.068.831,83	47,45
Porto Velho (Município) (110020)	943,02	70,17	5.869.912,63	0,00	21.542.652,84	27.412.565,47	52,76
Rolim de Moura (Município) (110028)	319,18	-	2.740.608,37	0,00	0,00	2.740.608,37	50,10
Vilhena (Município) (110030)	650,00	-	47.040,35	0,00	0,00	47.040,35	0,48
Cruzeiro do Sul (Município) (120020)	188,41	-	0,00	0,00	2.416.011,72	2.416.011,72	27,56
Rio Branco (Município) (120040)	1.147,91	546,27	300.578,56	0,00	22.114.447,23	22.415.025,79	55,88
Careiro da Várzea (Município) (130115)	9,17	-	71.039,39	0,00	0,00	71.039,39	2,40
Coari (Município) (130120)	-	-	0,00	0,00	0,00	0,00	0,00
Humaitá (Município) (130170)	-	-	0,00	0,00	0,00	0,00	0,00
Iranduba (Município) (130185)	-	-	0,00	0,00	0,00	0,00	0,00
Itacoatiara (Município) (130190)	-	-	0,00	0,00	0,00	0,00	0,00
Manacapuru (Município) (130250)	-	-	0,00	0,00	0,00	0,00	0,00
Manaus (Município) (130260)	3.812,23	550,51	212.076.112,02	0,00	0,00	212.076.112,02	98,85
Manicoré (Município) (130270)	62,00	-	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	-	-	0,00	0,00	0,00	0,00	0,00
Novo Airão (Município) (130320)	73,25	-	0,00	119.621,87	0,00	119.621,87	6,30
Parintins (Município) (130340)	-	-	0,00	0,00	0,00	0,00	0,00
Presidente Figueiredo (Município) (130353)	-	-	0,00	0,00	0,00	0,00	0,00
Rio Preto da Eva (Município) (130356)	-	-	0,00	0,00	0,00	0,00	0,00
Tabatinga (Município) (130406)	78,53	-	15.114,02	0,00	0,00	15.114,02	0,23
Tefé (Município) (130420)	-	-	0,00	0,00	0,00	0,00	0,00
Boa Vista (Município) (140010)	1.408,05	948,21	4.986.972,13	0,00	82.090.169,14	87.077.141,27	231,97
Abaetetuba (Município) (150010)	69,00	-	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	-	-	0,00	0,00	0,00	0,00	0,00
Alenquer (Município) (150040)	51,00	-	0,00	0,00	139.061,09	139.061,09	2,46
Altamira (Município) (150060)	195,92	192,92	0,00	0,00	0,00	0,00	0,00
Ananindeua (Município) (150080)	438,04	87,94	0,00	0,00	8.627.274,89	8.627.274,89	16,42
Barcarena (Município) (150130)	179,00	-	6.081.661,83	0,00	0,00	6.081.661,83	49,73
Belém (Município) (150140)	2.127,00	548,75	13.244.158,54	0,00	38.704.654,55	51.948.813,09	34,97
Benevides (Município) (150150)	1.530,00	-	0,00	1.525.735,49	0,00	1.525.735,49	24,73
Bragança (Município) (150170)	97,00	-	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	-	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	-	0,00	0,00	870.378,51	870.378,51	8,54
Cametá (Município) (150210)	82,56	-	122.333,20	0,00	0,00	122.333,20	0,90
Capanema (Município) (150220)	118,00	-	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	-	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	384,00	-	0,00	0,00	593.672,77	593.672,77	2,99
