Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Campinas (Município) (350950)	400.652	394.692	2,91	2,90	64.033,510	55.006,97	794,570	1.465,06
Campo Limpo Paulista (Município) (350960)	25.325	25.330	3,19	3,19	1.800,910	22.275,51	79,400	1.018,19
Campos do Jordão (Município) (350970)	16.460	16.369	3,09	3,09	1.279,320	25.157,63	290,520	175,04
Capivari (Município) (351040)	16.116	15.371	3,30	3,27	1.657,570	31.185,45	322,880	164,62
Caraguatatuba (Município) (351050)	36.801	35.376	3,08	3,07	3.056,460	26.972,67	484,950	233,67
Carapicuíba (Município) (351060)	124.910	124.934	3,14	3,14	5.677,150	14.471,67	34,550	11.355,70
Catanduva (Município) (351110)	42.957	42.649	2,78	2,78	4.091,470	34.244,00	290,600	411,16
Cosmópolis (Município) (351280)	20.516	19.121	3,26	3,24	1.422,690	21.295,58	154,670	431,95
Cotia (Município) (351300)	67.918	67.932	3,38	3,38	11.936,080	51.998,18	323,990	708,49
Cruzeiro (Município) (351340)	26.598	25.924	3,05	3,05	2.164,870	26.699,82	305,700	265,23
Cubatão (Município) (351350)	41.949	41.958	3,03	3,03	16.472,700	129.700,20	142,880	888,91
Diadema (Município) (351380)	134.915	134.943	3,06	3,06	15.325,950	37.160,30	30,730	13.420,15
Embu das Artes (Município) (351500)	78.462	78.477	3,34	3,34	10.563,660	40.353,06	70,400	3.718,59
Embu-Guaçu (Município) (351510)	20.840	20.263	3,23	3,23	1.148,280	17.063,18	155,640	432,38
Fernandópolis (Município) (351550)	25.121	24.345	2,71	2,71	2.064,590	30.308,10	549,800	123,90
Ferraz de Vasconcelos (Município) (351570)	55.650	53.316	3,32	3,31	3.117,760	16.880,15	29,560	6.247,46
Franca (Município) (351620)	112.463	110.567	3,04	3,04	10.374,800	30.325,73	605,680	564,84
Francisco Morato (Município) (351630)	50.541	50.458	3,33	3,33	1.500,790	8.920,35	49,000	3.433,46
Franco da Rocha (Município) (351640)	41.701	40.784	3,50	3,29	2.758,640	18.926,59	132,780	1.097,76
Guararema (Município) (351830)	8.929	7.647	3,17	3,19	1.525,490	53.820,68	270,820	104,66
Guaratinguetá (Município) (351840)	39.314	37.474	3,03	3,03	4.700,830	39.478,59	752,640	158,21
Guarujá (Município) (351870)	97.768	97.773	3,18	3,18	8.969,180	28.818,49	144,790	2.149,47
Guarulhos (Município) (351880)	414.690	414.775	3,19	3,19	59.613,750	44.998,95	318,680	4.157,15
Hortolândia (Município) (351907)	63.712	63.725	3,39	3,39	12.335,680	57.157,51	62,420	3.457,75
Ibitinga (Município) (351960)	19.349	18.533	2,98	2,99	1.411,360	24.481,90	689,390	83,62
Ibiúna (Município) (351970)	24.647	8.609	3,10	3,11	1.671,520	21.869,32	1.058,080	72,24
Indaiatuba (Município) (352050)	70.516	69.883	3,28	3,27	13.035,200	56.421,39	311,550	741,57
Itanhaém (Município) (352210)	32.525	32.217	2,96	2,96	1.700,800	17.675,82	601,710	159,91
Itapecerica da Serra (Município) (352220)	49.214	48.760	3,40	3,40	4.263,000	25.490,90	150,740	1.109,42
Itapetininga (Município) (352230)	48.709	45.160	3,22	3,16	4.873,710	31.039,55	1.789,350	87,75
Itapeva (Município) (352240)	30.618	26.000	3,03	3,01	2.542,130	27.420,20	1.826,260	50,77
Itapevi (Município) (352250)	66.225	66.240	3,37	3,37	12.250,860	54.837,26	82,660	2.702,75
Itapira (Município) (352260)	24.370	22.718	2,99	2,98	3.401,330	46.614,61	518,420	140,75
Itaquaquecetuba (Município) (352310)	103.135	103.157	3,42	3,42	7.181,230	20.354,90	82,620	4.270,06
Itararé (Município) (352320)	17.429	16.074	2,87	2,88	942,110	18.802,66	1.003,860	49,91
Itatiba (Município) (352340)	35.835	30.381	3,16	3,15	5.680,930	50.147,65	322,280	351,51
Itu (Município) (352390)	53.516	50.192	3,12	3,12	8.190,670	49.018,07	640,720	260,79
Itupeva (Município) (352400)	15.293	13.363	3,54	3,52	4.879,410	90.145,72	200,820	269,54
Jaboticabal (Município) (352430)	26.131	25.419	2,90	2,89	2.753,190	36.312,16	706,600	107,30
Jacareí (Município) (352440)	73.832	72.819	3,07	3,07	11.152,980	49.232,03	464,270	487,94
Jaguariúna (Município) (352470)	15.596	15.164	3,33	3,32	9.961,940	191.919,04	141,390	367,12
Jandira (Município) (352500)	37.413	37.420	3,18	3,18	3.508,060	29.521,13	17,450	6.810,25
Jaú (Município) (352530)	47.090	45.809	3,04	3,03	4.518,970	31.538,76	687,100	208,53
Jundiaí (Município) (352590)	136.019	130.654	2,95	2,94	43.784,100	108.943,86	431,210	932,03
Juquitiba (Município) (352620)	10.144	7.728	3,02	3,07	495,190	16.160,61	522,170	58,68
Leme (Município) (352670)	32.163	31.519	3,09	3,09	3.107,360	31.264,90	402,870	246,70
Lençóis Paulista (Município) (352680)	20.891	20.390	3,17	3,17	2.379,840	35.986,68	809,540	81,69
Limeira (Município) (352690)	97.122	94.174	3,05	3,05	11.786,940	39.761,62	580,710	510,48
Lins (Município) (352710)	26.302	26.002	2,89	2,89	4.558,290	59.904,99	570,060	133,48
Lorena (Município) (352720)	28.846	28.079	3,02	3,02	2.304,600	26.435,55	414,160	210,49
Mairiporã (Município) (352850)	26.719	23.730	3,46	3,40	1.735,780	18.801,12	320,700	287,88
Marília (Município) (352900)	79.048	75.657	2,94	2,93	7.758,970	33.442,96	1.170,520	198,21
Matão (Município) (352930)	27.281	26.812	2,99	2,98	3.801,550	46.679,67	524,900	155,15
Mauá (Município) (352940)	144.151	144.182	3,14	3,14	13.410,680	29.585,47	61,910	7.321,81
Mirassol (Município) (353030)	20.088	19.612	2,88	2,88	1.880,550	32.503,49	243,230	237,87
Mococa (Município) (353050)	23.343	21.644	2,95	2,93	1.986,730	28.878,20	855,160	80,45
Mogi das Cruzes (Município) (353060)	133.871	124.040	3,17	3,15	15.909,860	37.467,32	712,540	595,94
Mogi Guaçu (Município) (353070)	48.093	45.802	3,06	3,05	5.434,090	36.908,13	812,750	181,15
Mogi Mirim (Município) (353080)	31.135	29.322	2,94	2,92	4.561,100	49.857,31	497,710	183,81
Mongaguá (Município) (353110)	16.789	16.704	3,13	3,13	966,660	18.415,29	143,210	366,55
Monte Alto (Município) (353130)	17.198	16.471	2,88	2,87	1.791,660	36.227,40	346,950	142,55
Monte Mor (Município) (353180)	16.639	15.646	3,33	3,33	2.669,730	48.182,18	240,570	230,33
Nova Odessa (Município) (353340)	18.205	17.913	3,12	3,12	2.917,560	51.398,14	73,790	769,28
Olímpia (Município) (353390)	18.383	17.372	2,90	2,90	1.945,570	36.461,25	802,560	66,49
Osasco (Município) (353440)	232.167	232.212	2,99	2,99	73.846,100	106.277,24	64,950	10.697,48
Ourinhos (Município) (353470)	37.715	36.851	2,92	2,92	3.071,630	27.852,52	295,820	372,80
Paulínia (Município) (353650)	27.937	27.917	3,50	3,50	28.560,780	292.325,49	138,780	704,02
Penápolis (Município) (353730)	21.747	20.812	2,85	2,85	1.599,300	25.765,60	711,320	87,26
Peruíbe (Município) (353760)	22.208	21.928	2,94	2,94	1.457,170	22.340,37	326,220	199,95
Piedade (Município) (353780)	17.745	8.215	3,08	3,04	1.266,770	23.151,27	746,870	73,26
Pindamonhangaba (Município) (353800)	49.504	47.681	3,24	3,25	7.399,860	46.072,30	730,000	220,02
Piracicaba (Município) (353870)	129.674	127.088	3,02	3,01	23.857,800	60.947,41	1.378,070	284,06
Pirapora do Bom Jesus (Município) (353910)	5.047	5.048	3,50	3,50	330,230	18.714,21	108,490	162,65
Pirassununga (Município) (353930)	25.966	23.873	2,87	2,86	2.603,360	34.903,71	727,120	102,58
Poá (Município) (353980)	35.164	34.631	3,24	3,23	4.840,740	42.539,84	17,260	6.591,35
Porto Feliz (Município) (354060)	16.742	14.161	3,10	3,08	1.698,210	32.703,14	556,710	93,28
Porto Ferreira (Município) (354070)	18.258	17.927	3,00	3,00	1.762,590	32.186,92	244,910	223,60
Praia Grande (Município) (354100)	96.047	96.066	3,12	3,12	7.107,390	23.749,81	149,250	2.005,06
Presidente Prudente (Município) (354140)	78.037	76.921	2,85	2,83	7.792,650	35.071,68	560,640	396,32
Registro (Município) (354260)	18.980	16.912	2,97	2,95	1.898,440	33.732,04	722,200	77,93
Ribeirão Pires (Município) (354330)	38.920	38.927	3,09	3,09	3.213,380	26.690,12	99,080	1.215,20
Ribeirão Preto (Município) (354340)	224.773	224.212	2,96	2,96	31.073,200	46.633,83	650,920	1.023,67
Rio Claro (Município) (354390)	68.694	67.229	2,91	2,90	9.451,780	47.268,12	498,420	401,19
Rio Grande da Serra (Município) (354410)	15.184	15.188	3,18	3,18	599,580	12.413,23	36,340	1.329,13
Salesópolis (Município) (354500)	5.389	3.419	3,10	3,11	215,230	12.897,34	425,000	39,27
Salto (Município) (354520)	36.655	36.420	3,11	3,11	6.586,490	57.689,67	133,060	858,06
Santa Bárbara d'Oeste (Município) (354580)	63.156	62.713	3,01	3,01	5.649,860	29.714,35	271,030	701,54
Santa Isabel (Município) (354680)	17.601	13.804	3,12	3,12	1.641,430	29.884,45	363,330	151,17
Santana de Parnaíba (Município) (354730)	36.354	36.360	3,48	3,48	8.986,650	70.999,17	179,950	703,39
Santo André (Município) (354780)	247.937	247.987	2,86	2,86	28.442,450	40.047,94	175,780	4.040,29
Santos (Município) (354850)	166.411	166.330	2,61	2,61	22.462,910	51.761,91	281,030	1.544,18
São Bernardo do Campo (Município) (354870)	275.102	270.938	2,97	2,96	47.070,450	57.619,05	409,530	1.994,78
São Caetano do Sul (Município) (354880)	58.067	58.079	2,72	2,72	15.042,260	95.189,73	15,330	10.307,48
São Carlos (Município) (354890)	82.459	79.305	2,93	2,92	11.146,220	46.175,34	1.136,910	212,32
São João da Boa Vista (Município) (354910)	31.716	30.561	2,81	2,80	2.980,360	33.476,99	516,400	172,40
São Joaquim da Barra (Município) (354940)	16.602	16.294	3,02	3,02	1.535,070	30.634,05	410,860	121,96
São José do Rio Pardo (Município) (354970)	18.270	16.344	2,98	2,95	1.848,840	33.993,58	419,680	129,59
São José do Rio Preto (Município) (354980)	157.833	149.543	2,80	2,78	16.858,000	38.093,05	431,940	1.024,55
São José dos Campos (Município) (354990)	217.922	213.520	3,16	3,16	37.968,490	55.138,91	1.099,410	626,33
São Lourenço da Serra (Município) (354995)	4.946	4.499	3,07	3,07	228,030	15.024,47	186,460	81,40
São Paulo (Município) (355030)	4.045.141	4.002.773	2,96	2,96	732.318,270	61.190,59	1.521,110	7.867,82
São Roque (Município) (355060)	27.318	25.057	3,17	3,13	2.685,230	31.037,75	306,910	281,89
São Sebastião (Município) (355070)	27.208	26.925	3,05	3,05	3.820,440	46.018,34	402,400	206,31
São Vicente (Município) (355100)	116.995	116.780	3,04	3,04	5.625,040	15.821,02	148,100	2.400,69
Sertãozinho (Município) (355170)	38.111	37.697	3,15	3,15	5.449,620	45.356,03	403,090	298,08
Sorocaba (Município) (355220)	205.605	203.621	3,14	3,14	34.488,560	53.477,35	450,380	1.431,94
Sumaré (Município) (355240)	84.517	83.567	3,15	3,15	13.733,530	51.638,56	153,470	1.733,00
Suzano (Município) (355250)	85.976	83.010	3,32	3,32	10.121,680	35.479,80	206,240	1.383,27
Taboão da Serra (Município) (355280)	83.147	83.163	3,27	3,27	8.847,510	32.506,46	20,390	13.349,86
Taquaritinga (Município) (355370)	20.044	19.052	2,82	2,81	1.349,390	23.846,27	594,340	95,21
Tatuí (Município) (355400)	37.392	35.576	3,12	3,12	3.891,360	33.350,14	523,750	222,78
Taubaté (Município) (355410)	96.429	94.388	3,14	3,13	16.031,220	53.025,39	625,000	483,73
Tupã (Município) (355500)	23.968	23.048	2,74	2,73	1.748,700	26.636,34	627,990	104,54
Ubatuba (Município) (355540)	28.886	28.225	2,99	2,99	1.921,040	22.236,37	708,110	122,00
Valinhos (Município) (355620)	38.665	36.922	3,11	3,10	5.632,920	46.840,31	148,540	809,61
Vargem Grande Paulista (Município) (355645)	14.442	14.444	3,37	3,37	2.137,110	43.865,10	42,490	1.146,65
Várzea Paulista (Município) (355650)	36.358	36.364	3,21	3,21	2.554,940	21.911,82	35,120	3.320,07
Vinhedo (Município) (355670)	22.283	21.644	3,26	3,25	8.007,270	110.369,03	81,600	889,05
Votorantim (Município) (355700)	36.772	35.451	3,20	3,20	5.036,070	42.753,22	183,520	641,87
Votuporanga (Município) (355710)	33.515	32.611	2,72	2,72	2.827,030	30.971,70	420,700	216,97
Adrianópolis (Município) (410020)	2.216	729	2,86	2,81	190,210	30.034,53	1.349,340	4,69
Agudos do Sul (Município) (410030)	2.893	998	3,11	3,07	173,390	19.302,50	192,260	46,72
Almirante Tamandaré (Município) (410040)	34.115	33.106	3,31	3,27	1.411,710	12.507,36	194,740	579,58
Apucarana (Município) (410140)	43.204	41.391	3,02	2,97	3.254,430	24.951,54	558,390	233,58
Arapongas (Município) (410150)	37.224	36.873	3,10	3,06	4.353,950	37.725,30	382,220	301,96
Araucária (Município) (410180)	39.820	37.260	3,35	3,31	15.631,120	117.150,22	469,240	284,35
Balsa Nova (Município) (410230)	3.955	2.421	3,12	3,10	687,600	55.734,63	348,930	35,36
Bocaiúva do Sul (Município) (410310)	3.642	1.718	3,34	3,30	198,970	16.364,18	826,340	14,71
Cambé (Município) (410370)	34.091	33.186	3,05	3,01	3.965,700	38.197,12	495,380	209,58
Campina Grande do Sul (Município) (410400)	13.011	10.859	3,21	3,17	1.231,120	29.437,80	539,250	77,55
Campo Largo (Município) (410420)	38.410	32.594	3,23	3,19	4.021,770	32.408,00	1.243,550	99,79
Campo Magro (Município) (410425)	8.319	6.601	3,31	3,28	361,650	13.142,88	275,350	99,93
Campo Mourão (Município) (410430)	31.665	30.436	2,93	2,90	3.454,130	37.169,18	757,880	122,62
Cascavel (Município) (410480)	102.833	98.851	3,04	2,99	11.347,230	36.278,85	2.100,830	148,88
Castro (Município) (410490)	22.279	16.535	3,18	3,14	2.533,490	35.778,75	2.531,500	27,97
Cerro Azul (Município) (410520)	5.816	1.728	3,05	2,92	260,030	14.645,73	1.341,190	13,24
Cianorte (Município) (410550)	25.236	22.798	3,07	3,03	2.626,830	33.888,06	811,670	95,50
Colombo (Município) (410580)	71.407	69.017	3,26	3,21	4.921,970	21.175,95	197,790	1.175,13
Contenda (Município) (410620)	5.260	3.068	3,33	3,32	339,210	19.355,88	299,040	58,60
Curitiba (Município) (410690)	648.952	648.952	2,90	2,90	93.948,900	49.989,97	435,040	4.320,00
Fazenda Rio Grande (Município) (410765)	26.657	25.052	3,46	3,42	1.970,580	21.371,97	116,680	790,24
Foz do Iguaçu (Município) (410830)	88.884	89.196	2,97	2,93	13.445,050	50.970,30	618,350	426,59
Francisco Beltrão (Município) (410840)	28.866	25.378	3,00	2,91	2.937,600	33.961,03	735,110	117,67
Guarapuava (Município) (410940)	56.853	52.678	3,13	3,09	5.351,860	30.045,38	3.178,650	56,04
Ibiporã (Município) (410980)	17.013	16.452	3,08	3,03	2.917,270	55.747,49	297,740	175,76
Irati (Município) (411070)	19.808	16.111	3,01	2,96	1.660,690	27.813,47	999,520	59,74
Itaperuçu (Município) (411125)	7.723	6.538	3,46	3,42	460,600	17.215,44	320,580	83,46
Lapa (Município) (411320)	15.832	9.692	3,00	2,97	1.568,380	32.978,94	2.093,860	22,71
Londrina (Município) (411370)	185.143	183.053	2,96	2,92	19.884,550	36.269,19	1.652,570	331,76
Mandirituba (Município) (411430)	7.545	2.490	3,30	3,34	617,170	24.781,15	379,180	65,68
Marechal Cândido Rondon (Município) (411460)	17.700	15.105	2,87	2,81	2.051,640	40.380,34	748,000	67,92
Maringá (Município) (411520)	131.174	130.446	3,03	2,99	17.318,490	43.575,45	487,050	816,01
Palmas (Município) (411760)	13.552	12.801	3,52	3,46	1.096,780	23.005,84	1.557,890	30,60
Paranaguá (Município) (411820)	45.561	44.308	3,31	3,28	7.976,450	52.943,37	826,670	182,25
Paranavaí (Município) (411840)	29.559	28.575	2,94	2,89	2.386,890	27.507,28	1.202,270	72,17
Pato Branco (Município) (411850)	26.287	25.007	3,01	2,97	3.437,510	43.506,72	539,090	146,56
Pinhais (Município) (411915)	39.937	40.410	3,18	3,14	5.704,120	44.898,43	60,870	2.087,19
Piraquara (Município) (411950)	29.368	15.545	3,56	3,30	1.192,640	11.414,90	227,040	460,18
Ponta Grossa (Município) (411990)	106.477	105.398	3,17	3,13	13.223,920	39.139,67	2.054,730	164,43
Prudentópolis (Município) (412060)	16.565	7.865	3,11	3,02	1.043,390	20.233,72	2.236,580	23,06
Quatro Barras (Município) (412080)	6.816	6.200	3,23	3,21	1.303,310	59.112,37	180,470	122,17
Quitandinha (Município) (412120)	5.891	1.738	3,13	3,03	351,960	19.108,36	447,020	41,20
Rio Branco do Sul (Município) (412220)	10.236	7.391	3,15	3,14	1.316,310	40.838,47	812,290	39,68
Rolândia (Município) (412240)	20.673	19.858	3,06	3,02	2.569,420	40.580,97	459,020	137,94
São José dos Pinhais (Município) (412550)	90.602	82.417	3,29	3,24	25.552,960	85.778,41	946,440	314,75
Sarandi (Município) (412625)	29.185	29.288	3,10	3,06	1.487,260	16.456,33	103,460	873,51
Telêmaco Borba (Município) (412710)	24.414	24.180	3,11	3,07	3.306,230	43.612,66	1.382,860	54,82
Tijucas do Sul (Município) (412760)	5.092	824	3,14	3,05	400,390	25.071,10	671,890	23,77
Toledo (Município) (412770)	43.815	40.499	3,01	2,96	5.459,010	41.332,02	1.197,000	110,34
Tunas do Paraná (Município) (412788)	2.016	915	3,75	3,69	118,860	15.724,43	668,480	11,31
Umuarama (Município) (412810)	37.698	35.520	2,87	2,83	3.485,930	32.212,11	1.234,540	87,66
União da Vitória (Município) (412820)	18.399	17.688	3,06	3,01	1.410,340	25.066,02	720,000	78,15
Doutor Ulysses (Município) (412863)	1.892	314	3,07	3,00	70,590	12.154,76	777,480	7,47
Águas Mornas (Município) (420060)	1.969	835	3,10	3,07	155,060	25.365,57	327,360	18,67
Alfredo Wagner (Município) (420070)	3.455	1.123	2,85	2,67	216,140	21.942,74	732,770	13,44
Angelina (Município) (420090)	1.896	431	2,67	2,51	115,820	22.920,43	500,040	10,11
Anitápolis (Município) (420110)	1.250	546	2,60	2,44	60,850	18.704,77	542,120	6,00
Antônio Carlos (Município) (420120)	2.646	864	3,07	2,95	622,200	76.644,43	233,570	34,76
Araranguá (Município) (420140)	23.071	19.242	2,85	2,82	1.735,490	26.387,62	303,300	216,85
Balneário Camboriú (Município) (420200)	45.777	46.141	2,80	2,78	5.391,830	42.072,72	46,240	2.771,28
Biguaçu (Município) (420230)	20.998	19.139	3,07	3,05	1.630,390	25.282,12	367,890	175,29
Blumenau (Município) (420240)	117.858	113.854	2,88	2,84	17.296,820	51.041,73	518,500	653,57
Brusque (Município) (420290)	38.685	37.772	3,17	3,14	5.549,290	45.198,87	283,220	433,49
Caçador (Município) (420300)	25.581	23.605	2,96	2,93	2.900,220	38.255,39	984,290	77,02
Camboriú (Município) (420320)	21.312	20.244	3,49	3,49	1.262,100	16.955,92	212,320	350,57
Canelinha (Município) (420370)	3.737	2.371	3,11	3,11	198,700	17.104,62	152,560	76,15
Canoinhas (Município) (420380)	18.916	14.423	2,86	2,80	1.640,530	30.274,85	1.140,390	47,52
Chapecó (Município) (420420)	68.475	63.955	3,01	2,95	8.903,280	43.262,86	626,060	328,71
Concórdia (Município) (420430)	26.798	22.032	2,71	2,64	3.062,430	42.157,83	799,450	90,87
Criciúma (Município) (420460)	71.718	71.485	2,89	2,85	7.841,250	37.895,43	235,700	877,88
Florianópolis (Município) (420540)	175.620	169.028	2,67	2,67	19.740,680	42.029,17	675,410	695,42
Garopaba (Município) (420570)	7.114	6.150	2,96	2,89	492,730	23.395,26	115,410	182,50
Gaspar (Município) (420590)	20.915	17.093	3,11	3,09	2.668,430	41.037,67	386,780	168,12
Governador Celso Ramos (Município) (420600)	4.796	4.554	2,91	2,89	272,320	19.529,52	117,190	118,99
Içara (Município) (420700)	21.558	20.001	2,47	2,43	2.047,650	38.529,57	228,930	232,15
Indaial (Município) (420750)	20.209	19.650	3,14	3,12	2.486,450	39.163,52	430,790	147,38
