Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	182,20	0,00	311.124,09	0,00	0,00	311.124,09	3,44
Cacoal (Município) (110004)	407,00	158,00	964.646,18	0,00	0,00	964.646,18	12,28
Jaru (Município) (110011)	91,10	0,00	285.941,82	0,00	0,00	285.941,82	5,50
Ji-Paraná (Município) (110012)	282,70	0,00	509.546,33	0,00	0,00	509.546,33	4,37
Porto Velho (Município) (110020)	881,50	30,00	1.825.895,75	0,00	0,00	1.825.895,75	4,26
Rolim de Moura (Município) (110028)	173,60	0,00	962.757,66	0,00	0,00	962.757,66	19,01
Vilhena (Município) (110030)	352,00	0,00	455.926,60	0,00	0,00	455.926,60	5,98
Cruzeiro do Sul (Município) (120020)	127,07	0,00	10.815.162,64	0,00	0,00	10.815.162,64	137,76
Rio Branco (Município) (120040)	769,00	231,00	0,00	0,00	0,00	0,00	0,00
Careiro da Várzea (Município) (130115)	8,80	0,00	751,71	0,00	0,00	751,71	0,03
Coari (Município) (130120)	-	-	-	-	-	-	-
Humaitá (Município) (130170)	90,00	0,00	180.411,52	0,00	0,00	180.411,52	4,08
Iranduba (Município) (130185)	-	-	-	-	-	-	-
Itacoatiara (Município) (130190)	263,29	0,00	160.789,25	0,00	0,00	160.789,25	1,85
Manacapuru (Município) (130250)	120,00	0,00	469.821,66	0,00	0,00	469.821,66	5,52
Manaus (Município) (130260)	3.244,00	417,00	59.015.607,24	0,00	0,00	59.015.607,24	32,75
Manicoré (Município) (130270)	-	-	-	-	-	-	-
Maués (Município) (130290)	65,00	0,00	100.120,88	0,00	0,00	100.120,88	1,92
Novo Airão (Município) (130320)	-	-	-	-	-	-	-
Parintins (Município) (130340)	111,00	0,00	186.301,18	0,00	0,00	186.301,18	1,83
Presidente Figueiredo (Município) (130353)	44,63	20,58	77.654,00	0,00	0,00	77.654,00	2,86
Rio Preto da Eva (Município) (130356)	-	-	-	-	-	-	-
Tabatinga (Município) (130406)	76,36	0,00	12.319,25	0,00	0,00	12.319,25	0,24
Tefé (Município) (130420)	146,50	0,00	0,00	0,00	0,00	0,00	0,00
Boa Vista (Município) (140010)	1.229,00	208,37	3.418.372,49	0,00	0,00	3.418.372,49	12,02
Abaetetuba (Município) (150010)	69,00	0,00	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	18,00	0,00	76.030,35	0,00	0,00	76.030,35	1,42
Alenquer (Município) (150040)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Altamira (Município) (150060)	58,00	0,00	0,00	0,00	5.385.325,93	5.385.325,93	54,36
Ananindeua (Município) (150080)	369,00	0,00	0,00	0,00	8.003.573,38	8.003.573,38	16,96
Barcarena (Município) (150130)	-	-	-	-	-	-	-
Belém (Município) (150140)	2.293,00	613,00	14.702.812,47	1.420.856,40	199.938.290,33	216.061.959,20	155,06
Benevides (Município) (150150)	62,33	0,00	20.409,51	0,00	0,00	20.409,51	0,40
Bragança (Município) (150170)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	0,00	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	0,00	0,00	0,00	1.220.535,58	1.220.535,58	13,14
Cametá (Município) (150210)	71,58	0,00	111.039,47	0,00	0,00	111.039,47	0,92
Capanema (Município) (150220)	59,00	0,00	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	384,00	0,00	0,00	0,00	3.697.751,01	3.697.751,01	21,36
Dom Eliseu (Município) (150293)	30,00	0,00	0,00	0,00	1.485.196,54	1.485.196,54	28,94
Igarapé-Miri (Município) (150330)	65,00	0,00	0,00	0,00	3.752.566,99	3.752.566,99	64,61
Ipixuna do Pará (Município) (150345)	-	-	-	-	-	-	-
Itaituba (Município) (150360)	58,00	0,00	0,00	0,00	0,00	0,00	0,00
Itupiranga (Município) (150370)	9,00	0,00	0,00	0,00	0,00	0,00	0,00
Jacundá (Município) (150380)	37,00	0,00	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	17,00	0,00	0,00	0,00	0,00	0,00	0,00
Marabá (Município) (150420)	201,00	0,00	0,00	0,00	44.107.999,81	44.107.999,81	188,76
Marituba (Município) (150442)	693,00	0,00	0,00	0,00	4.298.536,72	4.298.536,72	39,71
Moju (Município) (150470)	25,00	0,00	0,00	0,00	0,00	0,00	0,00
Monte Alegre (Município) (150480)	41,00	0,00	0,00	0,00	1.830.039,68	1.830.039,68	33,00
Novo Repartimento (Município) (150506)	29,00	0,00	0,00	0,00	0,00	0,00	0,00
Óbidos (Município) (150510)	66,00	0,00	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	635,00	0,00	4.186.250,84	0,00	0,00	4.186.250,84	66,67
Paragominas (Município) (150550)	114,00	0,00	220.013,44	3.118.532,73	0,00	3.338.546,17	34,13
Parauapebas (Município) (150553)	424,00	31,00	9.050.874,07	0,00	0,00	9.050.874,07	58,81
Portel (Município) (150580)	22,00	0,00	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	-	-	-	-	-	-	-
Rondon do Pará (Município) (150618)	173,00	0,00	316.756,65	0,00	0,00	316.756,65	6,74
Santa Bárbara do Pará (Município) (150635)	65,00	0,50	16.830,85	0,00	0,00	16.830,85	0,98
Santa Izabel do Pará (Município) (150650)	60,67	0,00	114.557,71	0,00	0,00	114.557,71	1,93
Santana do Araguaia (Município) (150670)	-	-	0,00	0,00	0,00	0,00	0,00
Santarém (Município) (150680)	361,00	0,00	0,00	0,00	992.934,06	992.934,06	3,37
São Félix do Xingu (Município) (150730)	7,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	-	-	-	-	-	-	-
Tailândia (Município) (150795)	49,00	0,00	0,00	0,00	0,00	0,00	0,00
Tomé-Açu (Município) (150800)	75,00	0,00	123.232,56	0,00	0,00	123.232,56	2,18
Tucuruí (Município) (150810)	116,00	0,00	0,00	0,00	0,00	0,00	0,00
Ulianópolis (Município) (150812)	-	-	-	-	-	-	-
Vigia (Município) (150820)	35,00	1,00	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	15,00	0,00	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	667,30	89,28	223.856,70	0,00	0,00	223.856,70	0,56
Santana (Município) (160060)	127,70	9,42	103.634,19	0,00	0,00	103.634,19	1,02
Araguaína (Município) (170210)	600,90	84,60	12.079.426,72	0,00	0,00	12.079.426,72	80,27
Gurupi (Município) (170950)	333,13	123,00	9.965.556,68	0,00	0,00	9.965.556,68	129,84
Paraíso do Tocantins (Município) (171610)	204,45	19,66	1.742.918,95	0,00	0,00	1.742.918,95	39,24
Porto Nacional (Município) (171820)	258,53	178,84	1.211.665,41	0,00	0,00	1.211.665,41	24,65
Palmas (Município) (172100)	1.277,37	524,56	22.469.721,84	0,00	0,00	22.469.721,84	98,41
Açailândia (Município) (210005)	95,00	0,00	58.919,87	0,00	0,00	58.919,87	0,57
Alcântara (Município) (210020)	12,83	0,00	0,00	0,00	0,00	0,00	0,00
Bacabal (Município) (210120)	171,00	27,00	443.717,68	0,00	0,00	443.717,68	4,44
Balsas (Município) (210140)	266,50	0,00	376.841,26	0,00	0,00	376.841,26	4,51
Barra do Corda (Município) (210160)	105,20	0,00	375.864,36	0,00	0,00	375.864,36	4,54
Barreirinhas (Município) (210170)	46,40	0,00	0,00	0,00	0,00	0,00	0,00
Buriticupu (Município) (210232)	52,80	0,00	0,00	0,00	0,00	0,00	0,00
Caxias (Município) (210300)	500,00	40,00	904.629,15	0,00	0,00	904.629,15	5,83
Chapadinha (Município) (210320)	75,00	0,00	0,00	0,00	0,00	0,00	0,00
Codó (Município) (210330)	164,50	36,00	118.337,48	0,00	0,00	118.337,48	1,00
Coroatá (Município) (210360)	-	-	-	-	-	-	-
Grajaú (Município) (210480)	101,00	0,00	77.041,39	0,00	0,00	77.041,39	1,24
Imperatriz (Município) (210530)	568,00	110,25	214.673,08	0,00	0,00	214.673,08	0,87
Itapecuru Mirim (Município) (210540)	61,60	0,00	68.903,57	0,00	0,00	68.903,57	1,11
Paço do Lumiar (Município) (210750)	57,85	0,00	0,00	0,00	0,00	0,00	0,00
Pinheiro (Município) (210860)	81,80	0,00	60.532,16	0,00	0,00	60.532,16	0,77
Raposa (Município) (210945)	5,47	0,00	0,00	0,00	0,00	0,00	0,00
Santa Inês (Município) (210990)	145,87	0,00	0,00	0,00	0,00	0,00	0,00
Santa Luzia (Município) (211000)	40,20	0,00	4.697.939,46	0,00	0,00	4.697.939,46	63,45
São José de Ribamar (Município) (211120)	88,32	0,00	142.775,98	0,00	0,00	142.775,98	0,88
São Luís (Município) (211130)	2.156,32	917,55	8.603.506,46	0,00	0,00	8.603.506,46	8,48
Timon (Município) (211220)	395,00	0,00	296.390,10	0,00	0,00	296.390,10	1,91
Tutóia (Município) (211250)	24,00	0,00	0,00	0,00	0,00	0,00	0,00
Vargem Grande (Município) (211270)	66,90	0,00	0,00	0,00	0,00	0,00	0,00
Viana (Município) (211280)	-	-	-	-	-	-	-
Zé Doca (Município) (211400)	52,30	0,00	104.170,90	0,00	0,00	104.170,90	2,08
Altos (Município) (220040)	28,14	10,38	106.491,06	0,00	0,00	106.491,06	2,74
Beneditinos (Município) (220160)	18,47	0,00	0,00	0,00	0,00	0,00	0,00
Coivaras (Município) (220273)	16,00	0,00	218.980,79	0,00	0,00	218.980,79	57,46
Curralinhos (Município) (220325)	-	-	-	-	-	-	-
Demerval Lobão (Município) (220330)	32,64	0,00	41.518,63	0,00	0,00	41.518,63	3,13
Floriano (Município) (220390)	188,22	0,00	839.330,05	0,00	758.659,73	1.597.989,79	27,70
José de Freitas (Município) (220550)	49,38	0,00	40.707,97	0,00	0,00	40.707,97	1,10
Lagoa Alegre (Município) (220555)	8,71	0,00	45.937,17	0,00	0,00	45.937,17	5,74
Lagoa do Piauí (Município) (220558)	-	-	-	-	-	-	-
Miguel Leão (Município) (220630)	2,42	0,00	0,00	0,00	0,00	0,00	0,00
Monsenhor Gil (Município) (220640)	29,91	10,00	0,00	0,00	0,00	0,00	0,00
Nazária (Município) (220672)	6,01	0,00	93.319,44	0,00	0,00	93.319,44	11,57
Parnaíba (Município) (220770)	235,96	0,00	1.983.133,76	0,00	8.025.549,54	10.008.683,31	68,69
Pau D'Arco do Piauí (Município) (220779)	-	-	-	-	-	-	-
Picos (Município) (220800)	109,53	37,00	8.205.427,14	0,00	147.699,23	8.353.126,37	113,78
Piripiri (Município) (220840)	148,92	0,00	16.576.979,39	0,00	1.345.478,76	17.922.458,15	289,85
Teresina (Município) (221100)	1.352,30	410,00	205.137.280,40	9.433.946,04	10.146.771,96	224.717.998,41	275,99
União (Município) (221110)	64,92	0,00	203.731,99	0,00	0,00	203.731,99	4,78
Acaraú (Município) (230020)	68,00	21,00	138.605,49	0,00	0,00	138.605,49	2,41
Acopiara (Município) (230030)	36,00	24,00	133.534,19	0,00	0,00	133.534,19	2,61
Aquiraz (Município) (230100)	78,00	36,00	9.708.223,62	0,00	0,00	9.708.223,62	133,67
Aracati (Município) (230110)	88,00	4,00	8.487.659,11	0,00	0,00	8.487.659,11	122,73
Barbalha (Município) (230190)	53,00	46,00	266.492,63	0,00	0,00	266.492,63	4,82
Beberibe (Município) (230220)	34,00	13,00	264.921,40	0,00	0,00	264.921,40	5,37
Boa Viagem (Município) (230240)	173,00	55,55	1.270.898,29	0,00	0,00	1.270.898,29	24,21
Camocim (Município) (230260)	112,93	79,90	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	20.594,49	0,00	0,00	20.594,49	0,28
Cascavel (Município) (230350)	113,00	5,00	208.339,02	0,00	0,00	208.339,02	3,15
Caucaia (Município) (230370)	340,00	247,00	8.091.208,30	0,00	0,00	8.091.208,30	24,86
Chorozinho (Município) (230395)	28,00	0,00	60.999,23	0,00	0,00	60.999,23	3,22
Crateús (Município) (230410)	141,00	70,00	5.139.614,58	0,00	0,00	5.139.614,58	70,59
Crato (Município) (230420)	220,00	123,00	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	123,00	28,00	172.420,17	0,00	0,00	172.420,17	3,75
Fortaleza (Município) (230440)	4.559,00	2.234,00	243.317.663,54	0,00	0,00	243.317.663,54	99,22
Granja (Município) (230470)	-	-	-	-	-	-	-
Guaiúba (Município) (230495)	38,00	11,00	202.149,35	0,00	0,00	202.149,35	8,39
Horizonte (Município) (230523)	134,00	4,00	1.216.267,77	0,00	0,00	1.216.267,77	22,04
Icó (Município) (230540)	123,00	40,00	100.652,87	0,00	0,00	100.652,87	1,54
Iguatu (Município) (230550)	186,00	24,00	1.602.295,62	0,00	0,00	1.602.295,62	16,60
Itaitinga (Município) (230625)	164,00	2,00	200.402,77	0,00	0,00	200.402,77	5,60
Itapajé (Município) (230630)	-	-	-	-	-	-	-
Itapipoca (Município) (230640)	156,00	50,00	1.218.899,38	0,00	0,00	1.218.899,38	10,50
Juazeiro do Norte (Município) (230730)	370,00	149,00	2.836.370,34	0,00	0,00	2.836.370,34	11,35
Limoeiro do Norte (Município) (230760)	118,00	15,00	9.698.901,15	0,00	0,00	9.698.901,15	172,38
Maracanaú (Município) (230765)	98,00	191,00	771.660,98	0,00	0,00	771.660,98	3,69
