Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	35.365	31.286	3,05	2,92	-	-	4.426,570	24,37
Cacoal (Município) (110004)	32.456	27.234	2,63	2,47	-	-	3.792,950	22,50
Jaru (Município) (110011)	21.754	15.749	2,38	2,22	-	-	2.944,130	17,59
Ji-Paraná (Município) (110012)	47.069	45.125	2,74	2,57	-	-	6.896,650	18,70
Porto Velho (Município) (110020)	163.918	148.803	3,23	3,24	-	-	34.090,960	15,53
Rolim de Moura (Município) (110028)	21.095	18.160	2,61	2,48	-	-	1.457,890	37,77
Vilhena (Município) (110030)	30.077	29.853	3,32	3,17	-	-	11.699,150	8,54
Cruzeiro do Sul (Município) (120020)	24.755	18.647	3,57	3,34	-	-	8.779,400	10,07
Rio Branco (Município) (120040)	131.826	114.022	3,09	3,28	-	-	8.834,940	46,10
Careiro da Várzea (Município) (130115)	7.372	367	4,10	3,44	-	-	2.627,470	11,50
Coari (Município) (130120)	19.744	14.872	4,31	3,74	-	-	57.970,770	1,47
Humaitá (Município) (130170)	12.662	9.970	4,35	3,81	-	-	33.111,160	1,66
Iranduba (Município) (130185)	12.709	9.695	3,80	3,54	-	-	2.216,820	21,79
Itacoatiara (Município) (130190)	25.655	18.957	3,95	3,58	-	-	8.891,910	11,40
Manacapuru (Município) (130250)	23.578	18.550	4,13	3,71	-	-	7.336,580	13,27
Manaus (Município) (130260)	657.225	650.444	3,32	3,34	-	-	11.401,090	191,45
Manicoré (Município) (130270)	12.334	6.155	4,52	3,92	-	-	48.315,020	1,15
Maués (Município) (130290)	12.910	7.282	4,95	4,34	-	-	39.991,070	1,60
Novo Airão (Município) (130320)	4.070	2.946	4,78	4,26	-	-	37.805,260	0,51
Parintins (Município) (130340)	27.015	20.598	4,23	3,80	-	-	5.956,370	19,18
Presidente Figueiredo (Município) (130353)	9.255	4.729	3,92	3,67	-	-	25.412,270	1,43
Rio Preto da Eva (Município) (130356)	7.846	4.058	4,25	3,90	-	-	5.815,620	5,73
Tabatinga (Município) (130406)	12.911	10.775	5,10	4,25	-	-	3.266,060	20,16
Tefé (Município) (130420)	15.960	14.427	3,75	3,38	-	-	23.692,220	2,53
Boa Vista (Município) (140010)	105.711	104.323	3,78	3,74	-	-	5.687,040	70,20
Abaetetuba (Município) (150010)	42.621	28.024	3,70	3,31	-	-	1.610,400	97,92
Acará (Município) (150020)	16.020	4.380	3,47	2,99	-	-	4.343,810	12,80
Alenquer (Município) (150040)	16.508	9.744	3,44	3,07	-	-	23.645,450	2,40
Altamira (Município) (150060)	36.729	33.424	3,12	2,91	-	-	159.533,330	0,72
Ananindeua (Município) (150080)	172.272	185.067	3,08	2,86	-	-	190,450	2.786,01
Barcarena (Município) (150130)	34.827	13.329	3,58	3,40	-	-	1.310,590	95,13
Belém (Município) (150140)	462.013	462.013	3,23	3,20	-	-	1.059,460	1.408,97
Benevides (Município) (150150)	19.127	11.328	3,28	3,10	-	-	187,830	334,02
Bragança (Município) (150170)	36.172	25.276	3,53	3,24	-	-	2.091,930	61,04
Breu Branco (Município) (150178)	17.199	10.596	3,84	3,48	-	-	3.941,910	16,75
Breves (Município) (150180)	24.108	14.186	4,26	3,63	-	-	9.563,010	10,74
Cametá (Município) (150210)	32.598	16.244	4,23	3,71	-	-	3.081,370	44,75
Capanema (Município) (150220)	23.009	20.083	3,00	2,74	-	-	614,690	112,30
Capitão Poço (Município) (150230)	17.574	8.310	3,09	2,70	-	-	2.899,550	18,73
Castanhal (Município) (150240)	62.945	59.686	3,19	2,98	-	-	1.028,890	195,16
Dom Eliseu (Município) (150293)	18.097	12.655	3,30	2,99	-	-	5.268,820	11,33
Igarapé-Miri (Município) (150330)	16.370	8.495	3,83	3,33	-	-	1.996,790	31,40
Ipixuna do Pará (Município) (150345)	16.175	4.412	3,96	3,46	-	-	5.215,560	12,28
Itaituba (Município) (150360)	32.451	24.883	3,12	2,95	-	-	62.042,470	1,63
Itupiranga (Município) (150370)	17.073	7.151	3,12	2,98	-	-	7.880,110	6,76
Jacundá (Município) (150380)	17.399	16.494	3,40	3,19	-	-	2.008,320	29,46
Juruti (Município) (150390)	13.290	5.067	4,36	3,85	-	-	8.305,130	6,98
Marabá (Município) (150420)	84.395	72.536	3,31	3,07	-	-	15.128,060	18,47
Marituba (Município) (150442)	38.233	40.421	3,44	3,22	-	-	103,340	1.272,66
