Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	30.211	26.042	3,40	3,35	2.315,690	22.513,00	4.426,570	23,24
Cacoal (Município) (110004)	26.892	22.005	3,22	3,10	2.001,290	23.121,35	3.792,950	22,82
Jaru (Município) (110011)	17.685	12.430	3,15	3,02	1.362,590	24.476,59	2.944,130	18,91
Ji-Paraná (Município) (110012)	39.539	36.585	3,27	3,18	3.195,080	24.721,72	6.896,650	18,74
Porto Velho (Município) (110020)	141.361	129.693	3,49	3,47	15.417,200	31.208,09	34.090,960	14,49
Rolim de Moura (Município) (110028)	17.568	14.745	3,18	3,10	1.235,210	22.133,57	1.457,890	38,28
Vilhena (Município) (110030)	26.193	25.350	3,43	3,36	2.560,490	28.514,23	11.699,150	7,68
Cruzeiro do Sul (Município) (120020)	21.584	15.965	3,75	3,57	1.386,690	17.129,63	8.779,400	9,22
Rio Branco (Município) (120040)	109.065	98.348	3,34	3,40	9.851,630	27.070,26	8.834,940	41,19
Careiro da Várzea (Município) (130115)	6.411	302	4,27	3,78	290,950	10.635,48	2.627,470	10,41
Coari (Município) (130120)	16.972	12.135	4,84	4,43	3.742,170	45.520,19	57.970,770	1,42
Humaitá (Município) (130170)	10.978	8.180	4,58	4,23	509,600	10.145,34	33.111,160	1,52
Iranduba (Município) (130185)	10.946	7.937	4,13	4,05	638,150	14.102,85	2.216,820	20,41
Itacoatiara (Município) (130190)	22.197	15.565	4,31	4,12	1.917,400	20.032,63	8.891,910	10,76
Manacapuru (Município) (130250)	20.285	15.135	4,58	4,34	1.523,770	16.385,37	7.336,580	12,68
Manaus (Município) (130260)	553.374	549.208	3,65	3,66	81.248,240	40.215,91	11.401,090	177,20
Manicoré (Município) (130270)	10.661	5.039	4,90	4,48	553,770	10.608,57	48.315,020	1,08
Maués (Município) (130290)	11.181	5.981	5,26	4,86	469,250	7.975,84	39.991,070	1,47
Novo Airão (Município) (130320)	3.541	2.439	4,86	4,55	135,520	7.879,81	37.805,260	0,45
Parintins (Município) (130340)	23.206	16.771	4,76	4,51	1.175,960	10.650,74	5.956,370	18,54
Presidente Figueiredo (Município) (130353)	8.063	3.920	3,96	3,89	798,790	25.038,12	25.412,270	1,26
Rio Preto da Eva (Município) (130356)	6.822	3.359	4,36	4,21	446,980	15.013,86	5.815,620	5,12
Tabatinga (Município) (130406)	11.196	8.892	5,33	4,67	441,830	7.402,87	3.266,060	18,27
Tefé (Município) (130420)	13.581	11.644	4,61	4,38	856,840	13.673,97	23.692,220	2,64
Boa Vista (Município) (140010)	87.431	86.737	3,60	3,55	8.861,580	28.140,95	5.687,040	55,37
Abaetetuba (Município) (150010)	35.882	22.692	4,15	3,86	1.273,290	8.552,84	1.610,400	92,44
Acará (Município) (150020)	13.678	3.597	3,95	3,54	695,670	12.871,50	4.343,810	12,44
Alenquer (Município) (150040)	14.014	7.953	3,88	3,60	640,940	11.792,11	23.645,450	2,30
Altamira (Município) (150060)	30.686	27.003	3,48	3,36	4.758,810	44.571,53	159.533,330	0,67
Ananindeua (Município) (150080)	145.495	149.592	3,44	3,33	6.957,060	13.920,36	190,450	2.624,17
Barcarena (Município) (150130)	28.774	10.563	3,92	3,89	4.703,590	41.653,79	1.310,590	86,16
Belém (Município) (150140)	398.676	397.170	3,59	3,58	34.572,030	24.128,26	1.059,460	1.352,43
Benevides (Município) (150150)	15.836	9.024	3,62	3,56	1.265,770	22.054,49	187,830	305,56
Bragança (Município) (150170)	30.360	20.536	3,96	3,75	1.099,330	9.151,63	2.091,930	57,42
Breu Branco (Município) (150178)	14.176	8.400	4,21	3,96	672,420	11.272,64	3.941,910	15,13
Breves (Município) (150180)	20.356	11.528	4,78	4,23	749,080	7.694,66	9.563,010	10,18
Cametá (Município) (150210)	27.312	13.089	4,73	4,31	1.022,580	7.917,08	3.081,370	41,92
Capanema (Município) (150220)	19.545	16.330	3,37	3,22	1.101,690	16.709,56	614,690	107,26
Capitão Poço (Município) (150230)	15.032	6.837	3,50	3,18	459,180	8.727,01	2.899,550	18,15
Castanhal (Município) (150240)	52.622	48.251	3,55	3,43	3.265,720	17.473,56	1.028,890	181,65
Dom Eliseu (Município) (150293)	15.143	10.173	3,67	3,46	573,650	10.333,63	5.268,820	10,54
Igarapé-Miri (Município) (150330)	13.919	6.954	4,31	3,89	495,800	8.263,62	1.996,790	30,05
Ipixuna do Pará (Município) (150345)	13.175	3.475	4,30	3,88	587,380	10.375,39	5.215,560	10,85
Itaituba (Município) (150360)	27.664	20.516	3,56	3,48	1.727,010	17.550,07	62.042,470	1,59
Itupiranga (Município) (150370)	14.631	5.904	3,54	3,51	511,210	9.879,80	7.880,110	6,57
Jacundá (Município) (150380)	14.582	13.321	3,79	3,69	500,420	9.064,97	2.008,320	27,49
Juruti (Município) (150390)	10.996	4.045	4,80	4,39	1.090,890	20.678,34	8.305,130	6,35
Marabá (Município) (150420)	70.160	58.147	3,66	3,52	7.608,970	29.599,74	15.128,060	16,99
Marituba (Município) (150442)	31.678	32.271	3,80	3,69	1.709,210	14.207,30	103,340	1.164,13
Moju (Município) (150470)	18.117	6.976	4,20	3,92	784,880	10.314,37	9.094,140	8,37
Monte Alegre (Município) (150480)	15.915	7.522	3,53	3,31	679,400	12.082,25	18.152,560	3,10
Novo Repartimento (Município) (150506)	17.586	8.285	3,94	3,77	792,370	11.439,32	15.398,720	4,50
Óbidos (Município) (150510)	13.111	7.234	3,84	3,59	575,380	11.435,13	28.021,440	1,80
Oriximiná (Município) (150530)	15.840	10.507	4,29	4,13	1.698,610	25.001,94	107.603,660	0,63
Paragominas (Município) (150550)	28.899	23.678	3,65	3,48	2.433,520	23.084,67	19.342,250	5,45
