Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Barbalha (Município) (230190)	56.576	56.576	38.883	569,510	52.860	35.167	90,4%	93,4%
Beberibe (Município) (230220)	50.364	50.364	22.072	1.623,880	46.657	18.365	83,2%	92,6%
Boa Viagem (Município) (230240)	52.829	52.829	26.772	2.836,780	37.154	11.097	41,5%	70,3%
Camocim (Município) (230260)	60.870	60.870	45.186	1.124,780	46.258	30.574	67,7%	76,0%
Canindé (Município) (230280)	75.209	75.209	47.338	3.218,480	64.090	36.219	76,5%	85,2%
Cascavel (Município) (230350)	67.503	67.503	57.313	835,000	66.435	56.245	98,1%	98,4%
Caucaia (Município) (230370)	336.091	336.091	299.717	1.228,510	238.416	202.042	67,4%	70,9%
Chorozinho (Município) (230395)	18.947	18.947	11.445	278,410	18.947	11.445	100,0%	100,0%
Crateús (Município) (230410)	73.102	73.102	52.854	2.985,150	52.517	32.269	61,1%	71,8%
Crato (Município) (230420)	123.963	123.963	103.023	1.176,470	68.127	47.187	45,8%	55,0%
Eusébio (Município) (230428)	47.993	47.993	47.993	79,010	44.497	44.497	92,7%	92,7%
Fortaleza (Município) (230440)	2.500.194	2.500.194	2.500.194	314,930	1.264.466	1.264.466	50,6%	50,6%
Granja (Município) (230470)	52.528	52.528	25.834	2.663,030	51.528	25.833	100,0%	98,1%
Guaiúba (Município) (230495)	24.727	24.727	19.375	267,130	22.468	17.116	88,3%	90,9%
Horizonte (Município) (230523)	58.418	58.418	54.038	160,760	53.537	49.157	91,0%	91,6%
Icó (Município) (230540)	65.900	65.900	30.670	1.872,000	48.700	13.470	43,9%	73,9%
Iguatu (Município) (230550)	98.138	98.138	75.898	1.029,210	83.300	61.060	80,5%	84,9%
Itaitinga (Município) (230625)	36.814	36.814	36.555	151,630	36.026	35.767	97,8%	97,9%
Itapajé (Município) (230630)	49.130	49.130	34.538	430,570	47.315	32.723	94,7%	96,3%
Itapipoca (Município) (230640)	119.320	119.320	68.785	1.614,160	91.439	40.904	59,5%	76,6%
Juazeiro do Norte (Município) (230730)	255.648	255.648	245.613	248,830	192.162	182.127	74,2%	75,2%
Limoeiro do Norte (Município) (230760)	56.255	56.255	32.478	750,070	47.360	23.583	72,6%	84,2%
Maracanaú (Município) (230765)	213.404	213.404	211.940	106,650	126.393	124.929	58,9%	59,2%
Maranguape (Município) (230770)	117.306	117.306	89.155	590,870	113.304	85.153	95,5%	96,6%
Morada Nova (Município) (230870)	61.713	61.713	35.200	2.778,580	60.113	33.600	95,5%	97,4%
Pacajus (Município) (230960)	64.521	64.521	52.874	254,640	64.521	52.874	100,0%	100,0%
Pacatuba (Município) (230970)	75.411	75.411	64.768	131,990	41.515	30.872	47,7%	55,1%
Pindoretama (Município) (231085)	19.247	19.247	11.621	75,140	19.247	11.621	100,0%	100,0%
Quixadá (Município) (231130)	82.258	82.258	58.665	2.019,830	73.050	49.457	84,3%	88,8%
Quixeramobim (Município) (231140)	73.812	73.812	44.587	3.275,630	73.812	44.587	100,0%	100,0%
Russas (Município) (231180)	71.723	71.723	46.169	1.590,260	60.827	35.273	76,4%	84,8%
São Gonçalo do Amarante (Município) (231240)	45.141	45.141	29.350	834,450	38.306	22.515	76,7%	84,9%
Sobral (Município) (231290)	193.134	193.134	170.640	2.122,900	23.614	1.120	0,7%	12,2%
Tauá (Município) (231330)	56.307	56.307	32.601	4.018,160	53.598	29.892	91,7%	95,2%
Tianguá (Município) (231340)	70.527	70.527	46.906	908,890	54.323	30.702	65,5%	77,0%
Trairi (Município) (231350)	52.464	52.464	19.165	925,720	51.158	17.859	93,2%	97,5%
Viçosa do Ceará (Município) (231410)	56.394	56.394	18.294	1.311,630	53.776	15.676	85,7%	95,4%
Açu (Município) (240020)	54.031	54.031	39.954	1.303,440	54.031	39.954	100,0%	100,0%
Caicó (Município) (240200)	63.571	63.571	58.251	1.228,580	58.347	53.027	91,0%	91,8%
Ceará-Mirim (Município) (240260)	69.005	69.005	35.944	724,380	49.269	16.208	45,1%	71,4%
Parnamirim (Município) (240325)	214.199	214.199	214.199	123,470	212.294	212.294	99,1%	99,1%
Extremoz (Município) (240360)	25.324	25.324	16.254	139,580	25.324	16.254	100,0%	100,0%
Macaíba (Município) (240710)	71.670	71.670	43.983	510,770	70.550	42.863	97,5%	98,4%
Monte Alegre (Município) (240780)	20.959	20.959	9.121	210,920	19.675	7.837	85,9%	93,9%
Mossoró (Município) (240800)	266.758	266.758	243.581	2.099,330	159.820	136.643	56,1%	59,9%
Natal (Município) (240810)	817.590	817.590	817.590	167,260	511.056	511.056	62,5%	62,5%
Nísia Floresta (Município) (240820)	24.501	24.501	9.663	307,840	24.501	9.663	100,0%	100,0%
São Gonçalo do Amarante (Município) (241200)	90.376	90.376	76.388	249,120	58.806	44.818	58,7%	65,1%
São José de Mipibu (Município) (241220)	40.511	40.511	18.569	290,330	40.255	18.313	98,6%	99,4%
Vera Cruz (Município) (241480)	11.051	11.051	4.840	83,890	11.051	4.840	100,0%	100,0%
Alhandra (Município) (250060)	18.324	18.324	11.349	182,660	18.324	11.349	100,0%	100,0%
Bayeux (Município) (250180)	100.543	100.543	99.612	27,540	93.373	92.442	92,8%	92,9%
Caaporã (Município) (250300)	20.653	20.653	17.799	150,170	20.653	17.799	100,0%	100,0%
Cabedelo (Município) (250320)	60.226	60.226	60.218	31,920	49.303	49.295	81,9%	81,9%
Cajazeiras (Município) (250370)	59.130	59.130	48.057	565,900	50.665	39.592	82,4%	85,7%
Campina Grande (Município) (250400)	389.995	389.995	371.767	593,030	84.315	66.087	17,8%	21,6%
Conde (Município) (250460)	22.154	22.154	14.997	172,950	22.154	14.997	100,0%	100,0%
Cruz do Espírito Santo (Município) (250490)	16.317	16.317	7.467	191,100	16.317	7.467	100,0%	100,0%
Guarabira (Município) (250630)	55.977	55.977	49.536	165,740	27.298	20.857	42,1%	48,8%
João Pessoa (Município) (250750)	742.478	742.478	739.676	211,480	377.591	374.789	50,7%	50,9%
Lucena (Município) (250860)	12.029	12.029	10.411	88,550	12.029	10.411	100,0%	100,0%
Mamanguape (Município) (250890)	42.537	42.537	34.423	340,480	40.186	32.072	93,2%	94,5%
Patos (Município) (251080)	102.020	102.020	98.579	473,060	96.923	93.482	94,8%	95,0%
Pedras de Fogo (Município) (251120)	27.479	27.479	16.628	404,880	26.625	15.774	94,9%	96,9%
Pitimbu (Município) (251190)	17.492	17.492	10.669	136,440	17.492	10.669	100,0%	100,0%
Rio Tinto (Município) (251290)	23.431	23.431	13.316	465,670	23.431	13.316	100,0%	100,0%
Santa Rita (Município) (251370)	121.994	121.994	105.169	730,210	117.537	100.712	95,8%	96,3%
Sapé (Município) (251530)	50.565	50.565	38.462	315,530	41.836	29.733	77,3%	82,7%
Sousa (Município) (251620)	66.457	66.457	52.397	738,550	38.510	28.296	54,0%	57,9%
Abreu e Lima (Município) (260005)	95.243	95.243	87.372	126,190	74.470	66.599	76,2%	78,2%
Araçoiaba (Município) (260105)	18.617	18.617	15.656	96,380	18.617	15.656	100,0%	100,0%
Araripina (Município) (260110)	78.270	78.270	47.495	2.037,390	45.023	14.248	30,0%	57,5%
Arcoverde (Município) (260120)	69.880	69.880	63.658	323,370	67.391	61.169	96,1%	96,4%
Belo Jardim (Município) (260170)	72.996	72.996	58.686	647,700	21.899	11.738	20,0%	30,0%
Bezerros (Município) (260190)	58.864	58.864	49.906	490,820	58.864	49.906	100,0%	100,0%
Brejo da Madre de Deus (Município) (260260)	46.248	46.248	35.954	762,350	46.248	35.954	100,0%	100,0%
Buíque (Município) (260280)	53.304	53.304	21.683	1.320,870	53.304	21.683	100,0%	100,0%
Cabo de Santo Agostinho (Município) (260290)	189.222	189.222	171.589	448,740	172.697	155.064	90,4%	91,3%
Camaragibe (Município) (260345)	146.847	146.847	146.847	51,260	144.865	144.865	98,7%	98,7%
Carpina (Município) (260400)	76.527	76.527	73.663	147,670	76.527	73.663	100,0%	100,0%
Caruaru (Município) (260410)	324.095	324.095	287.742	920,610	196.737	160.384	55,7%	60,7%
Escada (Município) (260520)	64.422	64.422	54.733	342,200	64.422	54.733	100,0%	100,0%
Garanhuns (Município) (260600)	131.169	131.169	116.926	458,550	121.367	107.124	91,6%	92,5%
Goiana (Município) (260620)	75.902	75.902	58.223	445,810	75.902	58.223	100,0%	100,0%
Gravatá (Município) (260640)	77.845	77.845	69.626	506,790	76.353	68.134	97,9%	98,1%
Igarassu (Município) (260680)	105.003	105.003	96.677	305,560	103.489	95.163	98,4%	98,6%
Ipojuca (Município) (260720)	83.862	83.862	62.107	527,110	83.862	62.107	100,0%	100,0%
Ilha de Itamaracá (Município) (260760)	22.794	22.794	17.700	66,680	22.794	17.700	100,0%	100,0%
Itapissuma (Município) (260775)	24.321	24.321	18.745	74,240	24.321	18.745	100,0%	100,0%
Jaboatão dos Guararapes (Município) (260790)	654.786	654.786	640.540	258,690	611.989	597.743	93,3%	93,5%
Limoeiro (Município) (260890)	55.343	55.343	44.483	273,740	55.343	44.483	100,0%	100,0%
Moreno (Município) (260940)	57.828	57.828	51.199	196,070	45.612	38.983	76,1%	78,9%
Olinda (Município) (260960)	379.271	379.271	371.795	41,680	253.590	246.114	66,2%	66,9%
Ouricuri (Município) (260990)	65.510	65.510	33.179	2.381,580	65.510	33.179	100,0%	100,0%
Palmares (Município) (261000)	60.091	60.091	47.331	339,290	60.091	47.331	100,0%	100,0%
Paudalho (Município) (261060)	52.297	52.297	36.997	274,780	52.297	36.997	100,0%	100,0%
Paulista (Município) (261070)	306.239	306.239	306.239	97,310	197.707	197.707	64,6%	64,6%
Pesqueira (Município) (261090)	63.519	63.519	45.548	980,880	63.519	45.548	100,0%	100,0%
Petrolina (Município) (261110)	305.352	305.352	227.709	4.561,870	143.582	65.939	29,0%	47,0%
Recife (Município) (261160)	1.555.039	1.555.039	1.555.039	218,440	985.561	985.561	63,4%	63,4%
Salgueiro (Município) (261220)	57.343	57.343	46.289	1.686,810	57.343	46.289	100,0%	100,0%
Santa Cruz do Capibaribe (Município) (261250)	91.891	91.891	89.805	335,310	41.891	39.805	44,3%	45,6%
São Bento do Una (Município) (261300)	54.433	54.433	28.523	719,150	12.184	0	0,0%	22,4%
São Lourenço da Mata (Município) (261370)	104.782	104.782	98.552	262,110	95.947	89.717	91,0%	91,6%
Serra Talhada (Município) (261390)	80.489	80.489	62.247	2.980,010	66.489	48.247	77,5%	82,6%
Surubim (Município) (261450)	59.751	59.751	44.966	252,860	59.751	44.966	100,0%	100,0%
Timbaúba (Município) (261530)	53.360	53.360	45.966	292,990	53.360	45.966	100,0%	100,0%
Vitória de Santo Antão (Município) (261640)	129.907	129.907	113.371	335,940	98.029	81.493	71,9%	75,5%
Arapiraca (Município) (270030)	218.140	218.140	184.987	345,660	184.140	150.987	81,6%	84,4%
Barra de Santo Antônio (Município) (270050)	14.665	14.665	13.647	131,630	-	-	-	-
Barra de São Miguel (Município) (270060)	7.755	7.755	6.677	76,620	6.365	5.287	79,2%	82,1%
Campo Alegre (Município) (270140)	52.327	52.327	22.820	312,710	41.827	12.320	54,0%	79,9%
Coqueiro Seco (Município) (270220)	5.586	5.586	5.027	39,610	5.586	5.027	100,0%	100,0%
Coruripe (Município) (270230)	53.224	53.224	47.009	898,630	46.395	40.180	85,5%	87,2%
Delmiro Gouveia (Município) (270240)	48.876	48.876	35.419	626,690	13.876	4.419	12,5%	28,4%
Maceió (Município) (270430)	953.393	953.393	952.760	509,550	583.996	583.363	61,2%	61,3%
Marechal Deodoro (Município) (270470)	47.504	47.504	44.833	332,140	36.284	33.613	75,0%	76,4%
Messias (Município) (270520)	16.292	16.292	14.818	114,160	14.292	12.818	86,5%	87,7%
Palmeira dos Índios (Município) (270630)	70.738	70.738	51.881	450,960	69.355	50.498	97,3%	98,0%
Paripueira (Município) (270644)	11.845	11.845	10.490	92,850	11.845	10.490	100,0%	100,0%
Penedo (Município) (270670)	60.890	60.890	45.402	689,880	60.890	45.402	100,0%	100,0%
Pilar (Município) (270690)	33.623	33.623	32.105	251,070	33.623	32.105	100,0%	100,0%
Rio Largo (Município) (270770)	68.952	68.952	56.332	293,820	68.952	56.332	100,0%	100,0%
Santa Luzia do Norte (Município) (270790)	6.967	6.967	6.240	28,860	6.967	6.240	100,0%	100,0%
São Miguel dos Campos (Município) (270860)	56.319	56.319	54.244	360,880	19.819	17.744	32,7%	35,2%
Satuba (Município) (270890)	15.020	15.020	13.157	41,270	15.020	13.157	100,0%	100,0%
União dos Palmares (Município) (270930)	62.923	62.923	48.083	420,720	62.923	48.083	100,0%	100,0%
Aracaju (Município) (280030)	587.701	587.701	587.701	181,860	390.899	390.899	66,5%	66,5%
Barra dos Coqueiros (Município) (280060)	26.059	26.059	21.792	89,600	10.901	6.634	30,4%	41,8%
Estância (Município) (280210)	65.226	65.226	55.455	644,490	64.190	54.419	98,1%	98,4%
Itabaiana (Município) (280290)	88.501	88.501	68.903	337,300	73.501	53.903	78,2%	83,1%
Lagarto (Município) (280350)	96.602	96.602	49.764	968,920	93.587	46.749	93,9%	96,9%
Nossa Senhora do Socorro (Município) (280480)	165.194	165.194	160.054	155,020	120.910	115.770	72,3%	73,2%
São Cristóvão (Município) (280670)	81.011	81.011	68.480	438,040	60.923	48.392	70,7%	75,2%
Tobias Barreto (Município) (280740)	48.776	48.776	32.722	1.024,190	48.776	32.722	100,0%	100,0%
Alagoinhas (Município) (290070)	143.460	143.460	125.362	707,560	128.318	110.772	88,4%	89,4%
Araci (Município) (290210)	52.325	52.325	19.894	1.495,550	30.919	8.953	45,0%	59,1%
Barra (Município) (290270)	50.134	50.134	22.814	11.422,540	50.134	22.814	100,0%	100,0%
Barreiras (Município) (290320)	141.081	141.081	127.031	7.861,760	127.761	113.711	89,5%	90,6%
Bom Jesus da Lapa (Município) (290390)	64.740	64.740	43.954	4.115,510	39.740	18.954	43,1%	61,4%
Brumado (Município) (290460)	64.972	64.972	45.389	2.207,610	62.417	42.834	94,4%	96,1%
Caetité (Município) (290520)	47.774	47.774	28.602	2.651,540	47.774	28.602	100,0%	100,0%
Camaçari (Município) (290570)	255.238	255.238	243.686	784,660	194.801	183.249	75,2%	76,3%
Campo Formoso (Município) (290600)	67.305	67.305	25.120	7.161,830	67.305	25.120	100,0%	100,0%
Candeias (Município) (290650)	84.121	84.121	76.874	251,630	60.751	53.504	69,6%	72,2%
Casa Nova (Município) (290720)	66.331	66.331	38.347	9.647,070	45.654	21.921	57,2%	68,8%
Catu (Município) (290750)	51.734	51.734	43.305	433,190	51.734	43.305	100,0%	100,0%
Conceição do Coité (Município) (290840)	63.033	63.033	36.859	1.015,250	61.410	35.236	95,6%	97,4%
Cruz das Almas (Município) (290980)	59.470	59.470	50.620	139,120	59.130	50.280	99,3%	99,4%
Dias d'Ávila (Município) (291005)	69.628	69.628	65.471	184,230	44.556	40.399	61,7%	64,0%
Euclides da Cunha (Município) (291070)	56.962	56.962	27.744	1.992,640	52.388	23.170	83,5%	92,0%
Eunápolis (Município) (291072)	102.628	102.628	95.680	1.425,970	94.024	87.076	91,0%	91,6%
Feira de Santana (Município) (291080)	568.099	568.099	521.145	1.304,430	288.933	241.979	46,4%	50,9%
Guanambi (Município) (291170)	79.936	79.936	63.440	1.272,370	47.958	31.462	49,6%	60,0%
Ilhéus (Município) (291360)	187.315	187.315	157.876	1.584,690	101.576	72.137	45,7%	54,2%
Ipirá (Município) (291400)	59.001	59.001	28.842	3.105,280	57.308	27.614	95,7%	97,1%
Irecê (Município) (291460)	67.527	67.527	62.260	319,170	57.202	51.935	83,4%	84,7%
Itaberaba (Município) (291470)	62.037	62.037	48.804	2.386,390	56.835	43.602	89,3%	91,6%
Itabuna (Município) (291480)	205.885	205.885	200.831	401,030	59.211	55.001	27,4%	28,8%
Itamaraju (Município) (291560)	63.037	63.037	49.760	2.360,290	49.830	36.553	73,5%	79,0%
Itaparica (Município) (291610)	20.994	20.994	20.994	118,040	10.857	10.857	51,7%	51,7%
Itapetinga (Município) (291640)	69.903	69.903	67.858	1.651,150	6.858	7.213	10,6%	9,8%
Jacobina (Município) (291750)	79.580	79.580	56.103	2.192,910	78.267	54.790	97,7%	98,4%
Jaguaquara (Município) (291760)	51.635	51.635	39.325	924,740	41.199	28.889	73,5%	79,8%
Jequié (Município) (291800)	152.372	152.372	139.864	2.969,030	21.889	9.381	6,7%	14,4%
Juazeiro (Município) (291840)	201.499	201.499	163.645	6.721,200	58.099	25.909	15,8%	28,8%
Lauro de Freitas (Município) (291920)	171.042	171.042	171.042	57,660	99.396	99.396	58,1%	58,1%
Luís Eduardo Magalhães (Município) (291955)	66.371	66.371	60.602	3.940,540	66.371	60.602	100,0%	100,0%
Madre de Deus (Município) (291992)	18.183	18.183	17.637	32,200	1.935	1.389	7,9%	10,6%
Mata de São João (Município) (292100)	41.527	41.527	30.823	604,290	31.089	23.932	77,6%	74,9%
Paulo Afonso (Município) (292400)	110.193	110.193	94.952	1.545,190	105.169	89.928	94,7%	95,4%
Pojuca (Município) (292520)	34.106	34.106	29.271	308,700	34.106	29.271	100,0%	100,0%
Porto Seguro (Município) (292530)	131.642	131.642	107.943	2.287,090	46.713	23.014	21,3%	35,5%
Ribeira do Pombal (Município) (292660)	47.877	47.877	29.981	1.177,450	47.877	29.981	100,0%	100,0%
Salvador (Município) (292740)	2.710.968	2.710.968	2.710.225	692,820	469.454	468.711	17,3%	17,3%
Santo Amaro (Município) (292860)	57.978	57.978	44.904	489,320	33.230	20.156	44,9%	57,3%
Santo Antônio de Jesus (Município) (292870)	93.077	93.077	81.122	261,740	85.054	73.099	90,1%	91,4%
Santo Estêvão (Município) (292880)	48.897	48.897	28.278	360,330	48.418	27.799	98,3%	99,0%
São Francisco do Conde (Município) (292920)	34.226	34.226	28.252	269,610	23.365	17.391	61,6%	68,3%
São Sebastião do Passé (Município) (292950)	42.485	42.485	33.373	536,580	42.485	33.373	100,0%	100,0%
Senhor do Bonfim (Município) (293010)	75.437	75.437	58.353	789,360	75.437	58.353	100,0%	100,0%
Serrinha (Município) (293050)	77.211	77.211	47.464	583,310	70.379	40.632	85,6%	91,2%
Simões Filho (Município) (293070)	121.416	121.416	108.831	201,580	95.504	82.919	76,2%	78,7%
Teixeira de Freitas (Município) (293135)	143.001	143.001	133.617	1.165,620	130.794	121.410	90,9%	91,5%
Tucano (Município) (293190)	52.734	52.734	22.090	2.185,010	42.067	11.423	51,7%	79,8%
Valença (Município) (293290)	90.319	90.319	65.563	1.124,660	24.443	10.491	16,0%	27,1%
Vera Cruz (Município) (293320)	38.748	38.748	36.352	299,730	31.014	28.618	78,7%	80,0%
Vitória da Conquista (Município) (293330)	315.884	315.884	282.813	3.705,840	123.470	90.399	32,0%	39,1%
Alfenas (Município) (310160)	74.804	74.804	70.142	850,450	4.662	0	0,0%	6,2%
Araguari (Município) (310350)	110.983	110.983	103.687	2.729,510	0	0	0,0%	0,0%
Araxá (Município) (310400)	95.888	95.888	94.467	1.164,060	1.421	0	0,0%	1,5%
Baldim (Município) (310500)	7.877	7.877	5.044	556,270	3.285	827	16,4%	41,7%
Barão de Cocais (Município) (310540)	29.205	29.205	26.478	340,590	685	378	1,4%	2,3%
Barbacena (Município) (310560)	128.120	128.120	117.248	759,190	33.474	22.602	19,3%	26,1%
Belo Horizonte (Município) (310620)	2.395.785	2.395.785	2.395.785	331,400	0	0	0,0%	0,0%
Belo Vale (Município) (310640)	7.553	7.553	3.302	365,920	7.553	3.302	100,0%	100,0%
Betim (Município) (310670)	388.873	388.873	386.036	343,860	36.939	34.102	8,8%	9,5%
Bom Despacho (Município) (310740)	46.482	46.482	43.771	1.213,550	2.711	0	0,0%	5,8%
Bonfim (Município) (310810)	6.811	6.811	3.329	301,870	3.482	0	0,0%	51,1%
Brumadinho (Município) (310900)	35.085	35.085	29.580	639,430	13.058	7.553	25,5%	37,2%
Caeté (Município) (311000)	41.423	41.423	36.021	542,530	1.916	1.035	2,9%	4,6%
Campo Belo (Município) (311120)	51.900	51.900	48.962	528,230	0	0	0,0%	0,0%
Capim Branco (Município) (311250)	9.030	9.030	8.226	95,330	804	0	0,0%	8,9%
Caratinga (Município) (311340)	86.364	86.364	71.404	1.258,480	27.280	12.320	17,3%	31,6%
Cataguases (Município) (311530)	70.630	70.630	67.616	491,770	8.851	5.837	8,6%	12,5%
