Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	32.649	28.607	3,29	3,18	2.296,070	21.389,67	4.426,570	24,25
Cacoal (Município) (110004)	29.062	24.172	3,05	2,89	2.127,520	24.037,91	3.792,950	23,33
Jaru (Município) (110011)	19.112	13.654	2,92	2,76	1.413,630	25.301,64	2.944,130	18,98
Ji-Paraná (Município) (110012)	42.729	40.187	3,10	2,97	3.026,760	22.814,71	6.896,650	19,24
Porto Velho (Município) (110020)	162.758	148.597	3,19	3,19	16.514,540	31.793,20	34.090,960	15,24
Rolim de Moura (Município) (110028)	18.985	16.197	3,01	2,88	1.297,530	22.734,08	1.457,890	39,15
Vilhena (Município) (110030)	28.306	27.846	3,38	3,25	2.555,580	26.723,64	11.699,150	8,17
Cruzeiro do Sul (Município) (120020)	24.115	18.058	3,43	3,22	1.287,720	15.585,70	8.779,400	9,41
Rio Branco (Município) (120040)	121.534	107.432	3,16	3,28	8.151,490	21.258,69	8.834,940	43,40
Careiro da Várzea (Município) (130115)	6.948	337	4,20	3,62	313,220	10.730,32	2.627,470	11,11
Coari (Município) (130120)	18.392	13.567	4,61	4,08	1.320,620	15.580,34	57.970,770	1,46
Humaitá (Município) (130170)	11.896	9.146	4,49	4,03	555,210	10.400,50	33.111,160	1,61
Iranduba (Município) (130185)	11.861	8.874	4,00	3,80	704,370	14.857,91	2.216,820	21,39
Itacoatiara (Município) (130190)	24.053	17.401	4,15	3,84	1.978,820	19.817,08	8.891,910	11,23
Manacapuru (Município) (130250)	21.981	16.920	4,39	4,03	1.525,170	15.811,37	7.336,580	13,15
Manaus (Município) (130260)	633.986	628.178	3,36	3,37	73.201,650	34.362,71	11.401,090	186,85
Manicoré (Município) (130270)	11.552	5.634	4,74	4,20	495,940	9.065,26	48.315,020	1,13
Maués (Município) (130290)	12.116	6.686	5,13	4,60	458,900	7.376,44	39.991,070	1,56
Novo Airão (Município) (130320)	3.837	2.726	4,84	4,40	131,530	7.076,83	37.805,260	0,49
Parintins (Município) (130340)	25.147	18.749	4,53	4,16	1.092,090	9.593,89	5.956,370	19,11
Presidente Figueiredo (Município) (130353)	8.738	4.382	3,96	3,77	444,820	12.865,71	25.412,270	1,36
Rio Preto da Eva (Município) (130356)	7.392	3.755	4,33	4,04	383,820	11.994,13	5.815,620	5,50
Tabatinga (Município) (130406)	12.133	9.942	5,24	4,45	461,730	7.255,96	3.266,060	19,48
Tefé (Município) (130420)	14.718	13.018	4,21	3,88	744,800	12.008,84	23.692,220	2,62
Boa Vista (Município) (140010)	96.650	96.653	3,44	3,36	8.939,320	26.924,03	5.687,040	58,38
Abaetetuba (Município) (150010)	39.986	25.867	3,84	3,49	1.337,190	8.718,18	1.610,400	95,24
Acará (Município) (150020)	15.242	4.100	3,55	3,11	932,150	17.231,44	4.343,810	12,45
Alenquer (Município) (150040)	15.617	9.066	3,54	3,21	609,240	11.027,84	23.645,450	2,34
Altamira (Município) (150060)	34.195	30.781	3,26	3,07	2.500,590	22.439,91	159.533,330	0,70
Ananindeua (Município) (150080)	162.135	170.521	3,18	3,02	6.979,140	13.523,96	190,450	2.709,66
Barcarena (Município) (150130)	32.066	12.040	3,78	3,66	4.815,190	39.732,60	1.310,590	92,47
Belém (Município) (150140)	422.288	422.288	3,44	3,41	30.238,480	20.821,46	1.059,460	1.370,77
Benevides (Município) (150150)	17.647	10.287	3,46	3,32	1.393,890	22.854,32	187,830	324,72
Bragança (Município) (150170)	33.832	23.409	3,67	3,40	1.115,900	8.985,82	2.091,930	59,36
Breu Branco (Município) (150178)	15.797	9.575	4,06	3,74	580,330	9.040,32	3.941,910	16,28
Breves (Município) (150180)	22.684	13.140	4,40	3,81	743,290	7.440,60	9.563,010	10,45
Cametá (Município) (150210)	30.436	14.920	4,41	3,93	1.183,530	8.825,69	3.081,370	43,52
Capanema (Município) (150220)	21.780	18.615	3,08	2,88	967,350	14.405,82	614,690	109,24
Capitão Poço (Município) (150230)	16.752	7.794	3,15	2,80	453,990	8.591,87	2.899,550	18,22
Castanhal (Município) (150240)	58.640	55.002	3,33	3,14	3.757,160	19.242,52	1.028,890	189,77
