Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Lagoa Santa (Município) (313760)	586,22	259,21	5.998.140,22	0,00	0,00	5.998.140,22	92,96
Lavras (Município) (313820)	482,23	389,53	2.292.338,06	0,00	0,00	2.292.338,06	22,09
Leopoldina (Município) (313840)	148,92	64,00	621.839,88	0,00	0,00	621.839,88	11,82
Manhuaçu (Município) (313940)	260,40	173,20	474.167,50	0,00	0,00	474.167,50	5,26
Mariana (Município) (314000)	285,20	210,80	3.597.825,13	0,00	0,00	3.597.825,13	59,25
Mário Campos (Município) (314015)	97,46	33,00	252.336,76	0,00	0,00	252.336,76	16,37
Mateus Leme (Município) (314070)	259,54	108,13	2.478.695,57	0,00	0,00	2.478.695,57	79,74
Matozinhos (Município) (314110)	223,93	120,51	792.489,20	0,00	0,00	792.489,20	20,95
Moeda (Município) (314230)	28,51	-	58.456,86	0,00	0,00	58.456,86	11,88
Montes Claros (Município) (314330)	1.805,91	1.278,74	29.319.361,35	0,00	0,00	29.319.361,35	71,63
Muriaé (Município) (314390)	476,73	477,65	5.695.378,56	0,00	0,00	5.695.378,56	52,37
Nova Lima (Município) (314480)	504,26	72,60	1.551.452,12	0,00	0,00	1.551.452,12	16,35
Nova Serrana (Município) (314520)	400,19	242,93	1.972.568,20	30.000,00	0,00	2.002.568,20	19,50
Ouro Preto (Município) (314610)	-	-	0,00	0,00	0,00	0,00	0,00
Paracatu (Município) (314700)	311,27	266,89	7.083.921,54	0,00	0,00	7.083.921,54	76,04
Pará de Minas (Município) (314710)	507,31	330,23	13.481.875,69	0,00	0,00	13.481.875,69	143,47
Passos (Município) (314790)	535,92	480,87	1.650.576,49	0,00	0,00	1.650.576,49	14,39
Patos de Minas (Município) (314800)	883,86	668,71	8.912.317,50	0,00	0,00	8.912.317,50	58,45
Patrocínio (Município) (314810)	469,00	410,00	4.528.620,16	641.058,83	0,00	5.169.678,99	56,96
Pedro Leopoldo (Município) (314930)	361,52	115,25	1.231.775,71	0,00	0,00	1.231.775,71	19,17
Pirapora (Município) (315120)	289,37	86,29	833.072,20	0,00	0,00	833.072,20	14,76
Poços de Caldas (Município) (315180)	1.087,65	973,04	4.499.878,90	0,00	0,00	4.499.878,90	26,88
Ponte Nova (Município) (315210)	330,00	305,00	2.299.784,69	0,00	0,00	2.299.784,69	38,50
Pouso Alegre (Município) (315250)	668,63	545,11	3.144.159,07	0,00	0,00	3.144.159,07	20,86
Prudente de Morais (Município) (315360)	67,70	40,82	347.446,07	0,00	0,00	347.446,07	32,37
Raposos (Município) (315390)	57,14	51,86	378.668,37	0,00	0,00	378.668,37	23,15
Ribeirão das Neves (Município) (315460)	1.095,09	817,18	19.683.590,69	0,00	0,00	19.683.590,69	58,78
Rio Acima (Município) (315480)	-	-	0,00	0,00	0,00	0,00	0,00
Rio Manso (Município) (315530)	46,44	-	736.372,32	0,00	0,00	736.372,32	126,26
Sabará (Município) (315670)	489,19	314,92	42.602.245,59	0,00	0,00	42.602.245,59	312,46
Santa Bárbara (Município) (315720)	129,55	143,56	376.947,34	44.315,00	0,00	421.262,34	13,45
Santa Luzia (Município) (315780)	785,54	470,01	3.486.973,17	0,00	0,00	3.486.973,17	15,91
São Francisco (Município) (316110)	173,87	92,93	955.677,93	0,00	0,00	955.677,93	16,97
São João del Rei (Município) (316250)	420,46	320,16	879.137,42	95.000,00	0,00	974.137,42	10,81
São Joaquim de Bicas (Município) (316292)	272,76	93,66	1.760.114,61	0,00	0,00	1.760.114,61	55,74
São José da Lapa (Município) (316295)	136,30	89,44	484.915,46	0,00	0,00	484.915,46	20,40
São José da Varginha (Município) (316310)	50,00	32,00	0,00	27.116,00	0,00	27.116,00	5,42
São Sebastião do Paraíso (Município) (316470)	308,09	247,49	1.629.266,40	0,00	0,00	1.629.266,40	22,96
Sarzedo (Município) (316553)	180,10	115,15	790.688,52	0,00	0,00	790.688,52	24,14
Sete Lagoas (Município) (316720)	1.172,84	949,57	756.898,39	0,00	0,00	756.898,39	3,16
Taquaraçu de Minas (Município) (316830)	43,64	9,36	91.393,38	0,00	0,00	91.393,38	22,42
Teófilo Otoni (Município) (316860)	349,58	222,68	10.723.726,43	0,00	0,00	10.723.726,43	76,28
Timóteo (Município) (316870)	275,06	196,28	1.498.074,32	0,00	0,00	1.498.074,32	16,67
Três Corações (Município) (316930)	360,34	292,64	1.630.264,94	0,00	0,00	1.630.264,94	20,51
Três Pontas (Município) (316940)	255,13	222,64	1.487.777,19	0,00	0,00	1.487.777,19	26,22
Ubá (Município) (316990)	219,13	155,40	1.863.196,92	0,00	0,00	1.863.196,92	16,12
Uberaba (Município) (317010)	1.902,74	1.869,51	8.161.941,20	13.669.159,16	0,00	21.831.100,36	65,41
Uberlândia (Município) (317020)	3.438,60	2.808,90	85.222.632,03	0,00	0,00	85.222.632,03	123,28
Unaí (Município) (317040)	339,79	248,80	2.819.056,07	0,00	0,00	2.819.056,07	33,41
Varginha (Município) (317070)	664,43	555,39	3.037.518,69	0,00	0,00	3.037.518,69	22,41
Vespasiano (Município) (317120)	540,50	316,94	2.326.847,90	0,00	0,00	2.326.847,90	18,24
Viçosa (Município) (317130)	285,60	219,40	1.291.843,43	2.248.296,60	0,00	3.540.140,03	44,90
Aracruz (Município) (320060)	390,88	248,93	6.006.969,90	0,00	0,00	6.006.969,90	59,35
Cachoeiro de Itapemirim (Município) (320120)	659,02	544,92	8.166.492,58	0,00	0,00	8.166.492,58	39,08
Cariacica (Município) (320130)	1.297,73	391,76	27.210.199,85	0,00	0,00	27.210.199,85	71,36
Colatina (Município) (320150)	340,00	210,00	1.036.237,71	4.278.979,90	0,00	5.315.217,61	43,39
Fundão (Município) (320220)	151,27	34,63	231.301,51	0,00	0,00	231.301,51	10,75
Guarapari (Município) (320240)	539,88	229,05	13.996.192,31	0,00	0,00	13.996.192,31	112,10
Linhares (Município) (320320)	506,48	294,16	6.061.344,92	0,00	0,00	6.061.344,92	34,92
São Mateus (Município) (320490)	480,00	138,00	364.074,84	0,00	0,00	364.074,84	2,79
Serra (Município) (320500)	1.844,55	1.018,15	62.768.072,60	0,00	0,00	62.768.072,60	121,29
Viana (Município) (320510)	272,11	90,14	13.948.261,75	0,00	0,00	13.948.261,75	178,28
Vila Velha (Município) (320520)	1.369,92	408,31	25.395.326,89	0,00	0,00	25.395.326,89	51,42
Vitória (Município) (320530)	864,14	481,08	37.271.508,21	0,00	0,00	37.271.508,21	102,93
Angra dos Reis (Município) (330010)	391,40	226,20	1.759.545,20	0,00	0,00	1.759.545,20	8,63
Araruama (Município) (330020)	852,00	129,70	31.131.359,05	0,00	0,00	31.131.359,05	235,13
Barra do Piraí (Município) (330030)	237,30	118,58	0,00	26.818,00	0,00	26.818,00	0,27
Barra Mansa (Município) (330040)	3.129,00	1.602,00	3.426.400,41	0,00	2.854.935,35	6.281.335,76	34,06
Belford Roxo (Município) (330045)	563,33	418,00	10.950.057,34	0,00	0,00	10.950.057,34	21,43
Cabo Frio (Município) (330070)	1.317,00	39,00	8.067.284,00	0,00	0,00	8.067.284,00	35,61
Cachoeiras de Macacu (Município) (330080)	342,76	123,00	1.559,50	0,00	0,00	1.559,50	0,03
Campos dos Goytacazes (Município) (330100)	1.537,00	1.013,00	65.712.272,39	0,00	0,00	65.712.272,39	129,47
Duque de Caxias (Município) (330170)	1.311,43	675,00	24.896.098,17	0,00	0,00	24.896.098,17	27,07
Guapimirim (Município) (330185)	168,56	-	0,00	0,00	0,00	0,00	0,00
Itaboraí (Município) (330190)	396,00	120,00	23.760,43	0,00	0,00	23.760,43	0,10
Itaguaí (Município) (330200)	560,08	100,00	0,00	0,00	0,00	0,00	0,00
Itaperuna (Município) (330220)	119,00	-	0,00	0,00	0,00	0,00	0,00
Japeri (Município) (330227)	160,67	-	0,00	0,00	0,00	0,00	0,00
Macaé (Município) (330240)	539,21	493,00	23.497.658,62	0,00	0,00	23.497.658,62	91,55
Magé (Município) (330250)	305,00	-	1.559,50	0,00	0,00	1.559,50	0,01
Maricá (Município) (330270)	160,00	23,00	2.351.758,95	0,00	0,00	2.351.758,95	14,59
Mesquita (Município) (330285)	412,60	179,00	1.724.032,58	0,00	0,00	1.724.032,58	9,79
Nilópolis (Município) (330320)	248,26	190,00	0,00	0,00	0,00	0,00	0,00
Niterói (Município) (330330)	1.314,98	785,83	34.969.955,39	0,00	0,00	34.969.955,39	68,09
Nova Friburgo (Município) (330340)	741,30	438,70	25.106.137,95	0,00	0,00	25.106.137,95	131,70
Nova Iguaçu (Município) (330350)	767,59	1.162,26	12.628.592,33	12.713.525,25	0,00	25.342.117,58	30,86
Paracambi (Município) (330360)	110,55	61,00	0,00	0,00	0,00	0,00	0,00
Petrópolis (Município) (330390)	876,30	288,50	11.765.183,69	0,00	0,00	11.765.183,69	38,42
Queimados (Município) (330414)	389,73	132,00	2.710.229,57	0,00	0,00	2.710.229,57	18,03
Resende (Município) (330420)	507,47	418,64	8.523.910,66	0,00	0,00	8.523.910,66	64,90
Rio Bonito (Município) (330430)	72,00	205,00	1.038.707,23	0,00	0,00	1.038.707,23	17,25
Rio das Ostras (Município) (330452)	169,50	226,00	5.260.656,00	19.663.258,26	0,00	24.923.914,26	165,42
Rio de Janeiro (Município) (330455)	10.839,45	6.765,73	171.873.150,26	0,00	0,00	171.873.150,26	25,58
São Gonçalo (Município) (330490)	1.692,00	721,00	2.709.219,36	0,00	0,00	2.709.219,36	2,50
São João de Meriti (Município) (330510)	544,66	-	0,00	0,00	0,00	0,00	0,00
São Pedro da Aldeia (Município) (330520)	701,00	56,00	26.203.661,00	0,00	0,00	26.203.661,00	250,81
Saquarema (Município) (330550)	472,00	60,10	0,00	0,00	0,00	0,00	0,00
Seropédica (Município) (330555)	301,11	53,00	0,00	0,00	0,00	0,00	0,00
Tanguá (Município) (330575)	25,00	-	0,00	0,00	0,00	0,00	0,00
Teresópolis (Município) (330580)	417,00	-	118.667,63	0,00	0,00	118.667,63	0,65
Três Rios (Município) (330600)	550,00	500,00	1.683.709,01	0,00	0,00	1.683.709,01	20,58
Valença (Município) (330610)	181,00	-	0,00	0,00	0,00	0,00	0,00
Volta Redonda (Município) (330630)	1.045,60	904,57	1.490.978,00	19.683,00	636.435,00	2.147.096,00	7,86
Americana (Município) (350160)	2.162,50	2.331,54	25.226.837,95	0,00	0,00	25.226.837,95	105,29
Amparo (Município) (350190)	326,40	228,96	852.472,79	0,00	0,00	852.472,79	11,81
Andradina (Município) (350210)	293,26	322,46	7.467.396,00	0,00	0,00	7.467.396,00	130,65
Araçatuba (Município) (350280)	745,33	848,34	29.258.167,64	0,00	0,00	29.258.167,64	148,51
Araraquara (Município) (350320)	1.440,71	1.202,06	19.614.927,46	0,00	0,00	19.614.927,46	83,09
Araras (Município) (350330)	1.057,00	856,00	5.410.103,32	0,00	0,00	5.410.103,32	40,30
Artur Nogueira (Município) (350380)	175,66	167,47	1.085.844,80	5.699,66	179.031,81	1.270.576,27	23,35
Arujá (Município) (350390)	401,24	201,78	6.637.161,39	0,00	0,00	6.637.161,39	73,89
Assis (Município) (350400)	498,14	402,98	3.105.125,15	0,00	0,00	3.105.125,15	29,75
Atibaia (Município) (350410)	604,74	404,70	584.125,16	10.713.938,36	0,00	11.298.063,52	79,14
Avaré (Município) (350450)	421,20	343,31	4.665.516,53	0,00	0,00	4.665.516,53	51,46
Barretos (Município) (350550)	700,00	650,00	3.322.815,32	0,00	0,00	3.322.815,32	27,21
Barueri (Município) (350570)	747,72	428,62	64.738.085,14	0,00	0,00	64.738.085,14	236,11
Batatais (Município) (350590)	300,00	280,00	0,00	650.000,00	0,00	650.000,00	10,40
Bauru (Município) (350600)	1.704,12	1.421,12	70.165,56	0,00	0,00	70.165,56	0,19
Bebedouro (Município) (350610)	731,00	729,00	2.128.638,45	0,00	0,00	2.128.638,45	27,47
Bertioga (Município) (350635)	357,62	244,95	14.590.992,93	0,00	0,00	14.590.992,93	230,69
Birigui (Município) (350650)	470,50	459,50	0,00	595.780,16	0,00	595.780,16	4,82
Biritiba-Mirim (Município) (350660)	133,36	71,01	1.380.225,89	0,00	0,00	1.380.225,89	42,34
Boituva (Município) (350700)	153,28	69,58	2.372.807,17	0,00	0,00	2.372.807,17	38,90
Botucatu (Município) (350750)	659,23	477,63	7.897.339,58	0,00	0,00	7.897.339,58	53,91
Bragança Paulista (Município) (350760)	859,42	529,69	12.672.812,10	0,00	0,00	12.672.812,10	75,13
Caçapava (Município) (350850)	489,91	293,45	5.894.020,88	0,00	0,00	5.894.020,88	62,53
Caieiras (Município) (350900)	321,85	179,03	29.165.681,61	0,00	0,00	29.165.681,61	287,43
Cajamar (Município) (350920)	301,74	137,64	8.089.132,98	0,00	0,00	8.089.132,98	105,33
Campinas (Município) (350950)	4.730,69	4.464,89	109.822.330,41	0,00	0,00	109.822.330,41	91,21
Campo Limpo Paulista (Município) (350960)	295,45	179,75	9.854.621,72	0,00	0,00	9.854.621,72	116,42
Campos do Jordão (Município) (350970)	321,14	124,36	2.407.264,09	0,00	0,00	2.407.264,09	46,22
Capivari (Município) (351040)	309,72	276,00	6.549.088,33	0,00	0,00	6.549.088,33	117,43
Caraguatatuba (Município) (351050)	633,90	508,20	20.360.100,00	0,00	0,00	20.360.100,00	167,53
Carapicuíba (Município) (351060)	647,90	434,83	32.232.191,78	0,00	0,00	32.232.191,78	80,39
Catanduva (Município) (351110)	500,00	500,00	3.809.278,55	0,00	0,00	3.809.278,55	31,26
Cosmópolis (Município) (351280)	185,00	185,00	0,00	1.196.934,84	0,00	1.196.934,84	16,57
Cotia (Município) (351300)	1.158,18	391,60	40.904.951,75	0,00	0,00	40.904.951,75	164,14
Cruzeiro (Município) (351340)	315,00	295,80	2.161.010,84	0,00	0,00	2.161.010,84	26,28
Cubatão (Município) (351350)	255,22	148,35	13.150.652,08	0,00	0,00	13.150.652,08	100,61
Diadema (Município) (351380)	824,67	495,07	39.576.199,45	0,00	0,00	39.576.199,45	93,37
Embu das Artes (Município) (351500)	641,57	313,29	18.651.388,23	0,00	0,00	18.651.388,23	68,14
Embu-Guaçu (Município) (351510)	258,48	126,72	5.188.280,22	0,00	0,00	5.188.280,22	74,78
Fernandópolis (Município) (351550)	335,38	283,52	5.367.507,67	0,00	0,00	5.367.507,67	77,66
Ferraz de Vasconcelos (Município) (351570)	322,62	262,19	5.522.187,45	0,00	0,00	5.522.187,45	28,42
Franca (Município) (351620)	1.518,36	1.253,35	18.458.665,19	0,00	0,00	18.458.665,19	52,26
Francisco Morato (Município) (351630)	388,08	210,82	18.085.135,33	0,00	0,00	18.085.135,33	102,85
Franco da Rocha (Município) (351640)	447,57	232,93	25.279.666,76	0,00	0,00	25.279.666,76	163,63
Guararema (Município) (351830)	152,74	42,39	1.001.205,40	0,00	0,00	1.001.205,40	33,60
Guaratinguetá (Município) (351840)	630,00	338,81	1.005.790,50	0,00	0,00	1.005.790,50	8,26
Guarujá (Município) (351870)	841,24	446,04	22.475.469,50	0,00	0,00	22.475.469,50	70,14
Guarulhos (Município) (351880)	2.471,35	1.925,50	53.521.385,73	0,00	0,00	53.521.385,73	38,81
Hortolândia (Município) (351907)	602,44	358,46	7.665.398,26	0,00	0,00	7.665.398,26	33,20
Ibitinga (Município) (351960)	-	-	0,00	0,00	0,00	0,00	0,00
Ibiúna (Município) (351970)	147,13	28,61	3.724.179,23	0,00	0,00	3.724.179,23	47,21
Indaiatuba (Município) (352050)	1.104,87	985,89	22.136.600,11	0,00	0,00	22.136.600,11	87,97
Itanhaém (Município) (352210)	962,06	429,88	42.027.476,33	0,00	0,00	42.027.476,33	412,78
Itapecerica da Serra (Município) (352220)	450,70	216,48	17.507.297,93	0,00	0,00	17.507.297,93	99,65
Itapetininga (Município) (352230)	643,31	458,86	13.184.666,54	0,00	0,00	13.184.666,54	80,44
Itapeva (Município) (352240)	395,70	250,27	9.814.287,92	0,00	0,00	9.814.287,92	104,02
Itapevi (Município) (352250)	498,07	273,38	17.012.333,07	0,00	0,00	17.012.333,07	71,57
Itapira (Município) (352260)	351,54	315,25	2.167.296,61	0,00	0,00	2.167.296,61	28,99
Itaquaquecetuba (Município) (352310)	915,10	469,45	76.427.360,42	0,00	0,00	76.427.360,42	206,10
Itararé (Município) (352320)	212,36	140,58	1.983.657,32	0,00	0,00	1.983.657,32	39,28
Itatiba (Município) (352340)	235,51	159,07	11.032.122,67	0,00	0,00	11.032.122,67	91,28
Itu (Município) (352390)	831,70	597,24	3.303.178,85	0,00	0,00	3.303.178,85	18,99
Itupeva (Município) (352400)	87,54	36,43	4.075.748,79	0,00	0,00	4.075.748,79	66,54
Jaboticabal (Município) (352430)	365,66	250,91	906.409,34	0,00	0,00	906.409,34	11,73
Jacareí (Município) (352440)	801,06	620,16	21.533.750,34	0,00	0,00	21.533.750,34	92,16
Jaguariúna (Município) (352470)	212,00	207,00	0,00	512.800,86	0,00	512.800,86	8,92
Jandira (Município) (352500)	249,07	157,87	10.468.639,45	0,00	0,00	10.468.639,45	83,79
Jaú (Município) (352530)	897,00	736,70	23.575.850,59	0,00	0,00	23.575.850,59	156,91
Jundiaí (Município) (352590)	1.942,56	998,74	23.811.971,59	0,00	0,00	23.811.971,59	56,84
Juquitiba (Município) (352620)	116,22	30,41	2.050.241,41	0,00	0,00	2.050.241,41	65,20
Leme (Município) (352670)	460,00	440,00	4.546.287,26	0,00	0,00	4.546.287,26	43,97
Lençóis Paulista (Município) (352680)	337,10	277,97	1.316.050,31	0,00	0,00	1.316.050,31	19,23
Limeira (Município) (352690)	1.198,66	1.048,88	78.799.779,41	0,00	0,00	78.799.779,41	257,42
Lins (Município) (352710)	238,11	214,04	5.049.544,94	0,00	0,00	5.049.544,94	64,73
Lorena (Município) (352720)	267,61	208,09	3.470.185,29	0,00	0,00	3.470.185,29	39,12
Mairiporã (Município) (352850)	367,68	74,32	17.629.941,24	0,00	0,00	17.629.941,24	175,98
Marília (Município) (352900)	802,00	793,17	1.631.293,92	0,00	0,00	1.631.293,92	6,83
Matão (Município) (352930)	392,84	379,10	7.658.311,66	0,00	0,00	7.658.311,66	92,08
Mauá (Município) (352940)	747,88	613,00	8.301.153,56	0,00	0,00	8.301.153,56	17,55
Mirassol (Município) (353030)	475,00	492,00	8.604.150,00	0,00	0,00	8.604.150,00	143,82
Mococa (Município) (353050)	405,60	172,16	3.458.631,06	0,00	0,00	3.458.631,06	50,21
Mogi das Cruzes (Município) (353060)	1.151,00	829,00	27.744.564,25	0,00	0,00	27.744.564,25	62,23
Mogi Guaçu (Município) (353070)	645,95	576,67	12.076.690,26	0,00	650.201,00	12.726.891,26	83,79
Mogi Mirim (Município) (353080)	496,00	400,00	1.052.818,55	0,00	0,00	1.052.818,55	11,30
Mongaguá (Município) (353110)	425,56	321,17	14.672.621,75	0,00	0,00	14.672.621,75	258,77
Monte Alto (Município) (353130)	278,96	260,92	3.157.543,14	0,00	0,00	3.157.543,14	62,53
Monte Mor (Município) (353180)	248,61	91,65	8.892.797,83	0,00	0,00	8.892.797,83	148,78
Nova Odessa (Município) (353340)	282,76	273,59	7.136.017,38	0,00	0,00	7.136.017,38	118,59
Olímpia (Município) (353390)	246,38	236,44	1.871.348,60	0,00	0,00	1.871.348,60	34,17
Osasco (Município) (353440)	1.281,87	823,17	56.440.501,68	0,00	0,00	56.440.501,68	80,81
Ourinhos (Município) (353470)	643,70	525,75	950.398,48	0,00	0,00	950.398,48	8,37
Paulínia (Município) (353650)	492,84	232,22	4.899.185,23	0,00	0,00	4.899.185,23	44,77
Penápolis (Município) (353730)	288,30	279,22	2.757.523,16	0,00	0,00	2.757.523,16	43,49
Peruíbe (Município) (353760)	541,80	473,77	13.217.772,13	0,00	0,00	13.217.772,13	193,57
Piedade (Município) (353780)	178,33	63,21	4.757.816,39	0,00	0,00	4.757.816,39	85,96
Pindamonhangaba (Município) (353800)	608,17	446,89	6.385.874,14	0,00	0,00	6.385.874,14	37,94
Piracicaba (Município) (353870)	1.708,76	1.441,49	110.379.177,89	0,00	0,00	110.379.177,89	273,12
Pirapora do Bom Jesus (Município) (353910)	84,55	43,08	2.640.935,17	0,00	0,00	2.640.935,17	139,77
Pirassununga (Município) (353930)	524,00	441,00	1.675.514,00	0,00	0,00	1.675.514,00	21,93
Poá (Município) (353980)	302,54	253,72	7.962.095,80	0,00	0,00	7.962.095,80	67,79
Porto Feliz (Município) (354060)	205,01	151,31	2.132.227,37	0,00	0,00	2.132.227,37	40,16
