Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	27.955	23.707	3,28	3,27	2.491,390	27.207,44	4.426,570	20,69
Cacoal (Município) (110004)	24.884	20.033	3,17	3,11	1.898,870	24.048,80	3.792,950	20,82
Jaru (Município) (110011)	16.364	11.316	3,17	3,10	1.299,510	25.046,86	2.944,130	17,62
Ji-Paraná (Município) (110012)	36.586	33.305	3,21	3,17	3.101,210	26.424,06	6.896,650	17,02
Porto Velho (Município) (110020)	122.777	113.194	3,55	3,51	16.800,310	38.556,52	34.090,960	12,78
Rolim de Moura (Município) (110028)	16.256	13.424	3,13	3,10	1.140,660	22.410,36	1.457,890	34,91
Vilhena (Município) (110030)	24.237	23.078	3,22	3,20	2.249,460	28.862,50	11.699,150	6,66
Cruzeiro do Sul (Município) (120020)	19.318	14.114	4,10	3,95	1.143,950	14.448,55	8.779,400	9,02
Rio Branco (Município) (120040)	97.876	90.032	3,50	3,49	8.320,310	24.307,14	8.834,940	38,74
Careiro da Várzea (Município) (130115)	5.916	270	4,13	3,78	362,140	14.816,37	2.627,470	9,30
Coari (Município) (130120)	15.662	10.854	4,89	4,62	4.953,150	64.623,72	57.970,770	1,32
Humaitá (Município) (130170)	10.131	7.317	4,45	4,25	435,440	9.653,97	33.111,160	1,36
Iranduba (Município) (130185)	10.101	7.099	4,10	4,14	577,230	13.951,45	2.216,820	18,66
Itacoatiara (Município) (130190)	20.484	13.923	4,29	4,23	1.694,280	19.259,69	8.891,910	9,89
Manacapuru (Município) (130250)	18.719	13.538	4,60	4,49	1.341,520	15.584,96	7.336,580	11,73
Manaus (Município) (130260)	483.012	480.166	3,79	3,80	83.748,720	45.703,79	11.401,090	160,72
Manicoré (Município) (130270)	9.838	4.507	4,85	4,58	498,010	10.438,90	48.315,020	0,99
Maués (Município) (130290)	10.318	5.350	5,15	4,91	455,460	8.565,61	39.991,070	1,33
Novo Airão (Município) (130320)	3.267	2.181	4,63	4,47	110,220	7.292,85	37.805,260	0,40
Parintins (Município) (130340)	21.415	15.001	4,81	4,70	1.161,920	11.286,74	5.956,370	17,28
Presidente Figueiredo (Município) (130353)	7.441	3.506	3,75	3,81	843,170	30.192,88	25.412,270	1,10
Rio Preto da Eva (Município) (130356)	6.296	3.004	4,18	4,16	405,280	15.384,13	5.815,620	4,53
Tabatinga (Município) (130406)	10.332	7.954	5,17	4,67	443,660	8.312,27	3.266,060	16,34
