Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	101.269	101.269	85.770	4.426,570	101.269	85.770	100,0%	100,0%
Cacoal (Município) (110004)	85.863	85.863	67.665	3.792,950	48.363	30.165	44,6%	56,3%
Jaru (Município) (110011)	55.597	55.597	37.544	2.944,130	55.597	37.544	100,0%	100,0%
Ji-Paraná (Município) (110012)	128.026	128.026	115.123	6.896,650	128.026	115.123	100,0%	100,0%
Porto Velho (Município) (110020)	484.992	484.992	442.218	34.090,960	471.783	429.009	97,0%	97,3%
Rolim de Moura (Município) (110028)	55.357	55.357	45.281	1.457,890	54.357	44.281	97,8%	98,2%
Vilhena (Município) (110030)	87.727	87.727	83.140	11.699,150	87.727	83.140	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	80.377	80.377	56.644	8.779,400	80.377	56.644	100,0%	100,0%
Rio Branco (Município) (120040)	357.194	357.194	327.970	8.834,940	285.148	256.127	78,1%	79,8%
Careiro da Várzea (Município) (130115)	26.722	26.722	1.117	2.627,470	26.722	1.117	100,0%	100,0%
Coari (Município) (130120)	81.325	81.325	53.154	57.970,770	-	-	-	-
Humaitá (Município) (130170)	49.137	49.137	33.887	33.111,160	49.137	33.887	100,0%	100,0%
Iranduba (Município) (130185)	44.503	44.503	31.624	2.216,820	-	-	-	-
Itacoatiara (Município) (130190)	94.278	94.278	63.139	8.891,910	-	-	-	-
Manacapuru (Município) (130250)	91.795	91.795	64.877	7.336,580	-	-	-	-
Manaus (Município) (130260)	1.982.177	1.982.177	1.972.131	11.401,090	1.806.790	1.796.744	91,1%	91,2%
Manicoré (Município) (130270)	51.331	51.331	22.216	48.315,020	51.331	22.216	100,0%	100,0%
Maués (Município) (130290)	57.663	57.663	28.516	39.991,070	57.663	28.516	100,0%	100,0%
Novo Airão (Município) (130320)	16.719	16.719	10.787	37.805,260	16.719	10.787	100,0%	100,0%
Parintins (Município) (130340)	109.225	109.225	74.816	5.956,370	109.225	74.816	100,0%	100,0%
Presidente Figueiredo (Município) (130353)	30.978	30.978	14.820	25.412,270	26.532	10.374	70,0%	85,6%
Rio Preto da Eva (Município) (130356)	28.999	28.999	13.762	5.815,620	-	-	-	-
Tabatinga (Município) (130406)	58.314	58.314	40.557	3.266,060	58.314	40.557	100,0%	100,0%
Tefé (Município) (130420)	62.885	62.885	51.236	23.692,220	-	-	-	-
Boa Vista (Município) (140010)	308.996	308.996	301.916	5.687,040	188.230	181.150	60,0%	60,9%
Abaetetuba (Município) (150010)	147.267	147.267	86.626	1.610,400	147.267	86.626	100,0%	100,0%
Acará (Município) (150020)	54.030	54.030	12.730	4.343,810	-	-	-	-
Alenquer (Município) (150040)	54.035	54.035	28.464	23.645,450	54.035	28.464	100,0%	100,0%
Altamira (Município) (150060)	105.106	105.106	89.211	159.533,330	105.106	89.211	100,0%	100,0%
Ananindeua (Município) (150080)	493.976	493.976	492.761	190,450	493.976	492.761	100,0%	100,0%
Barcarena (Município) (150130)	109.975	109.975	39.974	1.310,590	91.975	21.974	55,0%	83,6%
Belém (Município) (150140)	1.425.922	1.425.922	1.413.720	1.059,460	1.324.777	1.312.575	92,8%	92,9%
Benevides (Município) (150150)	56.112	56.112	31.409	187,830	-	-	-	-
Bragança (Município) (150170)	118.678	118.678	76.117	2.091,930	118.678	76.117	100,0%	100,0%
Breu Branco (Município) (150178)	58.033	58.033	32.401	3.941,910	58.033	32.401	100,0%	100,0%
Breves (Município) (150180)	96.444	96.444	48.357	9.563,010	96.444	48.357	100,0%	100,0%
Cametá (Município) (150210)	127.401	127.401	55.681	3.081,370	127.401	55.681	100,0%	100,0%
Capanema (Município) (150220)	65.498	65.498	52.214	614,690	65.498	52.214	100,0%	100,0%
Capitão Poço (Município) (150230)	52.537	52.537	21.707	2.899,550	52.537	21.707	100,0%	100,0%
Castanhal (Município) (150240)	183.917	183.917	162.916	1.028,890	183.917	162.916	100,0%	100,0%
Dom Eliseu (Município) (150293)	54.602	54.602	34.596	5.268,820	54.602	34.596	100,0%	100,0%
Igarapé-Miri (Município) (150330)	59.644	59.644	26.912	1.996,790	59.644	26.912	100,0%	100,0%
Ipixuna do Pará (Município) (150345)	54.609	54.609	13.013	5.215,560	-	-	-	-
Itaituba (Município) (150360)	98.363	98.363	71.313	62.042,470	98.363	71.313	100,0%	100,0%
Itupiranga (Município) (150370)	51.711	51.711	20.686	7.880,110	51.711	20.686	100,0%	100,0%
Jacundá (Município) (150380)	54.376	54.376	48.366	2.008,320	54.376	48.366	100,0%	100,0%
Juruti (Município) (150390)	51.483	51.483	17.332	8.305,130	-	-	-	-
Marabá (Município) (150420)	251.885	251.885	200.791	15.128,060	251.885	200.791	100,0%	100,0%
Marituba (Município) (150442)	117.614	117.614	116.394	103,340	117.614	116.394	100,0%	100,0%
Moju (Município) (150470)	74.768	74.768	26.869	9.094,140	74.768	26.869	100,0%	100,0%
Monte Alegre (Município) (150480)	56.147	56.147	24.868	18.152,560	56.147	24.868	100,0%	100,0%
Novo Repartimento (Município) (150506)	67.652	67.652	30.473	15.398,720	67.652	30.473	100,0%	100,0%
Óbidos (Município) (150510)	50.171	50.171	25.899	28.021,440	50.171	25.899	100,0%	100,0%
Oriximiná (Município) (150530)	66.821	66.821	42.722	107.603,660	66.821	42.722	100,0%	100,0%
Paragominas (Município) (150550)	103.775	103.775	81.170	19.342,250	98.885	76.280	94,0%	95,3%
Parauapebas (Município) (150553)	176.582	176.582	159.122	6.886,210	157.904	140.579	88,3%	89,4%
Portel (Município) (150580)	56.094	56.094	26.720	25.384,960	56.094	26.720	100,0%	100,0%
Redenção (Município) (150613)	79.010	79.010	73.268	3.823,810	5.742	0	0,0%	7,3%
Rondon do Pará (Município) (150618)	48.959	48.959	36.170	8.246,390	-	-	-	-
Santa Bárbara do Pará (Município) (150635)	18.736	18.736	5.966	278,150	-	-	-	-
Santa Izabel do Pará (Município) (150650)	63.973	63.973	46.259	717,660	-	-	-	-
Santana do Araguaia (Município) (150670)	63.031	63.031	33.296	11.591,460	63.031	33.296	100,0%	100,0%
Santarém (Município) (150680)	288.462	288.462	211.308	17.898,390	288.462	211.308	100,0%	100,0%
São Félix do Xingu (Município) (150730)	106.940	106.940	52.818	84.212,850	106.940	52.818	100,0%	100,0%
