Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	191,20	0,00	240.434,09	0,00	0,00	240.434,09	2,37
Cacoal (Município) (110004)	428,00	170,00	465.695,34	0,00	0,00	465.695,34	5,42
Jaru (Município) (110011)	150,81	0,00	537.269,75	0,00	0,00	537.269,75	9,66
Ji-Paraná (Município) (110012)	296,38	0,00	994.508,16	0,00	0,00	994.508,16	7,77
Porto Velho (Município) (110020)	1.017,81	70,17	575.255,18	0,00	0,00	575.255,18	1,19
Rolim de Moura (Município) (110028)	215,26	15,00	677.349,25	0,00	0,00	677.349,25	12,24
Vilhena (Município) (110030)	475,00	0,00	215.845,96	0,00	0,00	215.845,96	2,46
Cruzeiro do Sul (Município) (120020)	178,55	0,00	3.239,51	1.055.224,03	2.055.194,72	3.113.658,25	38,74
Rio Branco (Município) (120040)	1.074,72	438,97	1.411.227,23	0,00	15.095.328,81	16.506.556,03	46,21
Careiro da Várzea (Município) (130115)	8,80	0,00	41.637,25	0,00	0,00	41.637,25	1,56
Coari (Município) (130120)	-	-	-	-	-	-	-
Humaitá (Município) (130170)	97,00	0,00	25.247,35	0,00	0,00	25.247,35	0,51
Iranduba (Município) (130185)	-	-	-	-	-	-	-
Itacoatiara (Município) (130190)	-	-	-	-	-	-	-
Manacapuru (Município) (130250)	-	-	-	-	-	-	-
Manaus (Município) (130260)	3.546,11	478,16	133.560.188,43	0,00	0,00	133.560.188,43	67,38
Manicoré (Município) (130270)	53,00	0,00	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	65,00	0,00	151.334,33	0,00	0,00	151.334,33	2,62
Novo Airão (Município) (130320)	41,85	0,00	0,00	0,00	0,00	0,00	0,00
Parintins (Município) (130340)	148,00	0,00	0,00	0,00	0,00	0,00	0,00
Presidente Figueiredo (Município) (130353)	40,40	19,57	0,00	0,00	0,00	0,00	0,00
Rio Preto da Eva (Município) (130356)	-	-	-	-	-	-	-
Tabatinga (Município) (130406)	76,36	0,00	91.378,54	0,00	0,00	91.378,54	1,57
Tefé (Município) (130420)	-	-	-	-	-	-	-
Boa Vista (Município) (140010)	1.379,42	579,57	5.354.986,83	0,00	211.587.080,35	216.942.067,18	702,09
Abaetetuba (Município) (150010)	69,00	0,00	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	-	-	-	-	-	-	-
Alenquer (Município) (150040)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Altamira (Município) (150060)	79,25	0,00	0,00	0,00	1.536.918,79	1.536.918,79	14,62
Ananindeua (Município) (150080)	416,87	0,00	0,00	0,00	2.683.089,20	2.683.089,20	5,43
Barcarena (Município) (150130)	260,00	64,70	0,00	266.322,51	0,00	266.322,51	2,42
Belém (Município) (150140)	2.112,37	381,00	22.256.757,45	415.255,08	57.989.474,97	80.661.487,50	56,57
Benevides (Município) (150150)	-	-	-	-	-	-	-
Bragança (Município) (150170)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	0,00	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	0,00	0,00	0,00	187.679,25	187.679,25	1,95
Cametá (Município) (150210)	73,36	0,00	77.835,91	0,00	0,00	77.835,91	0,61
Capanema (Município) (150220)	118,00	0,00	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	383,76	0,00	0,00	0,00	0,00	0,00	0,00
Dom Eliseu (Município) (150293)	40,17	0,00	0,00	0,00	7.059.698,37	7.059.698,37	129,29
Igarapé-Miri (Município) (150330)	64,98	0,00	0,00	0,00	871.210,17	871.210,17	14,61
Ipixuna do Pará (Município) (150345)	-	-	-	-	-	-	-
Itaituba (Município) (150360)	57,60	0,00	0,00	0,00	2.130,58	2.130,58	0,02
Itupiranga (Município) (150370)	9,00	0,00	0,00	0,00	0,00	0,00	0,00
Jacundá (Município) (150380)	37,00	0,00	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	-	-	-	-	-	-	-
