Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	107.345	107.345	90.916	4.426,570	105.480	89.051	97,9%	98,3%
Cacoal (Município) (110004)	88.507	88.507	69.749	3.792,950	46.907	28.149	40,4%	53,0%
Jaru (Município) (110011)	55.871	55.871	37.729	2.944,130	55.871	37.729	100,0%	100,0%
Ji-Paraná (Município) (110012)	132.667	132.667	119.297	6.896,650	132.667	119.297	100,0%	100,0%
Porto Velho (Município) (110020)	519.436	519.436	473.624	34.090,960	495.665	449.853	95,0%	95,4%
Rolim de Moura (Município) (110028)	57.074	57.074	46.685	1.457,890	57.074	46.685	100,0%	100,0%
Vilhena (Município) (110030)	95.630	95.630	90.630	11.699,150	95.630	90.630	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	82.622	82.622	58.226	8.779,400	82.622	58.226	100,0%	100,0%
Rio Branco (Município) (120040)	383.443	383.443	352.072	8.834,940	300.433	269.102	76,4%	78,4%
Careiro da Várzea (Município) (130115)	29.190	29.190	1.220	2.627,470	29.190	1.220	100,0%	100,0%
Coari (Município) (130120)	84.762	84.762	55.401	57.970,770	-	-	-	-
Humaitá (Município) (130170)	53.383	53.383	36.815	33.111,160	-	-	-	-
Iranduba (Município) (130185)	47.407	47.407	33.687	2.216,820	-	-	-	-
Itacoatiara (Município) (130190)	99.854	99.854	66.873	8.891,910	-	-	-	-
Manacapuru (Município) (130250)	96.460	96.460	68.174	7.336,580	96.460	68.174	100,0%	100,0%
Manaus (Município) (130260)	2.130.264	2.130.264	2.119.467	11.401,090	1.869.202	1.858.405	87,7%	87,7%
Manicoré (Município) (130270)	54.708	54.708	23.678	48.315,020	54.708	23.678	100,0%	100,0%
Maués (Município) (130290)	62.212	62.212	30.765	39.991,070	-	-	-	-
Novo Airão (Município) (130320)	18.586	18.586	11.991	37.805,260	18.586	11.991	100,0%	100,0%
Parintins (Município) (130340)	113.832	113.832	77.972	5.956,370	113.832	77.972	100,0%	100,0%
Presidente Figueiredo (Município) (130353)	34.574	34.574	16.541	25.412,270	18.450	417	2,5%	53,4%
Rio Preto da Eva (Município) (130356)	32.001	32.001	15.186	5.815,620	-	-	-	-
Tabatinga (Município) (130406)	63.635	63.635	44.258	3.266,060	63.635	44.258	100,0%	100,0%
Tefé (Município) (130420)	62.021	62.021	50.532	23.692,220	62.021	50.532	100,0%	100,0%
Boa Vista (Município) (140010)	332.020	332.020	324.413	5.687,040	124.395	116.788	36,0%	37,5%
Abaetetuba (Município) (150010)	153.380	153.380	90.221	1.610,400	153.380	90.221	100,0%	100,0%
Acará (Município) (150020)	54.096	54.096	12.745	4.343,810	-	-	-	-
Alenquer (Município) (150040)	55.246	55.246	29.102	23.645,450	55.246	29.102	100,0%	100,0%
Altamira (Município) (150060)	111.435	111.435	94.583	159.533,330	74.327	57.475	60,8%	66,7%
Ananindeua (Município) (150080)	516.057	516.057	514.788	190,450	510.990	509.721	99,0%	99,0%
Barcarena (Município) (150130)	121.190	121.190	44.050	1.310,590	109.190	38.050	86,4%	90,1%
Belém (Município) (150140)	1.452.275	1.452.275	1.439.847	1.059,460	1.263.558	1.251.130	86,9%	87,0%
Benevides (Município) (150150)	60.990	60.990	34.140	187,830	-	-	-	-
Bragança (Município) (150170)	124.184	124.184	79.649	2.091,930	124.184	79.649	100,0%	100,0%
Breu Branco (Município) (150178)	64.194	64.194	35.841	3.941,910	64.194	35.841	100,0%	100,0%
Breves (Município) (150180)	99.896	99.896	50.088	9.563,010	99.896	50.088	100,0%	100,0%
Cametá (Município) (150210)	134.100	134.100	58.609	3.081,370	134.100	58.609	100,0%	100,0%
Capanema (Município) (150220)	67.150	67.150	53.531	614,690	67.150	53.531	100,0%	100,0%
Capitão Poço (Município) (150230)	52.839	52.839	21.832	2.899,550	52.839	21.832	100,0%	100,0%
Castanhal (Município) (150240)	195.253	195.253	172.958	1.028,890	109.253	86.958	50,3%	56,0%
Dom Eliseu (Município) (150293)	58.071	58.071	36.794	5.268,820	58.071	36.794	100,0%	100,0%
Igarapé-Miri (Município) (150330)	60.994	60.994	27.521	1.996,790	60.994	27.521	100,0%	100,0%
Ipixuna do Pará (Município) (150345)	62.237	62.237	14.831	5.215,560	-	-	-	-
Itaituba (Município) (150360)	98.523	98.523	71.429	62.042,470	98.523	71.429	100,0%	100,0%
Itupiranga (Município) (150370)	51.835	51.835	20.736	7.880,110	50.703	19.604	94,5%	97,8%
Jacundá (Município) (150380)	57.526	57.526	51.167	2.008,320	57.526	51.167	100,0%	100,0%
Juruti (Município) (150390)	56.325	56.325	18.962	8.305,130	-	-	-	-
Marabá (Município) (150420)	271.594	271.594	216.502	15.128,060	270.225	215.133	99,4%	99,5%
Marituba (Município) (150442)	127.858	127.858	126.532	103,340	127.858	126.532	100,0%	100,0%
Moju (Município) (150470)	79.825	79.825	28.686	9.094,140	79.825	28.686	100,0%	100,0%
Monte Alegre (Município) (150480)	56.466	56.466	25.010	18.152,560	56.466	25.010	100,0%	100,0%
Novo Repartimento (Município) (150506)	73.802	73.802	33.244	15.398,720	-	-	-	-
Óbidos (Município) (150510)	50.727	50.727	26.186	28.021,440	50.727	26.186	100,0%	100,0%
Oriximiná (Município) (150530)	71.078	71.078	45.443	107.603,660	71.078	45.443	100,0%	100,0%
Paragominas (Município) (150550)	110.026	110.026	86.059	19.342,250	97.283	73.316	85,2%	88,4%
Parauapebas (Município) (150553)	202.356	202.356	182.348	6.886,210	171.455	151.447	83,1%	84,7%
Portel (Município) (150580)	60.322	60.322	28.734	25.384,960	60.322	28.734	100,0%	100,0%
Redenção (Município) (150613)	82.464	82.464	76.471	3.823,810	78.024	72.031	94,2%	94,6%
Rondon do Pará (Município) (150618)	50.925	50.925	37.622	8.246,390	50.925	37.622	100,0%	100,0%
Santa Bárbara do Pará (Município) (150635)	20.492	20.492	6.525	278,150	20.372	6.405	98,2%	99,4%
Santa Izabel do Pará (Município) (150650)	68.836	68.836	49.775	717,660	-	-	-	-
Santana do Araguaia (Município) (150670)	70.764	70.764	37.381	11.591,460	70.764	37.381	100,0%	100,0%
Santarém (Município) (150680)	296.302	296.302	217.051	17.898,390	283.659	204.408	94,2%	95,7%
São Félix do Xingu (Município) (150730)	124.806	124.806	61.642	84.212,850	124.806	61.642	100,0%	100,0%
São Miguel do Guamá (Município) (150760)	57.364	57.364	35.468	1.110,180	57.364	35.468	100,0%	100,0%
Tailândia (Município) (150795)	103.321	103.321	76.501	4.430,220	103.321	76.501	100,0%	100,0%
Tomé-Açu (Município) (150800)	61.709	61.709	34.462	5.145,360	61.709	34.462	100,0%	100,0%
Tucuruí (Município) (150810)	110.516	110.516	105.184	2.086,190	110.516	105.184	100,0%	100,0%
Ulianópolis (Município) (150812)	57.525	57.525	37.860	5.088,470	56.415	36.750	97,1%	98,1%
Vigia (Município) (150820)	52.216	52.216	35.276	539,080	52.216	35.276	100,0%	100,0%
Viseu (Município) (150830)	59.735	59.735	19.376	4.915,070	59.735	19.376	100,0%	100,0%
Macapá (Município) (160030)	474.706	474.706	454.452	6.503,460	426.448	406.194	89,4%	89,8%
Santana (Município) (160060)	115.471	115.471	113.018	1.541,220	114.056	111.603	98,7%	98,8%
Araguaína (Município) (170210)	175.960	175.960	167.121	4.000,420	131.599	122.760	73,5%	74,8%
Gurupi (Município) (170950)	85.523	85.523	83.568	1.836,090	60.437	58.482	70,0%	70,7%
Paraíso do Tocantins (Município) (171610)	50.360	50.360	48.156	1.268,060	39.787	37.583	78,0%	79,0%
Porto Nacional (Município) (171820)	52.828	52.828	45.614	4.449,920	17.192	9.978	21,9%	32,5%
Palmas (Município) (172100)	286.787	286.787	278.510	2.218,940	47.171	38.894	14,0%	16,4%
Açailândia (Município) (210005)	111.339	111.339	83.720	5.806,440	111.339	83.720	100,0%	100,0%
Alcântara (Município) (210020)	21.673	21.673	6.347	1.457,920	21.673	6.347	100,0%	100,0%
Bacabal (Município) (210120)	103.359	103.359	80.464	1.683,070	-	-	-	-
Balsas (Município) (210140)	94.779	94.779	82.573	13.141,760	94.779	82.573	100,0%	100,0%
Barra do Corda (Município) (210160)	87.135	87.135	54.332	5.190,340	87.135	54.332	100,0%	100,0%
Barreirinhas (Município) (210170)	62.458	62.458	25.075	3.026,540	58.032	20.649	82,3%	92,9%
Buriticupu (Município) (210232)	71.979	71.979	39.488	2.545,440	71.979	39.488	100,0%	100,0%
Caxias (Município) (210300)	162.657	162.657	124.286	5.196,770	153.721	115.350	92,8%	94,5%
Chapadinha (Município) (210320)	78.965	78.965	56.930	3.247,390	78.965	56.930	100,0%	100,0%
Codó (Município) (210330)	120.810	120.810	82.948	4.361,340	109.590	71.728	86,5%	90,7%
Coroatá (Município) (210360)	64.403	64.403	44.925	2.263,770	64.403	44.925	100,0%	100,0%
Grajaú (Município) (210480)	69.232	69.232	41.300	8.863,570	-	-	-	-
Imperatriz (Município) (210530)	254.569	254.569	241.241	1.368,990	170.122	156.794	65,0%	66,8%
Itapecuru Mirim (Município) (210540)	67.726	67.726	37.803	1.471,440	67.726	37.803	100,0%	100,0%
Paço do Lumiar (Município) (210750)	122.420	122.420	91.780	125,260	122.420	91.780	100,0%	100,0%
Pinheiro (Município) (210860)	82.374	82.374	48.992	1.512,970	82.374	48.992	100,0%	100,0%
Raposa (Município) (210945)	30.863	30.863	19.548	66,400	-	-	-	-
Santa Inês (Município) (210990)	88.013	88.013	83.361	786,690	88.013	83.361	100,0%	100,0%
Santa Luzia (Município) (211000)	71.576	71.576	24.930	4.837,040	71.576	24.930	100,0%	100,0%
São José de Ribamar (Município) (211120)	176.418	176.418	40.802	385,780	-	-	-	-
São Luís (Município) (211130)	1.091.868	1.091.868	1.031.278	834,830	559.762	499.172	48,4%	51,3%
Timon (Município) (211220)	167.619	167.619	145.702	1.764,610	167.619	145.702	100,0%	100,0%
Tutóia (Município) (211250)	58.605	58.605	20.738	1.651,650	58.605	20.738	100,0%	100,0%
Vargem Grande (Município) (211270)	56.511	56.511	30.521	1.957,750	56.511	30.521	100,0%	100,0%
Viana (Município) (211280)	51.738	51.738	28.134	1.168,440	-	-	-	-
Zé Doca (Município) (211400)	51.084	51.084	31.424	2.140,110	51.084	31.424	100,0%	100,0%
Altos (Município) (220040)	39.864	39.864	28.123	957,650	37.674	25.933	92,2%	94,5%
Beneditinos (Município) (220160)	10.037	10.037	6.341	788,580	10.037	6.341	100,0%	100,0%
Coivaras (Município) (220273)	3.953	3.953	1.217	485,500	3.953	1.217	100,0%	100,0%
Curralinhos (Município) (220325)	4.367	4.367	1.390	345,850	-	-	-	-
Demerval Lobão (Município) (220330)	13.595	13.595	11.133	216,810	13.595	11.133	100,0%	100,0%
Floriano (Município) (220390)	58.969	58.969	51.078	3.409,650	56.676	48.785	95,5%	96,1%
José de Freitas (Município) (220550)	38.550	38.550	22.454	1.538,170	36.839	20.743	92,4%	95,6%
Lagoa Alegre (Município) (220555)	8.395	8.395	3.189	394,660	8.395	3.189	100,0%	100,0%
Lagoa do Piauí (Município) (220558)	3.996	3.996	1.730	426,630	3.996	1.730	100,0%	100,0%
Miguel Leão (Município) (220630)	1.228	1.228	845	93,520	-	-	-	-
Monsenhor Gil (Município) (220640)	10.409	10.409	5.348	582,550	10.409	5.348	100,0%	100,0%
Nazária (Município) (220672)	8.425	8.425	1.725	363,590	8.425	1.725	100,0%	100,0%
Parnaíba (Município) (220770)	150.547	150.547	142.054	434,230	90.153	81.660	57,5%	59,9%
Pau D'Arco do Piauí (Município) (220779)	3.975	3.975	588	430,820	-	-	-	-
Picos (Município) (220800)	76.928	76.928	61.098	577,300	37.027	21.197	34,7%	48,1%
Piripiri (Município) (220840)	62.733	62.733	45.188	1.408,930	62.733	45.188	100,0%	100,0%
Teresina (Município) (221100)	850.198	850.198	801.463	1.391,980	693.729	644.994	80,5%	81,6%
União (Município) (221110)	43.761	43.761	21.509	1.173,450	43.761	21.509	100,0%	100,0%
Acaraú (Município) (230020)	62.199	62.199	30.523	842,560	59.607	27.931	91,5%	95,8%
Acopiara (Município) (230030)	53.572	53.572	26.417	2.265,350	49.828	22.673	85,8%	93,0%
Aquiraz (Município) (230100)	79.128	79.128	73.087	481,600	66.708	60.667	83,0%	84,3%
Aracati (Município) (230110)	73.629	73.629	46.881	1.228,060	62.600	35.852	76,5%	85,0%
Barbalha (Município) (230190)	59.811	59.811	41.106	569,510	54.327	35.622	86,7%	90,8%
Beberibe (Município) (230220)	53.110	53.110	23.276	1.623,880	49.541	19.707	84,7%	93,3%
Boa Viagem (Município) (230240)	54.049	54.049	27.390	2.836,780	54.049	27.390	100,0%	100,0%
Camocim (Município) (230260)	62.985	62.985	46.756	1.124,780	42.517	26.288	56,2%	67,5%
Canindé (Município) (230280)	77.514	77.514	48.789	3.218,480	68.726	40.001	82,0%	88,7%
Cascavel (Município) (230350)	71.079	71.079	60.349	835,000	70.079	59.349	98,3%	98,6%
Caucaia (Município) (230370)	362.223	362.223	323.021	1.228,510	252.439	213.237	66,0%	69,7%
Chorozinho (Município) (230395)	19.197	19.197	11.596	278,410	19.197	11.596	100,0%	100,0%
Crateús (Município) (230410)	74.426	74.426	53.811	2.985,150	53.843	33.228	61,7%	72,3%
Crato (Município) (230420)	130.604	130.604	108.542	1.176,470	102.280	80.218	73,9%	78,3%
Eusébio (Município) (230428)	52.667	52.667	52.667	79,010	47.859	47.859	90,9%	90,9%
Fortaleza (Município) (230440)	2.627.482	2.627.482	2.627.482	314,930	1.294.695	1.294.695	49,3%	49,3%
Granja (Município) (230470)	54.365	54.365	26.738	2.663,030	53.365	25.738	96,3%	98,2%
Guaiúba (Município) (230495)	26.331	26.331	20.632	267,130	24.232	18.533	89,8%	92,0%
Horizonte (Município) (230523)	65.928	65.928	60.985	160,760	60.409	55.466	91,0%	91,6%
Icó (Município) (230540)	67.486	67.486	31.408	1.872,000	49.469	13.391	42,6%	73,3%
Iguatu (Município) (230550)	102.614	102.614	79.359	1.029,210	87.069	63.814	80,4%	84,9%
Itaitinga (Município) (230625)	39.310	39.310	39.033	151,630	38.722	38.445	98,5%	98,5%
Itapajé (Município) (230630)	51.945	51.945	36.517	430,570	-	-	-	-
Itapipoca (Município) (230640)	127.465	127.465	73.481	1.614,160	97.113	43.129	58,7%	76,2%
Juazeiro do Norte (Município) (230730)	270.383	270.383	259.769	248,830	208.148	197.534	76,0%	77,0%
Limoeiro do Norte (Município) (230760)	58.915	58.915	34.014	750,070	45.116	20.215	59,4%	76,6%
Maracanaú (Município) (230765)	224.804	224.804	223.262	106,650	155.491	153.949	69,0%	69,2%
Maranguape (Município) (230770)	126.486	126.486	96.132	590,870	114.164	83.810	87,2%	90,3%
Morada Nova (Município) (230870)	61.548	61.548	35.106	2.778,580	59.948	33.506	95,4%	97,4%
Pacajus (Município) (230960)	70.911	70.911	58.110	254,640	68.985	56.184	96,7%	97,3%
Pacatuba (Município) (230970)	82.824	82.824	71.135	131,990	49.091	37.402	52,6%	59,3%
Pindoretama (Município) (231085)	20.644	20.644	12.464	75,140	20.644	12.464	100,0%	100,0%
Quixadá (Município) (231130)	86.605	86.605	61.765	2.019,830	76.360	51.520	83,4%	88,2%
Quixeramobim (Município) (231140)	78.658	78.658	47.514	3.275,630	78.658	47.514	100,0%	100,0%
Russas (Município) (231180)	76.475	76.475	49.228	1.590,260	64.436	37.189	75,5%	84,3%
São Gonçalo do Amarante (Município) (231240)	48.265	48.265	31.382	834,450	43.285	26.402	84,1%	89,7%
Sobral (Município) (231290)	205.529	205.529	181.592	2.122,900	25.227	24.294	13,4%	12,3%
Tauá (Município) (231330)	58.119	58.119	33.650	4.018,160	54.070	29.601	88,0%	93,0%
Tianguá (Município) (231340)	74.719	74.719	49.694	908,890	62.132	37.107	74,7%	83,2%
Trairi (Município) (231350)	55.207	55.207	20.167	925,720	54.034	18.994	94,2%	97,9%
Viçosa do Ceará (Município) (231410)	60.030	60.030	19.473	1.311,630	57.320	16.763	86,1%	95,5%
Açu (Município) (240020)	58.183	58.183	43.024	1.303,440	58.183	43.024	100,0%	100,0%
Caicó (Município) (240200)	68.222	68.222	62.513	1.228,580	62.474	56.793	90,8%	91,6%
Ceará-Mirim (Município) (240260)	73.849	73.849	38.467	724,380	51.731	16.349	42,5%	70,0%
Parnamirim (Município) (240325)	254.709	254.709	254.709	123,470	244.693	244.693	96,1%	96,1%
