Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	10,54	0,00	5,08	0,00	1,05	0,00	701	67,14
Cacoal (Município) (110004)	8,83	0,00	2,06	0,00	0,46	0,00	201	23,04
Jaru (Município) (110011)	4,66	0,00	5,20	0,00	2,15	0,00	301	54,00
Ji-Paraná (Município) (110012)	16,79	0,00	19,09	0,15	0,46	0,00	843	64,64
Porto Velho (Município) (110020)	4,69	0,00	1,03	0,22	1,71	0,02	1.258	25,02
Rolim de Moura (Município) (110028)	79,30	0,00	11,91	0,00	0,71	0,00	629	111,84
Vilhena (Município) (110030)	18,52	0,00	5,99	0,22	1,09	0,00	497	54,14
Cruzeiro do Sul (Município) (120020)	27,72	0,00	30,55	0,00	28,21	0,00	388	47,60
Rio Branco (Município) (120040)	1,86	0,00	0,38	1,27	0,35	0,00	484	13,06
Careiro da Várzea (Município) (130115)	1,43	0,00	0,00	0,00	0,00	0,00	8	2,86
Coari (Município) (130120)	16,61	0,00	0,00	0,00	2,17	0,00	210	25,28
Humaitá (Município) (130170)	7,80	0,00	0,19	0,00	1,17	0,00	200	38,98
Iranduba (Município) (130185)	22,62	0,00	0,43	0,00	1,30	0,00	220	47,84
Itacoatiara (Município) (130190)	8,13	0,00	1,65	0,00	0,21	0,00	269	27,70
Manacapuru (Município) (130250)	15,72	0,00	0,42	0,00	0,42	0,00	385	40,88
Manaus (Município) (130260)	8,00	0,00	0,55	0,20	0,97	0,00	7.075	34,38
Manicoré (Município) (130270)	14,70	0,00	0,19	0,00	0,19	0,00	46	8,67
Maués (Município) (130290)	10,17	0,00	10,00	0,00	0,33	0,00	145	24,17
Novo Airão (Município) (130320)	1,70	0,00	0,00	0,00	0,00	0,00	17	9,62
Parintins (Município) (130340)	10,04	0,00	0,45	0,18	0,09	0,00	206	18,46
Presidente Figueiredo (Município) (130353)	7,62	0,00	0,91	0,00	0,91	0,00	127	38,71
Rio Preto da Eva (Município) (130356)	12,77	0,00	0,00	0,00	0,66	0,00	79	25,88
Tabatinga (Município) (130406)	6,06	0,00	1,31	0,00	2,13	0,00	152	24,91
Tefé (Município) (130420)	18,10	0,00	3,36	0,32	3,20	0,00	233	37,31
Boa Vista (Município) (140010)	7,08	0,00	2,03	0,00	3,80	0,00	1.095	34,14
Abaetetuba (Município) (150010)	73,52	0,00	3,66	0,00	0,00	0,00	381	25,33
Acará (Município) (150020)	20,16	0,00	0,74	0,00	0,00	0,00	172	31,81
Alenquer (Município) (150040)	61,10	0,00	4,94	0,18	0,00	0,00	279	51,04
Altamira (Município) (150060)	47,79	0,00	20,48	0,00	0,00	0,00	787	72,61
Ananindeua (Município) (150080)	22,99	0,00	0,79	0,10	0,00	0,00	2.387	47,23
Barcarena (Município) (150130)	18,31	0,00	1,81	0,09	0,00	0,00	536	46,30
Belém (Município) (150140)	21,86	0,00	0,38	0,22	0,01	0,01	2.562	17,80
Benevides (Município) (150150)	9,38	0,00	0,51	0,00	0,00	0,00	132	22,51
Bragança (Município) (150170)	75,13	0,00	4,20	0,49	0,16	0,00	1.117	91,91
Breu Branco (Município) (150178)	18,13	0,00	2,78	0,00	0,00	0,00	135	22,05
Breves (Município) (150180)	29,32	0,10	4,17	0,81	0,51	0,10	517	52,63
Cametá (Município) (150210)	41,49	0,00	0,84	0,00	0,00	0,00	530	40,50
Capanema (Município) (150220)	50,19	0,00	2,26	0,00	0,00	0,00	445	67,07
Capitão Poço (Município) (150230)	173,08	0,00	2,85	0,00	0,19	0,00	315	59,78
Castanhal (Município) (150240)	16,97	0,00	1,48	0,21	0,00	0,00	929	48,95
Dom Eliseu (Município) (150293)	101,60	0,00	12,77	0,00	0,00	0,00	328	58,16
Igarapé-Miri (Município) (150330)	133,24	0,00	0,17	0,00	0,00	0,00	335	55,52
Ipixuna do Pará (Município) (150345)	69,67	0,00	1,54	0,00	0,00	0,00	223	38,08
Itaituba (Município) (150360)	74,05	0,00	2,44	0,00	1,93	0,00	1.020	103,61
Itupiranga (Município) (150370)	16,03	0,00	1,93	0,00	0,00	0,00	140	27,04
Jacundá (Município) (150380)	71,42	0,00	4,29	0,00	0,00	0,00	312	55,71
Juruti (Município) (150390)	1,67	0,00	0,00	0,00	0,00	0,00	40	7,41
Marabá (Município) (150420)	1,91	0,00	0,76	0,00	0,00	0,00	457	17,44
Marituba (Município) (150442)	16,11	0,00	1,14	0,33	0,16	0,00	561	45,64
Moju (Município) (150470)	141,76	0,00	1,55	0,00	0,13	0,00	396	51,17
Monte Alegre (Município) (150480)	53,81	0,00	7,28	0,18	0,00	0,00	231	41,02
Novo Repartimento (Município) (150506)	35,29	0,00	0,99	0,00	0,00	0,00	214	30,21
Óbidos (Município) (150510)	88,78	0,00	0,20	0,40	0,00	0,00	332	65,80
Oriximiná (Município) (150530)	21,15	0,00	2,90	1,30	0,14	0,00	230	33,32
Paragominas (Município) (150550)	6,82	0,00	0,37	0,09	0,00	0,00	323	30,18
Parauapebas (Município) (150553)	1,95	0,00	0,84	0,00	0,32	0,00	461	24,27
Portel (Município) (150580)	22,31	0,00	2,23	0,00	0,00	0,00	129	22,13
Redenção (Município) (150613)	28,47	0,00	0,37	0,00	0,25	0,00	344	42,58
Rondon do Pará (Município) (150618)	304,94	0,00	8,60	0,00	0,00	0,00	350	70,03
Santa Bárbara do Pará (Município) (150635)	2,55	0,00	0,00	0,00	0,00	0,00	20	10,18
Santa Izabel do Pará (Município) (150650)	104,23	0,00	4,21	0,30	0,00	0,00	134	20,15
Santana do Araguaia (Município) (150670)	63,40	0,00	2,54	0,00	0,15	0,00	218	32,52
