Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	182,20	0,00	388.770,49	0,00	9.085.152,46	9.473.922,94	103,46
Cacoal (Município) (110004)	420,00	159,00	1.653.779,48	0,00	0,00	1.653.779,48	20,94
Jaru (Município) (110011)	91,10	0,00	728.193,28	0,00	7.492.789,96	8.220.983,25	158,45
Ji-Paraná (Município) (110012)	288,10	0,00	745.528,18	0,00	13.059.663,69	13.805.191,88	117,63
Porto Velho (Município) (110020)	932,01	51,70	993.797,12	0,00	102.958.736,93	103.952.534,05	238,57
Rolim de Moura (Município) (110028)	173,60	0,00	266.489,25	0,00	0,00	266.489,25	5,24
Vilhena (Município) (110030)	406,00	0,00	51.836,61	0,00	0,00	51.836,61	0,67
Cruzeiro do Sul (Município) (120020)	134,00	0,00	1.045.278,11	0,00	0,00	1.045.278,11	13,20
Rio Branco (Município) (120040)	769,02	231,00	1.127.001,89	0,00	17.532.678,57	18.659.680,46	54,51
Careiro da Várzea (Município) (130115)	8,80	0,00	6.905,09	0,00	0,00	6.905,09	0,28
Coari (Município) (130120)	-	-	-	-	-	-	-
Humaitá (Município) (130170)	95,00	0,00	161.526,68	0,00	0,00	161.526,68	3,58
Iranduba (Município) (130185)	49,88	0,00	0,00	0,00	0,00	0,00	0,00
Itacoatiara (Município) (130190)	263,26	0,00	316.461,56	0,00	0,00	316.461,56	3,60
Manacapuru (Município) (130250)	128,00	0,00	807.633,39	0,00	0,00	807.633,39	9,38
Manaus (Município) (130260)	3.360,03	420,45	70.372.959,99	0,00	0,00	70.372.959,99	38,40
Manicoré (Município) (130270)	42,00	0,00	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	65,00	0,00	83.613,30	0,00	0,00	83.613,30	1,57
Novo Airão (Município) (130320)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Parintins (Município) (130340)	-	-	-	-	-	-	-
Presidente Figueiredo (Município) (130353)	-	-	-	-	-	-	-
Rio Preto da Eva (Município) (130356)	-	-	-	-	-	-	-
