Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	12,65	0,00	7,65	0,28	2,74	0,00	506	47,78
Cacoal (Município) (110004)	9,10	0,00	3,19	0,00	0,23	0,34	241	27,42
Jaru (Município) (110011)	5,73	0,00	4,84	0,18	1,79	0,00	336	60,21
Ji-Paraná (Município) (110012)	17,48	0,00	23,41	0,00	0,68	0,00	755	57,39
Porto Velho (Município) (110020)	5,36	0,00	1,10	0,35	2,15	0,00	1.182	23,12
Rolim de Moura (Município) (110028)	69,71	0,00	17,12	0,18	0,53	0,35	539	95,12
Vilhena (Município) (110030)	16,00	0,00	2,77	0,21	0,21	0,00	435	46,40
Cruzeiro do Sul (Município) (120020)	8,65	0,00	2,07	0,61	22,30	0,00	160	19,49
Rio Branco (Município) (120040)	1,64	0,00	0,21	0,37	0,08	0,00	553	14,67
Careiro da Várzea (Município) (130115)	1,40	0,00	0,00	0,00	0,00	0,00	8	2,80
Coari (Município) (130120)	13,11	0,00	0,83	0,00	0,36	0,00	201	23,95
Humaitá (Município) (130170)	7,45	0,00	0,00	0,38	3,25	0,00	184	35,15
Iranduba (Município) (130185)	22,48	0,00	0,43	0,00	0,21	0,00	180	38,54
Itacoatiara (Município) (130190)	8,32	0,00	0,00	0,00	0,00	0,00	238	24,16
Manacapuru (Município) (130250)	7,55	0,00	0,31	0,31	0,10	0,10	254	26,64
Manaus (Município) (130260)	9,72	0,00	0,44	0,12	0,65	0,00	5.968	28,50
Manicoré (Município) (130270)	20,23	0,00	0,00	0,00	0,37	0,00	53	9,83
Maués (Município) (130290)	15,22	0,00	19,64	0,16	0,33	0,00	175	28,64
Novo Airão (Município) (130320)	3,31	0,00	0,00	0,55	0,00	0,00	20	11,03
Parintins (Município) (130340)	5,77	0,00	0,00	0,35	0,09	0,00	184	16,32
Presidente Figueiredo (Município) (130353)	7,12	0,00	1,19	0,00	2,97	0,00	113	33,53
Rio Preto da Eva (Município) (130356)	9,91	0,00	0,00	0,00	0,64	0,00	77	24,62
Tabatinga (Município) (130406)	1,92	0,00	0,16	0,00	0,80	0,00	118	18,93
Tefé (Município) (130420)	14,94	0,00	0,96	0,00	1,12	0,00	170	27,32
Boa Vista (Município) (140010)	10,11	0,00	0,80	0,00	4,69	0,00	1.258	38,54
Abaetetuba (Município) (150010)	44,10	0,00	6,25	0,26	0,00	0,00	367	24,16
Acará (Município) (150020)	32,17	0,00	0,18	0,00	0,00	0,00	145	26,81
Alenquer (Município) (150040)	0,91	0,00	0,36	0,00	0,00	0,00	18	3,28
Altamira (Município) (150060)	42,48	0,00	8,37	0,00	0,00	0,00	668	60,76
Ananindeua (Município) (150080)	27,76	0,00	0,51	0,06	0,00	0,00	2.109	41,29
Barcarena (Município) (150130)	21,68	0,00	1,77	0,08	0,00	0,00	569	48,00
Belém (Município) (150140)	30,62	0,00	0,11	0,17	0,01	0,01	2.719	18,80
Benevides (Município) (150150)	5,85	0,00	0,33	0,00	0,00	0,00	88	14,71
