Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	31.815	27.725	3,33	3,23	2.263,800	21.377,57	4.426,570	23,92
Cacoal (Município) (110004)	28.320	23.427	3,10	2,96	2.018,110	22.965,20	3.792,950	23,17
Jaru (Município) (110011)	18.624	13.233	3,00	2,85	1.361,710	24.400,86	2.944,130	18,96
Ji-Paraná (Município) (110012)	41.638	38.948	3,16	3,04	3.094,380	23.520,67	6.896,650	19,08
Porto Velho (Município) (110020)	155.288	142.008	3,29	3,28	15.287,820	29.904,64	34.090,960	15,00
Rolim de Moura (Município) (110028)	18.500	15.698	3,06	2,95	1.241,260	21.905,54	1.457,890	38,87
Vilhena (Município) (110030)	27.583	26.988	3,40	3,29	2.509,930	26.774,03	11.699,150	8,01
Cruzeiro do Sul (Município) (120020)	23.240	17.331	3,53	3,34	1.267,840	15.447,30	8.779,400	9,35
Rio Branco (Município) (120040)	117.227	104.314	3,22	3,32	8.167,070	21.660,05	8.834,940	42,68
Careiro da Várzea (Município) (130115)	6.764	325	4,23	3,68	306,760	10.728,78	2.627,470	10,88
Coari (Município) (130120)	17.906	13.072	4,69	4,20	1.212,790	14.450,20	57.970,770	1,45
Humaitá (Município) (130170)	11.582	8.812	4,52	4,10	499,890	9.548,18	33.111,160	1,58
Iranduba (Município) (130185)	11.548	8.550	4,04	3,88	647,740	13.869,43	2.216,820	21,07
Itacoatiara (Município) (130190)	23.418	16.766	4,21	3,93	1.960,320	19.901,16	8.891,910	11,08
Manacapuru (Município) (130250)	21.400	16.303	4,45	4,13	1.364,760	14.316,16	7.336,580	12,99
Manaus (Município) (130260)	605.888	600.668	3,46	3,47	72.789,000	34.754,25	11.401,090	183,70
Manicoré (Município) (130270)	11.247	5.428	4,79	4,30	493,620	9.159,69	48.315,020	1,12
Maués (Município) (130290)	11.796	6.442	5,18	4,69	425,730	6.966,58	39.991,070	1,53
Novo Airão (Município) (130320)	3.736	2.627	4,85	4,45	130,920	7.219,81	37.805,260	0,48
Parintins (Município) (130340)	24.483	18.065	4,60	4,27	1.064,710	9.445,94	5.956,370	18,92
Presidente Figueiredo (Município) (130353)	8.507	4.222	3,96	3,82	567,200	16.829,43	25.412,270	1,33
Rio Preto da Eva (Município) (130356)	7.197	3.618	4,35	4,10	463,110	14.808,24	5.815,620	5,38
Tabatinga (Município) (130406)	11.812	9.579	5,28	4,53	439,100	7.042,87	3.266,060	19,09
Tefé (Município) (130420)	14.329	12.543	4,34	4,04	681,070	10.944,46	23.692,220	2,63
Boa Vista (Município) (140010)	93.474	93.228	3,49	3,42	8.405,740	25.751,38	5.687,040	57,40
Abaetetuba (Município) (150010)	38.568	24.762	3,94	3,61	1.291,980	8.503,59	1.610,400	94,35
Acará (Município) (150020)	14.702	3.925	3,68	3,25	817,980	15.125,37	4.343,810	12,45
Alenquer (Município) (150040)	15.063	8.679	3,65	3,34	684,500	12.454,53	23.645,450	2,32
Altamira (Município) (150060)	32.983	29.466	3,33	3,17	2.587,910	23.539,69	159.533,330	0,69
Ananindeua (Município) (150080)	156.387	163.238	3,27	3,12	6.963,180	13.631,01	190,450	2.682,23
Barcarena (Município) (150130)	30.929	11.526	3,83	3,74	5.196,550	43.839,08	1.310,590	90,45
Belém (Município) (150140)	414.266	413.744	3,49	3,47	30.538,720	21.118,83	1.059,460	1.364,89
Benevides (Município) (150150)	17.021	9.848	3,52	3,40	1.338,030	22.361,55	187,830	318,57
Bragança (Município) (150170)	32.633	22.409	3,77	3,52	1.086,020	8.837,99	2.091,930	58,74
Breu Branco (Município) (150178)	15.237	9.166	4,12	3,82	556,830	8.875,61	3.941,910	15,92
Breves (Município) (150180)	21.880	12.579	4,53	3,95	695,840	7.023,00	9.563,010	10,36
Cametá (Município) (150210)	29.357	14.283	4,51	4,05	1.179,840	8.903,45	3.081,370	43,01
Capanema (Município) (150220)	21.008	17.820	3,18	2,99	1.021,160	15.296,26	614,690	108,61
