Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	280,44	0,00	0,00	0,00	0,00	0,00	0,00
Cacoal (Município) (110004)	448,00	180,00	1.327.118,41	0,00	0,00	1.327.118,41	15,33
Jaru (Município) (110011)	415,00	0,00	183.967,74	0,00	2.172.458,92	2.356.426,66	42,33
Ji-Paraná (Município) (110012)	318,72	0,00	11.507,33	0,00	4.103.880,70	4.115.388,03	31,84
Porto Velho (Município) (110020)	937,29	70,17	2.522.154,61	0,00	1.985.462,82	4.507.617,43	9,12
Rolim de Moura (Município) (110028)	221,75	5,00	9.807,80	0,00	0,00	9.807,80	0,18
Vilhena (Município) (110030)	486,00	0,00	249.847,57	0,00	0,00	249.847,57	2,78
Cruzeiro do Sul (Município) (120020)	188,41	0,00	25.450,36	0,00	82.968,54	108.418,90	1,34
Rio Branco (Município) (120040)	1.116,21	467,27	1.063.504,98	0,00	17.482.908,50	18.546.413,48	50,96
Careiro da Várzea (Município) (130115)	9,17	0,00	231.705,54	0,00	0,00	231.705,54	8,47
Coari (Município) (130120)	-	-	-	-	-	-	-
Humaitá (Município) (130170)	-	-	-	-	-	-	-
Iranduba (Município) (130185)	-	-	-	-	-	-	-
Itacoatiara (Município) (130190)	-	-	-	-	-	-	-
Manacapuru (Município) (130250)	60,00	0,00	0,00	0,00	0,00	0,00	0,00
Manaus (Município) (130260)	3.594,78	479,05	73.283.889,77	0,00	0,00	73.283.889,77	36,27
Manicoré (Município) (130270)	53,00	0,00	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	65,00	0,00	142.782,72	0,00	0,00	142.782,72	2,43
Novo Airão (Município) (130320)	52,15	0,00	0,00	73.468,36	0,00	73.468,36	4,27
Parintins (Município) (130340)	168,00	0,00	0,00	0,00	0,00	0,00	0,00
Presidente Figueiredo (Município) (130353)	40,40	19,57	0,00	0,00	0,00	0,00	0,00
Rio Preto da Eva (Município) (130356)	-	-	-	-	-	-	-
Tabatinga (Município) (130406)	78,53	0,00	25.189,10	0,00	0,00	25.189,10	0,42
Tefé (Município) (130420)	-	-	-	-	-	-	-
Boa Vista (Município) (140010)	1.403,64	644,05	11.992.292,86	0,00	94.834.805,99	106.827.098,85	339,24
Abaetetuba (Município) (150010)	165,86	0,00	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	-	-	-	-	-	-	-
Alenquer (Município) (150040)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Altamira (Município) (150060)	79,00	200,00	0,00	0,00	1.167.566,54	1.167.566,54	10,94
Ananindeua (Município) (150080)	417,00	0,00	0,00	0,00	6.868.191,95	6.868.191,95	13,74
Barcarena (Município) (150130)	120,99	40,00	0,00	18.366.943,49	0,00	18.366.943,49	162,65
Belém (Município) (150140)	2.255,18	381,00	11.994.648,54	948.048,65	105.929.624,72	118.872.321,91	82,96
Benevides (Município) (150150)	-	-	-	-	-	-	-
Bragança (Município) (150170)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	0,00	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	0,00	0,00	0,00	5.601.181,17	5.601.181,17	57,54
Cametá (Município) (150210)	75,12	0,00	71.388,85	0,00	0,00	71.388,85	0,55
Capanema (Município) (150220)	118,00	0,00	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	383,76	200,00	0,00	0,00	1.531.508,84	1.531.508,84	8,19
Dom Eliseu (Município) (150293)	40,00	0,00	0,00	0,00	3.750.890,00	3.750.890,00	67,57
Igarapé-Miri (Município) (150330)	65,00	0,00	0,00	0,00	493.757,83	493.757,83	8,23
Ipixuna do Pará (Município) (150345)	-	-	-	-	-	-	-
Itaituba (Município) (150360)	58,00	0,00	0,00	0,00	202.468,97	202.468,97	2,06
Itupiranga (Município) (150370)	9,00	0,00	0,00	0,00	0,00	0,00	0,00
Jacundá (Município) (150380)	37,00	0,00	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	80,00	0,10	0,00	3.444.433,58	0,00	3.444.433,58	65,29
Marabá (Município) (150420)	235,00	0,00	0,00	0,00	41.616.447,37	41.616.447,37	161,89
Marituba (Município) (150442)	377,90	0,00	0,00	0,00	2.906.507,78	2.906.507,78	24,16
Moju (Município) (150470)	25,00	0,00	0,00	0,00	1.255.961,04	1.255.961,04	16,50
Monte Alegre (Município) (150480)	56,00	0,00	0,00	0,00	3.311.836,67	3.311.836,67	58,90
Novo Repartimento (Município) (150506)	30,00	0,00	0,00	0,00	0,00	0,00	0,00
Óbidos (Município) (150510)	66,00	0,00	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	295,00	0,00	0,00	920.211,50	397.704,63	1.317.916,13	19,40
Paragominas (Município) (150550)	191,00	16,90	146.041,99	3.753.760,49	0,00	3.899.802,48	36,99
Parauapebas (Município) (150553)	625,00	52,00	0,00	0,00	0,00	0,00	0,00
Portel (Município) (150580)	22,00	0,00	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	236,52	0,00	12.222.572,57	0,00	0,00	12.222.572,57	152,94
Rondon do Pará (Município) (150618)	-	-	-	-	-	-	-
Santa Bárbara do Pará (Município) (150635)	-	-	-	-	-	-	-
Santa Izabel do Pará (Município) (150650)	-	-	-	-	-	-	-
Santana do Araguaia (Município) (150670)	149,00	0,00	0,00	0,00	0,00	0,00	0,00
Santarém (Município) (150680)	361,00	0,00	0,00	264.825.275,95	6.792.424,75	271.617.700,70	934,93
São Félix do Xingu (Município) (150730)	7,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	-	-	-	-	-	-	-
Tailândia (Município) (150795)	50,00	0,00	0,00	0,00	0,00	0,00	0,00
Tomé-Açu (Município) (150800)	88,00	0,00	0,00	405.034,03	0,00	405.034,03	6,77
Tucuruí (Município) (150810)	149,00	0,00	0,00	0,00	0,00	0,00	0,00
Ulianópolis (Município) (150812)	-	-	-	-	-	-	-
Vigia (Município) (150820)	35,00	0,00	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	19,98	0,00	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	707,86	89,29	1.134.934,34	0,00	9.280.658,78	10.415.593,13	23,31
Santana (Município) (160060)	155,06	9,42	0,00	0,00	2.152.986,57	2.152.986,57	19,47
Araguaína (Município) (170210)	861,50	88,56	35.142.582,56	0,00	0,00	35.142.582,56	210,21
Gurupi (Município) (170950)	479,70	136,26	6.045.354,95	0,00	0,00	6.045.354,95	73,05
Paraíso do Tocantins (Município) (171610)	150,43	19,79	14.343.766,54	0,00	0,00	14.343.766,54	296,30
Porto Nacional (Município) (171820)	472,10	35,45	8.525.100,08	0,00	0,00	8.525.100,08	164,43
Palmas (Município) (172100)	1.440,66	692,93	85.121.217,74	0,00	0,00	85.121.217,74	320,72
Açailândia (Município) (210005)	95,00	0,00	0,00	0,00	0,00	0,00	0,00
Alcântara (Município) (210020)	13,00	0,00	258.023,97	0,00	0,00	258.023,97	11,92
Bacabal (Município) (210120)	177,00	29,01	296.836,26	0,00	0,00	296.836,26	2,90
Balsas (Município) (210140)	278,51	0,00	69.005,09	0,00	0,00	69.005,09	0,76
Barra do Corda (Município) (210160)	105,20	0,00	101.596,86	0,00	0,00	101.596,86	1,19
Barreirinhas (Município) (210170)	46,40	11,74	216.546,92	0,00	0,00	216.546,92	3,63
