Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	33.505	29.517	3,17	3,05	2.569,240	24.199,71	4.426,570	23,98
Cacoal (Município) (110004)	29.824	24.941	2,84	2,68	2.273,790	26.809,43	3.792,950	22,36
Jaru (Município) (110011)	19.613	14.088	2,65	2,49	1.539,830	29.650,40	2.944,130	17,64
Ji-Paraná (Município) (110012)	43.849	41.465	2,92	2,77	3.506,260	27.412,58	6.896,650	18,55
Porto Velho (Município) (110020)	170.588	155.492	3,05	3,05	17.359,740	33.414,25	34.090,960	15,24
Rolim de Moura (Município) (110028)	19.482	16.712	2,81	2,68	1.373,470	25.108,21	1.457,890	37,52
Vilhena (Município) (110030)	29.048	28.732	3,35	3,21	2.888,030	29.636,63	11.699,150	8,33
Cruzeiro do Sul (Município) (120020)	25.023	18.815	3,50	3,28	1.486,710	16.957,46	8.779,400	9,99
Rio Branco (Município) (120040)	126.000	110.643	3,18	3,33	9.323,540	23.241,73	8.834,940	45,41
Careiro da Várzea (Município) (130115)	7.137	350	4,15	3,53	351,700	11.883,85	2.627,470	11,26
Coari (Município) (130120)	18.891	14.081	4,46	3,91	2.102,210	24.945,49	57.970,770	1,45
Humaitá (Município) (130170)	12.219	9.492	4,42	3,92	648,780	12.014,23	33.111,160	1,63
Iranduba (Município) (130185)	12.183	9.210	3,90	3,67	708,210	14.887,45	2.216,820	21,46
Itacoatiara (Município) (130190)	24.706	18.060	4,05	3,71	1.961,520	19.624,03	8.891,910	11,24
Manacapuru (Município) (130250)	22.577	17.561	4,26	3,87	1.489,260	15.475,09	7.336,580	13,12
Manaus (Município) (130260)	663.387	656.948	3,23	3,25	81.539,350	38.005,81	11.401,090	188,18
Manicoré (Município) (130270)	11.865	5.847	4,63	4,06	551,600	10.046,03	48.315,020	1,14
Maués (Município) (130290)	12.445	6.939	5,04	4,47	522,760	8.330,12	39.991,070	1,57
Novo Airão (Município) (130320)	3.941	2.829	4,81	4,33	141,840	7.475,64	37.805,260	0,50
Parintins (Município) (130340)	25.829	19.459	4,38	3,98	1.167,250	10.314,34	5.956,370	19,00
Presidente Figueiredo (Município) (130353)	8.975	4.548	3,94	3,72	857,630	24.259,82	25.412,270	1,39
Rio Preto da Eva (Município) (130356)	7.593	3.897	4,29	3,97	399,840	12.273,61	5.815,620	5,60
Tabatinga (Município) (130406)	12.462	10.319	5,17	4,35	556,450	8.628,76	3.266,060	19,74
Tefé (Município) (130420)	15.117	13.511	3,98	3,63	974,200	16.195,10	23.692,220	2,54
Boa Vista (Município) (140010)	99.934	100.204	3,76	3,66	10.472,110	27.897,82	5.687,040	66,01
Abaetetuba (Município) (150010)	41.456	27.021	3,77	3,40	1.474,360	9.433,35	1.610,400	97,05
Acará (Município) (150020)	15.802	4.283	3,51	3,05	953,270	17.172,05	4.343,810	12,78
Alenquer (Município) (150040)	16.191	9.470	3,49	3,14	591,030	10.464,48	23.645,450	2,39
Altamira (Município) (150060)	35.452	32.154	3,19	2,99	2.838,840	25.079,16	159.533,330	0,71
Ananindeua (Município) (150080)	168.094	178.129	3,13	2,94	7.845,500	14.927,71	190,450	2.759,59
Barcarena (Município) (150130)	33.245	12.577	3,68	3,53	4.940,380	40.397,56	1.310,590	93,31
Belém (Município) (150140)	430.465	431.009	3,45	3,42	32.832,560	22.098,57	1.059,460	1.402,35
Benevides (Município) (150150)	18.296	10.746	3,37	3,21	1.657,920	26.875,54	187,830	328,44
Bragança (Município) (150170)	35.076	24.453	3,60	3,32	1.176,110	9.302,01	2.091,930	60,44
Breu Branco (Município) (150178)	16.378	10.002	3,95	3,61	594,140	9.177,60	3.941,910	16,42
Breves (Município) (150180)	23.518	13.726	4,33	3,72	848,600	8.328,52	9.563,010	10,65
Cametá (Município) (150210)	31.555	15.586	4,32	3,82	1.185,260	8.690,23	3.081,370	44,26
Capanema (Município) (150220)	22.581	19.445	3,04	2,81	1.071,460	15.615,28	614,690	111,63
Capitão Poço (Município) (150230)	17.368	8.142	3,12	2,75	520,780	9.612,19	2.899,550	18,69
Castanhal (Município) (150240)	60.795	57.456	3,26	3,06	4.079,420	20.572,59	1.028,890	192,73
Dom Eliseu (Município) (150293)	17.495	12.113	3,37	3,08	714,790	12.124,16	5.268,820	11,19
Igarapé-Miri (Município) (150330)	16.081	8.281	3,88	3,40	406,490	6.518,92	1.996,790	31,23
Ipixuna do Pará (Município) (150345)	15.222	4.138	4,10	3,60	541,310	8.667,25	5.215,560	11,97
Itaituba (Município) (150360)	31.961	24.429	3,16	3,00	1.892,290	18.717,59	62.042,470	1,63
Itupiranga (Município) (150370)	16.904	7.029	3,15	3,03	541,280	10.177,81	7.880,110	6,75
Jacundá (Município) (150380)	16.847	15.862	3,47	3,28	504,960	8.638,18	2.008,320	29,11
Juruti (Município) (150390)	12.703	4.816	4,48	3,98	1.039,400	18.264,51	8.305,130	6,85
Marabá (Município) (150420)	81.059	69.239	3,39	3,17	9.156,660	33.286,55	15.128,060	18,18
Marituba (Município) (150442)	36.599	38.427	3,53	3,33	1.983,280	15.336,12	103,340	1.251,38
Moju (Município) (150470)	20.931	8.307	3,87	3,50	984,180	12.152,18	9.094,140	8,91
Monte Alegre (Município) (150480)	18.387	8.958	3,15	2,86	752,010	12.988,15	18.152,560	3,19
Novo Repartimento (Município) (150506)	20.317	9.865	3,67	3,41	890,680	11.939,12	15.398,720	4,84
Óbidos (Município) (150510)	15.148	8.614	3,43	3,11	668,510	12.864,94	28.021,440	1,85
Oriximiná (Município) (150530)	18.301	12.512	3,94	3,69	1.696,340	23.508,04	107.603,660	0,67
Paragominas (Município) (150550)	33.388	28.194	3,35	3,10	2.760,460	24.699,03	19.342,250	5,78
Parauapebas (Município) (150553)	57.127	55.245	3,55	3,31	16.680,140	82.215,95	6.886,210	29,46
