Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	10,90	0,00	4,19	0,00	3,26	0,00	628	58,50
Cacoal (Município) (110004)	11,30	0,00	1,13	0,00	0,00	0,11	219	24,74
Jaru (Município) (110011)	5,37	0,00	3,58	0,00	0,54	0,00	360	64,43
Ji-Paraná (Município) (110012)	7,69	0,00	4,37	0,15	0,83	0,00	474	35,73
Porto Velho (Município) (110020)	3,99	0,00	0,40	0,21	2,41	0,00	1.316	25,34
Rolim de Moura (Município) (110028)	34,17	0,00	3,68	0,18	0,18	0,00	451	79,02
Vilhena (Município) (110030)	13,49	0,00	1,15	0,21	0,42	0,00	499	52,18
Cruzeiro do Sul (Município) (120020)	3,75	0,00	1,69	1,33	21,42	0,00	70	8,47
Rio Branco (Município) (120040)	0,86	0,00	0,21	0,29	0,21	0,00	425	11,08
Careiro da Várzea (Município) (130115)	1,71	0,00	0,00	0,00	0,34	0,00	14	4,80
Coari (Município) (130120)	8,73	0,00	0,47	0,00	0,35	0,00	145	17,11
Humaitá (Município) (130170)	9,18	0,00	0,00	0,00	3,00	0,00	256	47,96
Iranduba (Município) (130185)	13,50	0,00	0,21	0,00	1,69	0,00	183	38,60
Itacoatiara (Município) (130190)	11,92	0,00	0,00	0,00	0,40	0,00	385	38,56
Manacapuru (Município) (130250)	16,17	0,00	0,52	0,10	0,41	0,10	508	52,66
Manaus (Município) (130260)	7,13	0,00	0,20	0,16	0,73	0,00	6.047	28,39
Manicoré (Município) (130270)	8,59	0,00	0,00	0,18	0,00	0,00	72	13,16
Maués (Município) (130290)	17,20	0,00	2,57	0,00	0,00	0,00	250	40,19
Novo Airão (Município) (130320)	9,68	0,00	0,00	0,00	0,54	0,00	20	10,76
