Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	15,67	0,00	1,30	0,28	1,95	0,00	555	51,45
Cacoal (Município) (110004)	20,38	0,00	1,64	0,59	1,52	0,00	291	34,09
Jaru (Município) (110011)	24,53	0,00	1,16	0,00	0,77	0,00	562	108,55
Ji-Paraná (Município) (110012)	7,29	0,00	1,86	0,08	0,78	0,00	462	35,82
Porto Velho (Município) (110020)	4,76	0,00	0,40	0,25	2,89	0,00	1.134	21,41
Rolim de Moura (Município) (110028)	34,87	0,00	4,00	0,00	0,00	0,00	345	62,66
Vilhena (Município) (110030)	14,62	0,00	1,30	0,00	1,00	0,00	581	58,18
Cruzeiro do Sul (Município) (120020)	7,47	0,00	16,29	0,68	6,68	0,00	165	18,67
Rio Branco (Município) (120040)	0,91	0,00	0,64	0,34	0,34	0,00	670	16,45
Careiro da Várzea (Município) (130115)	1,65	0,00	0,00	0,00	0,00	0,00	12	3,97
Coari (Município) (130120)	11,05	0,00	0,12	0,47	0,35	0,00	507	59,58
Humaitá (Município) (130170)	4,18	0,00	0,18	0,00	1,82	0,00	175	31,77
Iranduba (Município) (130185)	12,42	0,00	0,41	0,00	0,83	0,00	194	40,17
Itacoatiara (Município) (130190)	8,19	0,00	0,00	0,00	0,59	0,00	416	41,05
Manacapuru (Município) (130250)	9,86	0,00	0,00	0,00	0,51	0,00	380	39,02
Manaus (Município) (130260)	6,76	0,00	0,17	0,11	0,36	0,00	6.026	27,61
Manicoré (Município) (130270)	4,30	0,00	0,18	0,00	0,00	0,00	118	21,17
Maués (Município) (130290)	17,21	0,00	0,00	0,00	0,47	0,00	168	26,29
Novo Airão (Município) (130320)	24,16	0,00	0,00	0,00	0,00	0,00	68	34,95
Parintins (Município) (130340)	4,46	0,00	0,00	0,18	0,00	0,00	332	29,05
Presidente Figueiredo (Município) (130353)	10,47	0,00	0,28	0,00	1,38	0,00	136	37,49
Rio Preto da Eva (Município) (130356)	3,60	0,00	0,30	0,00	0,60	0,00	137	41,08
Tabatinga (Município) (130406)	1,06	0,00	0,76	0,00	0,15	0,00	82	12,45
Tefé (Município) (130420)	14,54	0,00	1,50	0,17	0,84	0,00	255	42,61
Boa Vista (Município) (140010)	7,84	0,00	2,40	0,05	7,31	0,00	1.704	42,68
Abaetetuba (Município) (150010)	41,85	0,00	0,44	0,32	0,13	0,00	599	37,98
Acará (Município) (150020)	25,18	0,00	0,36	0,00	0,00	0,00	193	34,72
Alenquer (Município) (150040)	122,91	0,00	0,53	0,18	1,06	0,00	318	56,00
Altamira (Município) (150060)	18,33	0,00	0,35	0,00	0,35	0,00	509	44,42
Ananindeua (Município) (150080)	38,30	0,00	0,25	0,17	0,00	0,00	2.343	44,16
Barcarena (Município) (150130)	6,90	0,00	0,08	0,08	0,08	0,00	509	40,82
Belém (Município) (150140)	17,73	0,00	0,18	0,37	0,03	0,01	5.700	38,18
Benevides (Município) (150150)	6,69	0,00	0,32	0,32	0,00	0,00	134	21,36
Bragança (Município) (150170)	29,06	0,00	5,33	0,63	0,00	0,00	1.070	83,80
Breu Branco (Município) (150178)	4,09	0,00	0,45	0,00	0,15	0,00	80	12,11
Breves (Município) (150180)	24,73	0,00	0,29	2,92	0,97	0,00	698	67,96
Cametá (Município) (150210)	55,33	0,00	0,07	0,00	1,60	0,00	639	46,34
Capanema (Município) (150220)	8,40	0,00	2,90	0,00	0,00	0,00	272	39,40
Capitão Poço (Município) (150230)	54,32	0,00	0,00	0,00	0,00	0,00	688	126,70
Castanhal (Município) (150240)	9,31	0,00	0,55	0,10	0,00	0,00	669	33,32
Dom Eliseu (Município) (150293)	26,62	0,00	3,52	0,00	0,00	0,00	170	28,47
Igarapé-Miri (Município) (150330)	137,96	0,00	0,16	0,00	0,16	0,00	496	79,11
Ipixuna do Pará (Município) (150345)	24,20	0,00	0,47	0,00	0,16	0,00	321	50,11
Itaituba (Município) (150360)	14,82	0,00	0,10	0,00	0,40	0,00	265	26,17
Itupiranga (Município) (150370)	10,14	0,00	1,50	0,00	0,00	0,00	168	31,54
Jacundá (Município) (150380)	50,38	0,00	1,01	0,00	0,68	0,00	179	30,26
Juruti (Município) (150390)	3,62	0,00	0,00	0,00	0,00	0,00	59	10,18
Marabá (Município) (150420)	2,04	0,00	0,50	0,00	0,00	0,00	576	20,62
Marituba (Município) (150442)	15,89	0,00	0,30	0,15	0,08	0,00	452	34,37
Moju (Município) (150470)	17,18	0,00	1,10	0,12	0,24	0,00	257	31,31
Monte Alegre (Município) (150480)	14,13	0,00	0,00	0,17	0,17	0,00	186	32,05
Novo Repartimento (Município) (150506)	22,66	0,00	1,71	0,00	0,26	0,00	355	46,76
Óbidos (Município) (150510)	81,52	0,00	0,19	0,00	0,96	0,00	389	74,61
Oriximiná (Município) (150530)	19,56	0,14	0,27	0,68	1,23	0,00	203	27,77
Paragominas (Município) (150550)	6,19	0,00	0,00	0,00	0,00	0,00	331	29,25
Parauapebas (Município) (150553)	6,58	0,00	1,34	0,00	0,24	0,00	486	23,33
Portel (Município) (150580)	5,00	0,00	0,00	0,00	0,00	0,00	96	15,47
Redenção (Município) (150613)	7,43	0,00	1,89	0,00	0,24	0,00	428	50,48
Rondon do Pará (Município) (150618)	132,55	0,00	2,67	0,00	0,00	0,00	250	47,75
Santa Bárbara do Pará (Município) (150635)	3,32	0,00	0,00	0,00	0,00	0,00	26	12,33
Santa Izabel do Pará (Município) (150650)	12,57	0,00	0,14	0,42	0,00	0,00	181	25,56
Santana do Araguaia (Município) (150670)	27,47	0,00	2,88	0,00	0,00	0,00	173	23,76
Santarém (Município) (150680)	3,38	0,00	0,07	0,16	0,23	0,00	356	11,69
São Félix do Xingu (Município) (150730)	19,30	0,00	2,57	0,00	0,23	0,00	791	61,57
São Miguel do Guamá (Município) (150760)	4,07	0,00	0,17	0,00	0,00	0,00	113	19,16
Tailândia (Município) (150795)	3,57	0,00	0,38	0,00	0,19	0,00	219	20,59
Tomé-Açu (Município) (150800)	45,71	0,00	1,42	0,00	0,00	0,00	313	49,33
Tucuruí (Município) (150810)	0,97	0,00	0,26	0,00	0,00	0,00	136	11,97
Ulianópolis (Município) (150812)	48,30	0,00	0,68	0,00	0,00	0,00	324	54,72
Vigia (Município) (150820)	29,24	0,00	0,19	2,05	0,00	0,00	257	47,87
Viseu (Município) (150830)	84,03	0,00	4,07	0,00	0,00	0,00	358	58,30
Macapá (Município) (160030)	4,11	0,00	0,14	0,22	1,01	0,00	1.987	39,48
Santana (Município) (160060)	9,81	0,00	0,41	1,15	1,48	0,00	905	74,57
