Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	104.401	104.401	88.423	4.426,570	103.243	87.265	98,7%	98,9%
Cacoal (Município) (110004)	87.226	87.226	68.739	3.792,950	48.726	30.239	44,0%	55,9%
Jaru (Município) (110011)	55.738	55.738	37.639	2.944,130	55.738	37.639	100,0%	100,0%
Ji-Paraná (Município) (110012)	130.419	130.419	117.275	6.896,650	130.419	117.275	100,0%	100,0%
Porto Velho (Município) (110020)	502.748	502.748	458.408	34.090,960	484.076	439.736	95,9%	96,3%
Rolim de Moura (Município) (110028)	56.242	56.242	46.005	1.457,890	56.242	46.005	100,0%	100,0%
Vilhena (Município) (110030)	91.801	91.801	87.001	11.699,150	91.801	87.001	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	81.519	81.519	57.449	8.779,400	81.519	57.449	100,0%	100,0%
Rio Branco (Município) (120040)	370.550	370.550	340.233	8.834,940	287.002	256.685	75,4%	77,5%
Careiro da Várzea (Município) (130115)	27.981	27.981	1.169	2.627,470	27.981	1.169	100,0%	100,0%
Coari (Município) (130120)	83.078	83.078	54.300	57.970,770	-	-	-	-
Humaitá (Município) (130170)	51.302	51.302	35.380	33.111,160	-	-	-	-
Iranduba (Município) (130185)	45.984	45.984	32.676	2.216,820	-	-	-	-
Itacoatiara (Município) (130190)	97.122	97.122	65.044	8.891,910	-	-	-	-
Manacapuru (Município) (130250)	94.175	94.175	66.559	7.336,580	94.175	66.559	100,0%	100,0%
Manaus (Município) (130260)	2.057.711	2.057.711	2.047.282	11.401,090	1.843.776	1.833.347	89,6%	89,6%
Manicoré (Município) (130270)	53.053	53.053	22.961	48.315,020	53.053	22.961	100,0%	100,0%
Maués (Município) (130290)	59.983	59.983	29.663	39.991,070	-	-	-	-
Novo Airão (Município) (130320)	17.671	17.671	11.401	37.805,260	17.671	11.401	100,0%	100,0%
Parintins (Município) (130340)	111.575	111.575	76.426	5.956,370	111.575	76.426	100,0%	100,0%
Presidente Figueiredo (Município) (130353)	32.812	32.812	15.698	25.412,270	27.812	10.698	68,1%	84,8%
Rio Preto da Eva (Município) (130356)	30.530	30.530	14.488	5.815,620	-	-	-	-
Tabatinga (Município) (130406)	61.028	61.028	42.445	3.266,060	61.028	42.445	100,0%	100,0%
Tefé (Município) (130420)	62.444	62.444	50.876	23.692,220	-	-	-	-
Boa Vista (Município) (140010)	320.714	320.714	313.366	5.687,040	138.962	131.614	42,0%	43,3%
Abaetetuba (Município) (150010)	150.431	150.431	88.487	1.610,400	150.431	88.487	100,0%	100,0%
Acará (Município) (150020)	54.064	54.064	12.738	4.343,810	54.064	12.738	100,0%	100,0%
Alenquer (Município) (150040)	54.662	54.662	28.795	23.645,450	54.662	28.795	100,0%	100,0%
Altamira (Município) (150060)	108.382	108.382	91.992	159.533,330	108.382	91.992	100,0%	100,0%
Ananindeua (Município) (150080)	505.404	505.404	504.161	190,450	494.828	493.585	97,9%	97,9%
Barcarena (Município) (150130)	115.779	115.779	42.084	1.310,590	103.779	36.084	85,7%	89,6%
Belém (Município) (150140)	1.439.561	1.439.561	1.427.242	1.059,460	1.255.302	1.242.983	87,1%	87,2%
Benevides (Município) (150150)	58.637	58.637	32.822	187,830	-	-	-	-
Bragança (Município) (150170)	121.528	121.528	77.945	2.091,930	121.528	77.945	100,0%	100,0%
Breu Branco (Município) (150178)	61.222	61.222	34.182	3.941,910	61.222	34.182	100,0%	100,0%
Breves (Município) (150180)	98.231	98.231	49.253	9.563,010	98.231	49.253	100,0%	100,0%
Cametá (Município) (150210)	130.868	130.868	57.196	3.081,370	130.868	57.196	100,0%	100,0%
Capanema (Município) (150220)	66.353	66.353	52.896	614,690	66.353	52.896	100,0%	100,0%
Capitão Poço (Município) (150230)	52.693	52.693	21.772	2.899,550	52.693	21.772	100,0%	100,0%
Castanhal (Município) (150240)	189.784	189.784	168.114	1.028,890	104.774	83.104	49,4%	55,2%
Dom Eliseu (Município) (150293)	56.398	56.398	35.734	5.268,820	56.398	35.734	100,0%	100,0%
Igarapé-Miri (Município) (150330)	60.343	60.343	27.227	1.996,790	60.343	27.227	100,0%	100,0%
Ipixuna do Pará (Município) (150345)	58.558	58.558	13.954	5.215,560	-	-	-	-
Itaituba (Município) (150360)	98.446	98.446	71.373	62.042,470	98.446	71.373	100,0%	100,0%
Itupiranga (Município) (150370)	51.775	51.775	20.712	7.880,110	51.775	20.712	100,0%	100,0%
Jacundá (Município) (150380)	56.006	56.006	49.815	2.008,320	56.006	49.815	100,0%	100,0%
Juruti (Município) (150390)	53.989	53.989	18.176	8.305,130	-	-	-	-
Marabá (Município) (150420)	262.085	262.085	208.922	15.128,060	262.085	208.922	100,0%	100,0%
Marituba (Município) (150442)	122.916	122.916	121.641	103,340	122.916	121.641	100,0%	100,0%
Moju (Município) (150470)	77.385	77.385	27.809	9.094,140	77.385	27.809	100,0%	100,0%
Monte Alegre (Município) (150480)	56.312	56.312	24.941	18.152,560	56.312	24.941	100,0%	100,0%
Novo Repartimento (Município) (150506)	70.835	70.835	31.907	15.398,720	70.835	31.907	100,0%	100,0%
Óbidos (Município) (150510)	50.459	50.459	26.047	28.021,440	50.459	26.047	100,0%	100,0%
Oriximiná (Município) (150530)	69.024	69.024	44.130	107.603,660	69.024	44.130	100,0%	100,0%
Paragominas (Município) (150550)	107.010	107.010	83.700	19.342,250	95.340	72.030	86,1%	89,1%
Parauapebas (Município) (150553)	189.921	189.921	171.142	6.886,210	-	-	-	-
