Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	28.688	24.461	3,23	3,21	2.380,370	25.665,20	4.426,570	20,95
Cacoal (Município) (110004)	25.536	20.670	3,11	3,02	1.917,980	24.177,19	3.792,950	20,92
Jaru (Município) (110011)	16.793	11.676	3,08	2,99	1.404,160	27.125,67	2.944,130	17,58
Ji-Paraná (Município) (110012)	37.545	34.364	3,15	3,09	3.239,780	27.434,41	6.896,650	17,12
Porto Velho (Município) (110020)	128.683	118.446	3,44	3,41	16.726,000	37.781,71	34.090,960	12,99
Rolim de Moura (Município) (110028)	16.682	13.851	3,07	3,02	1.181,350	23.099,47	1.457,890	35,08
Vilhena (Município) (110030)	24.872	23.812	3,20	3,17	2.512,180	31.553,65	11.699,150	6,81
Cruzeiro do Sul (Município) (120020)	20.046	14.706	3,98	3,83	1.171,790	14.680,61	8.779,400	9,09
Rio Branco (Município) (120040)	101.472	92.723	3,43	3,45	8.761,460	25.151,03	8.834,940	39,43
Careiro da Várzea (Município) (130115)	6.077	280	4,10	3,72	283,580	11.371,77	2.627,470	9,49
Coari (Município) (130120)	16.087	11.265	4,81	4,49	5.879,470	76.055,44	57.970,770	1,33
Humaitá (Município) (130170)	10.406	7.594	4,42	4,17	429,770	9.352,07	33.111,160	1,39
Iranduba (Município) (130185)	10.375	7.368	4,04	4,05	534,670	12.746,43	2.216,820	18,92
Itacoatiara (Município) (130190)	21.040	14.450	4,23	4,13	1.831,470	20.563,53	8.891,910	10,02
Manacapuru (Município) (130250)	19.227	14.051	4,52	4,38	1.192,060	13.704,23	7.336,580	11,86
Manaus (Município) (130260)	505.411	502.157	3,68	3,69	77.618,380	41.689,12	11.401,090	163,30
Manicoré (Município) (130270)	10.105	4.678	4,79	4,48	523,760	10.827,46	48.315,020	1,00
Maués (Município) (130290)	10.598	5.553	5,10	4,82	415,420	7.681,75	39.991,070	1,35
Novo Airão (Município) (130320)	3.356	2.264	4,62	4,41	107,880	6.964,65	37.805,260	0,41
Parintins (Município) (130340)	21.996	15.569	4,72	4,57	1.134,360	10.925,38	5.956,370	17,43
Presidente Figueiredo (Município) (130353)	7.643	3.639	3,75	3,77	825,160	28.799,44	25.412,270	1,13
Rio Preto da Eva (Município) (130356)	6.467	3.118	4,17	4,10	444,740	16.503,51	5.815,620	4,63
Tabatinga (Município) (130406)	10.612	8.255	5,13	4,59	384,870	7.069,69	3.266,060	16,67
Tefé (Município) (130420)	12.873	10.810	4,74	4,60	780,060	12.787,83	23.692,220	2,57
Boa Vista (Município) (140010)	81.779	80.698	3,63	3,60	8.153,850	27.457,82	5.687,040	52,22
Abaetetuba (Município) (150010)	33.383	20.795	4,33	4,09	1.115,060	7.721,21	1.610,400	89,68
Acará (Município) (150020)	12.725	3.296	4,23	3,84	708,280	13.168,15	4.343,810	12,38
Alenquer (Município) (150040)	13.038	7.288	4,09	3,86	509,210	9.541,33	23.645,450	2,26
Altamira (Município) (150060)	28.549	24.746	3,58	3,51	3.083,080	30.124,99	159.533,330	0,64
Ananindeua (Município) (150080)	135.362	137.087	3,57	3,52	7.146,170	14.770,28	190,450	2.540,40
Barcarena (Município) (150130)	26.770	9.680	3,94	3,96	2.803,460	26.602,07	1.310,590	80,41
Belém (Município) (150140)	383.673	381.260	3,68	3,67	36.833,650	26.115,19	1.059,460	1.331,28
Benevides (Município) (150150)	14.733	8.270	3,67	3,66	1.109,920	20.522,45	187,830	287,94
Bragança (Município) (150170)	28.246	18.819	4,11	3,96	1.056,880	9.098,17	2.091,930	55,53
Breu Branco (Município) (150178)	13.188	7.698	4,21	4,03	572,530	10.311,92	3.941,910	14,08
Breves (Município) (150180)	18.938	10.565	5,00	4,50	702,840	7.415,54	9.563,010	9,91
Cametá (Município) (150210)	25.410	11.995	4,90	4,53	862,530	6.932,90	3.081,370	40,38
Capanema (Município) (150220)	18.184	14.965	3,55	3,44	938,350	14.520,16	614,690	105,13
Capitão Poço (Município) (150230)	13.985	6.265	3,73	3,44	420,330	8.050,08	2.899,550	18,01
Castanhal (Município) (150240)	48.957	44.217	3,66	3,59	3.283,140	18.342,98	1.028,890	173,96
Dom Eliseu (Município) (150293)	14.088	9.323	3,77	3,61	520,080	9.794,41	5.268,820	10,08
Igarapé-Miri (Município) (150330)	12.950	6.373	4,55	4,17	449,110	7.624,48	1.996,790	29,50
Ipixuna do Pará (Município) (150345)	12.257	3.185	4,21	3,86	615,700	11.939,41	5.215,560	9,89
Itaituba (Município) (150360)	25.737	18.801	3,80	3,78	1.298,960	13.267,19	62.042,470	1,58
Itupiranga (Município) (150370)	13.612	5.411	3,78	3,80	412,320	8.012,95	7.880,110	6,53
Jacundá (Município) (150380)	13.566	12.207	3,91	3,86	481,990	9.095,34	2.008,320	26,39
Juruti (Município) (150390)	10.230	3.707	4,84	4,49	793,640	16.037,76	8.305,130	5,96
Marabá (Município) (150420)	65.274	53.287	3,73	3,64	5.827,060	23.922,26	15.128,060	16,10
Marituba (Município) (150442)	29.472	29.574	3,85	3,79	1.290,110	11.381,36	103,340	1.096,86
Moju (Município) (150470)	16.855	6.393	4,31	4,08	785,910	10.825,61	9.094,140	7,98
Monte Alegre (Município) (150480)	14.807	6.893	3,77	3,59	579,650	10.387,22	18.152,560	3,07
Novo Repartimento (Município) (150506)	16.362	7.592	3,98	3,86	707,000	10.859,17	15.398,720	4,23
Óbidos (Município) (150510)	12.198	6.629	4,08	3,88	534,270	10.736,25	28.021,440	1,78
Oriximiná (Município) (150530)	14.736	9.628	4,41	4,31	1.766,430	27.185,04	107.603,660	0,60
Paragominas (Município) (150550)	26.886	21.699	3,76	3,64	2.388,410	23.636,85	19.342,250	5,22
Parauapebas (Município) (150553)	46.003	42.517	3,62	3,53	26.659,590	160.269,76	6.886,210	24,16
Portel (Município) (150580)	10.395	5.449	5,22	4,75	529,420	9.748,90	25.384,960	2,14
Redenção (Município) (150613)	21.823	20.518	3,55	3,50	1.348,610	17.420,55	3.823,810	20,25
Rondon do Pará (Município) (150618)	13.506	10.250	3,56	3,46	478,660	9.964,52	8.246,390	5,83
Santa Bárbara do Pará (Município) (150635)	4.805	1.520	3,75	3,77	160,030	8.884,38	278,150	64,76
Santa Izabel do Pará (Município) (150650)	16.459	12.736	3,76	3,52	578,420	9.341,58	717,660	86,28
Santana do Araguaia (Município) (150670)	15.066	7.948	3,98	3,98	591,860	9.877,62	11.591,460	5,17
Santarém (Município) (150680)	75.394	57.516	3,77	3,62	4.548,020	15.991,59	17.898,390	15,89
São Félix do Xingu (Município) (150730)	24.260	12.409	4,12	3,98	1.023,320	10.242,92	84.212,850	1,19
São Miguel do Guamá (Município) (150760)	13.629	8.926	3,90	3,68	552,710	10.407,33	1.110,180	47,84
Tailândia (Município) (150795)	17.767	13.296	4,81	4,76	710,570	8.313,92	4.430,220	19,29
Tomé-Açu (Município) (150800)	14.684	8.460	3,94	3,82	607,880	10.496,22	5.145,360	11,26
Tucuruí (Município) (150810)	25.382	24.606	3,97	3,89	4.083,700	40.572,89	2.086,190	48,25
Ulianópolis (Município) (150812)	9.228	6.328	5,09	4,89	1.157,020	24.628,43	5.088,470	9,23
Vigia (Município) (150820)	12.699	8.546	3,86	3,88	352,500	7.185,93	539,080	91,00
Viseu (Município) (150830)	13.322	4.441	4,32	4,20	450,980	7.834,05	4.915,070	11,71
Macapá (Município) (160030)	103.542	98.606	4,01	4,03	10.409,810	25.050,44	6.503,460	63,90
Santana (Município) (160060)	24.014	23.587	4,35	4,33	2.063,380	19.762,83	1.541,220	67,74
Araguaína (Município) (170210)	46.651	44.615	3,35	3,32	3.401,240	21.785,62	4.000,420	39,03
Gurupi (Município) (170950)	24.748	24.292	3,17	3,16	2.051,520	26.125,70	1.836,090	42,77
Paraíso do Tocantins (Município) (171610)	14.301	13.706	3,19	3,19	1.068,450	23.395,47	1.268,060	36,01
Porto Nacional (Município) (171820)	14.637	12.623	3,40	3,40	1.210,700	24.323,90	4.449,920	11,19
Palmas (Município) (172100)	74.269	72.154	3,26	3,26	6.827,860	28.206,12	2.218,940	109,09
