Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	283,71	7,59	5.734,69	0,00	0,00	5.734,69	0,05
Cacoal (Município) (110004)	525,00	204,00	759.231,69	0,00	0,00	759.231,69	8,64
Jaru (Município) (110011)	417,18	0,00	19.874,23	0,00	777.638,56	797.512,79	14,29
Ji-Paraná (Município) (110012)	384,95	0,00	283.112,47	0,00	394.861,81	677.974,29	5,15
Porto Velho (Município) (110020)	939,00	70,17	1.630.598,48	0,00	2.516.064,24	4.146.662,71	8,11
Rolim de Moura (Município) (110028)	248,97	9,60	223.217,91	0,00	0,00	223.217,91	3,94
Vilhena (Município) (110030)	492,00	0,00	264.094,49	0,00	0,00	264.094,49	2,82
Cruzeiro do Sul (Município) (120020)	188,41	0,00	0,00	0,00	975.032,08	975.032,08	11,88
Rio Branco (Município) (120040)	1.139,44	533,47	51.509,28	0,00	14.369.172,80	14.420.682,09	38,25
Careiro da Várzea (Município) (130115)	9,17	0,00	24.839,76	0,00	0,00	24.839,76	0,87
Coari (Município) (130120)	-	-	-	-	-	-	-
Humaitá (Município) (130170)	-	-	-	-	-	-	-
Iranduba (Município) (130185)	-	-	-	-	-	-	-
Itacoatiara (Município) (130190)	-	-	-	-	-	-	-
Manacapuru (Município) (130250)	120,00	0,00	0,00	0,00	0,00	0,00	0,00
Manaus (Município) (130260)	3.712,81	524,41	78.390.636,58	0,00	0,00	78.390.636,58	37,43
Manicoré (Município) (130270)	54,00	0,00	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	54,55	0,00	44.436,50	0,00	0,00	44.436,50	0,73
Novo Airão (Município) (130320)	72,85	0,00	0,00	136.436,03	5.871.948,70	6.008.384,73	331,35
Parintins (Município) (130340)	180,00	0,00	0,00	0,00	0,00	0,00	0,00
Presidente Figueiredo (Município) (130353)	-	-	-	-	-	-	-
Rio Preto da Eva (Município) (130356)	-	-	-	-	-	-	-
Tabatinga (Município) (130406)	78,53	0,00	77.680,47	0,00	0,00	77.680,47	1,25
Tefé (Município) (130420)	-	-	-	-	-	-	-
Boa Vista (Município) (140010)	1.400,23	794,93	5.303.712,94	0,00	93.810.763,67	99.114.476,61	303,64
Abaetetuba (Município) (150010)	165,86	0,00	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	-	-	-	-	-	-	-
Alenquer (Município) (150040)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Altamira (Município) (150060)	195,92	195,92	0,00	0,00	0,00	0,00	0,00
Ananindeua (Município) (150080)	438,04	12,22	0,00	0,00	3.818.232,26	3.818.232,26	7,47
Barcarena (Município) (150130)	131,99	40,00	0,00	20.697.062,18	0,00	20.697.062,18	174,60
Belém (Município) (150140)	2.027,21	328,00	12.351.146,31	0,00	89.997.311,36	102.348.457,67	70,78
Benevides (Município) (150150)	-	-	-	-	-	-	-
Bragança (Município) (150170)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	20,00	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	0,00	0,00	0,00	5.543.861,70	5.543.861,70	55,95
Cametá (Município) (150210)	78,56	0,00	168.822,42	0,00	0,00	168.822,42	1,27
Capanema (Município) (150220)	118,00	0,00	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	384,00	228,00	0,00	0,00	0,00	0,00	0,00
Dom Eliseu (Município) (150293)	40,00	0,00	0,00	0,00	243.506,48	243.506,48	4,25
Igarapé-Miri (Município) (150330)	65,00	0,00	0,00	0,00	62.189,69	62.189,69	1,02
Ipixuna do Pará (Município) (150345)	-	-	-	-	-	-	-
Itaituba (Município) (150360)	58,00	0,00	0,00	0,00	11.393.939,75	11.393.939,75	115,69
Itupiranga (Município) (150370)	9,00	0,00	0,00	0,00	0,00	0,00	0,00
Jacundá (Município) (150380)	37,00	0,00	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	-	-	-	-	-	-	-
Marabá (Município) (150420)	235,00	519,79	0,00	0,00	24.480.123,98	24.480.123,98	91,71
Marituba (Município) (150442)	91,07	0,00	0,00	0,00	267.936,48	267.936,48	2,14
Moju (Município) (150470)	25,00	0,00	0,00	0,00	2.266.601,33	2.266.601,33	28,83
Monte Alegre (Município) (150480)	56,00	0,00	0,00	0,00	395.496,33	395.496,33	7,01
Novo Repartimento (Município) (150506)	30,00	7,80	0,00	0,00	0,00	0,00	0,00
Óbidos (Município) (150510)	66,00	0,00	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	305,00	0,00	0,00	206.890,65	782.495,23	989.385,88	14,12
Paragominas (Município) (150550)	242,00	16,90	357.284,53	3.553.066,65	0,00	3.910.351,18	36,02
Parauapebas (Município) (150553)	734,95	42,00	4.036.992,04	0,00	0,00	4.036.992,04	20,57
Portel (Município) (150580)	22,00	0,00	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	253,50	0,00	2.356.004,31	0,00	0,00	2.356.004,31	28,86
Rondon do Pará (Município) (150618)	203,90	0,00	117.395,23	0,00	0,00	117.395,23	2,33
Santa Bárbara do Pará (Município) (150635)	50,00	0,50	0,00	0,00	0,00	0,00	0,00
Santa Izabel do Pará (Município) (150650)	-	-	-	-	-	-	-
