Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	9,80	0,00	0,47	0,00	1,41	0,00	562	52,93
Cacoal (Município) (110004)	15,68	0,00	0,94	1,06	0,59	0,12	390	45,98
Jaru (Município) (110011)	14,44	0,00	0,58	0,00	0,39	0,00	474	91,27
Ji-Paraná (Município) (110012)	9,07	0,00	3,99	0,16	1,02	0,08	617	48,24
Porto Velho (Município) (110020)	4,93	0,00	0,38	0,23	2,29	0,00	1.088	20,94
Rolim de Moura (Município) (110028)	33,45	0,00	1,28	0,00	0,55	0,00	366	66,91
Vilhena (Município) (110030)	19,70	0,00	0,72	0,00	1,54	0,00	521	53,46
Cruzeiro do Sul (Município) (120020)	4,68	0,00	1,94	0,57	10,49	0,00	139	15,85
Rio Branco (Município) (120040)	0,85	0,00	0,40	0,47	0,35	0,00	571	14,23
Careiro da Várzea (Município) (130115)	1,01	0,00	0,34	0,00	0,34	0,00	7	2,37
Coari (Município) (130120)	13,05	0,00	0,12	0,12	0,59	0,00	377	44,74
Humaitá (Município) (130170)	6,11	0,00	0,00	0,00	1,67	0,00	214	39,63
Iranduba (Município) (130185)	10,30	0,00	0,21	0,42	2,73	0,00	209	43,93
Itacoatiara (Município) (130190)	7,70	0,00	0,10	0,10	0,20	0,00	377	37,72
Manacapuru (Município) (130250)	15,59	0,00	0,00	0,00	0,94	0,21	642	66,71
Manaus (Município) (130260)	6,76	0,00	0,15	0,10	0,46	0,00	5.752	26,81
Manicoré (Município) (130270)	4,37	0,00	0,00	0,00	0,18	0,00	70	12,75
Maués (Município) (130290)	14,66	0,00	0,80	0,00	0,48	0,00	197	31,39
Novo Airão (Município) (130320)	16,34	0,00	0,00	0,00	1,05	0,00	33	17,39
Parintins (Município) (130340)	6,45	0,00	0,00	0,35	0,00	0,00	367	32,43
Presidente Figueiredo (Município) (130353)	7,07	0,00	0,00	0,00	1,41	0,00	121	34,23
Rio Preto da Eva (Município) (130356)	4,60	0,00	0,00	0,00	1,53	0,00	125	38,37
Tabatinga (Município) (130406)	0,62	0,00	0,00	0,31	0,62	0,00	62	9,61
Tefé (Município) (130420)	11,64	0,00	0,83	0,00	0,66	0,00	264	43,89
Boa Vista (Município) (140010)	8,52	0,00	0,35	0,05	6,95	0,00	1.594	42,46
Abaetetuba (Município) (150010)	35,19	0,00	0,58	0,58	0,00	0,00	570	36,47
Acará (Município) (150020)	21,62	0,00	0,36	0,00	0,18	0,00	233	41,97
Alenquer (Município) (150040)	84,10	0,00	1,06	0,00	0,35	0,00	253	44,79
Altamira (Município) (150060)	17,23	0,00	1,15	0,00	0,44	0,00	349	30,83
Ananindeua (Município) (150080)	34,44	0,00	0,27	0,21	0,04	0,00	2.415	45,95
Barcarena (Município) (150130)	9,24	0,00	0,49	0,00	0,16	0,00	750	61,33
Belém (Município) (150140)	19,51	0,01	0,13	0,34	0,06	0,00	2.922	19,67
Benevides (Município) (150150)	9,08	0,00	0,65	0,16	0,00	0,00	111	17,99
Bragança (Município) (150170)	35,91	0,00	3,08	1,27	0,00	0,08	862	68,18
Breu Branco (Município) (150178)	5,25	0,00	0,00	0,00	0,31	0,00	73	11,28
Breves (Município) (150180)	23,65	0,00	0,29	1,28	0,98	0,00	863	84,70
Cametá (Município) (150210)	37,39	0,00	0,07	0,07	2,93	0,00	606	44,43
Capanema (Município) (150220)	12,68	0,00	0,73	0,29	0,00	0,00	299	43,58
Capitão Poço (Município) (150230)	71,61	0,00	2,40	0,00	0,00	0,00	522	96,35
Castanhal (Município) (150240)	9,08	0,05	1,01	0,10	0,00	0,00	688	34,70
Dom Eliseu (Município) (150293)	47,49	0,00	0,85	0,00	0,00	0,00	144	24,42
Igarapé-Miri (Município) (150330)	120,12	0,00	0,32	0,16	0,00	0,16	440	70,56
Ipixuna do Pará (Município) (150345)	39,39	0,00	0,16	0,00	0,00	0,00	316	50,60
Itaituba (Município) (150360)	27,10	0,00	0,20	0,00	0,69	0,00	354	35,02
Itupiranga (Município) (150370)	3,01	0,00	1,50	0,00	0,19	0,00	114	21,44
Jacundá (Município) (150380)	36,78	0,00	1,37	0,00	0,00	0,00	192	32,84
