Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	107.863	107.863	91.355	4.426,570	105.612	89.104	97,5%	97,9%
Cacoal (Município) (110004)	85.359	85.359	67.268	3.792,950	41.635	23.544	35,0%	48,8%
Jaru (Município) (110011)	51.775	51.775	34.963	2.944,130	-	-	-	-
Ji-Paraná (Município) (110012)	128.969	128.969	115.971	6.896,650	-	-	-	-
Porto Velho (Município) (110020)	529.544	529.544	482.841	34.090,960	504.838	460.943	95,5%	95,3%
Rolim de Moura (Município) (110028)	55.058	55.058	45.036	1.457,890	-	-	-	-
Vilhena (Município) (110030)	99.854	99.854	94.633	11.699,150	-	-	-	-
Cruzeiro do Sul (Município) (120020)	88.376	88.376	62.281	8.779,400	-	-	-	-
Rio Branco (Município) (120040)	407.319	407.319	373.994	8.834,940	319.120	286.044	76,5%	78,4%
Careiro da Várzea (Município) (130115)	30.225	30.225	1.263	2.627,470	-	-	-	-
Coari (Município) (130120)	85.097	-	55.620	57.970,770	-	-	-	-
Humaitá (Município) (130170)	55.080	-	37.986	33.111,160	-	-	-	-
Iranduba (Município) (130185)	48.296	-	34.319	2.216,820	-	-	-	-
Itacoatiara (Município) (130190)	101.337	-	67.866	8.891,910	-	-	-	-
Manacapuru (Município) (130250)	97.377	-	68.822	7.336,580	-	-	-	-
Manaus (Município) (130260)	2.182.763	2.182.763	2.171.700	11.401,090	1.748.423	1.737.360	80,0%	80,1%
Manicoré (Município) (130270)	55.751	55.751	24.129	48.315,020	-	-	-	-
Maués (Município) (130290)	63.905	-	31.603	39.991,070	-	-	-	-
Novo Airão (Município) (130320)	19.454	19.454	12.551	37.805,260	-	-	-	-
Parintins (Município) (130340)	114.273	114.273	78.274	5.956,370	-	-	-	-
Presidente Figueiredo (Município) (130353)	36.279	-	17.357	25.412,270	-	-	-	-
Rio Preto da Eva (Município) (130356)	33.347	-	15.825	5.815,620	-	-	-	-
Tabatinga (Município) (130406)	65.844	65.844	45.794	3.266,060	-	-	-	-
Tefé (Município) (130420)	59.849	-	48.762	23.692,220	-	-	-	-
Boa Vista (Município) (140010)	399.213	399.213	390.066	5.687,040	48.176	39.029	10,0%	12,1%
Abaetetuba (Município) (150010)	157.698	157.698	92.761	1.610,400	-	-	-	-
