Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	106.168	106.168	89.920	4.426,570	104.003	87.755	97,6%	98,0%
Cacoal (Município) (110004)	84.813	84.813	66.838	3.792,950	41.813	23.838	35,7%	49,3%
Jaru (Município) (110011)	51.933	51.933	35.069	2.944,130	51.933	35.069	100,0%	100,0%
Ji-Paraná (Município) (110012)	127.907	127.907	115.016	6.896,650	127.907	115.016	100,0%	100,0%
Porto Velho (Município) (110020)	519.531	519.531	473.711	34.090,960	494.795	454.754	96,0%	95,2%
Rolim de Moura (Município) (110028)	54.702	54.702	44.745	1.457,890	54.702	44.745	100,0%	100,0%
Vilhena (Município) (110030)	97.448	97.448	92.353	11.699,150	97.448	92.353	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	87.673	87.673	61.786	8.779,400	87.673	61.786	100,0%	100,0%
Rio Branco (Município) (120040)	401.155	401.155	368.334	8.834,940	318.977	286.389	77,8%	79,5%
Careiro da Várzea (Município) (130115)	29.595	29.595	1.237	2.627,470	29.595	1.237	100,0%	100,0%
Coari (Município) (130120)	84.272	84.272	55.080	57.970,770	0	0	-	-
Humaitá (Município) (130170)	54.001	54.001	37.242	33.111,160	0	0	-	-
Iranduba (Município) (130185)	47.571	47.571	33.804	2.216,820	0	0	-	-
Itacoatiara (Município) (130190)	99.955	99.955	66.941	8.891,910	0	0	-	-
Manacapuru (Município) (130250)	96.236	96.236	68.015	7.336,580	0	0	-	-
Manaus (Município) (130260)	2.145.444	2.145.444	2.134.570	11.401,090	1.878.707	1.867.833	87,5%	87,6%
