Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	90.353	90.353	76.525	4.426,570	90.353	76.525	100,0%	100,0%
Cacoal (Município) (110004)	78.574	78.574	61.921	3.792,950	42.574	25.921	41,9%	54,2%
Jaru (Município) (110011)	52.005	52.005	35.118	2.944,130	52.005	35.118	100,0%	100,0%
Ji-Paraná (Município) (110012)	116.610	116.610	104.858	6.896,650	116.610	104.858	100,0%	100,0%
Porto Velho (Município) (110020)	428.527	428.527	390.733	34.090,960	422.016	384.222	98,3%	98,5%
Rolim de Moura (Município) (110028)	50.648	50.648	41.429	1.457,890	50.648	41.429	100,0%	100,0%
Vilhena (Município) (110030)	76.202	76.202	72.218	11.699,150	76.202	72.218	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	78.507	78.507	55.326	8.779,400	78.507	55.326	100,0%	100,0%
Rio Branco (Município) (120040)	336.038	336.038	308.545	8.834,940	268.038	240.545	78,0%	79,8%
Careiro da Várzea (Município) (130115)	23.930	23.930	1.000	2.627,470	23.930	1.000	100,0%	100,0%
Coari (Município) (130120)	75.965	75.965	49.651	57.970,770	-	-	-	-
Humaitá (Município) (130170)	44.227	44.227	30.501	33.111,160	44.227	30.501	100,0%	100,0%
Iranduba (Município) (130185)	40.781	40.781	28.979	2.216,820	-	-	-	-
Itacoatiara (Município) (130190)	86.839	86.839	58.157	8.891,910	86.839	58.157	100,0%	100,0%
Manacapuru (Município) (130250)	85.141	85.141	60.174	7.336,580	85.141	60.174	100,0%	100,0%
Manaus (Município) (130260)	1.802.014	1.802.014	1.792.881	11.401,090	1.418.544	1.409.411	78,6%	78,7%
Manicoré (Município) (130270)	47.017	47.017	20.349	48.315,020	-	-	-	-
Maués (Município) (130290)	52.236	52.236	25.832	39.991,070	52.236	25.832	100,0%	100,0%
Novo Airão (Município) (130320)	14.723	14.723	9.499	37.805,260	-	-	-	-
Parintins (Município) (130340)	102.033	102.033	69.890	5.956,370	102.033	69.890	100,0%	100,0%
Presidente Figueiredo (Município) (130353)	27.175	27.175	13.001	25.412,270	19.375	5.201	40,0%	71,3%
Rio Preto da Eva (Município) (130356)	25.719	25.719	12.205	5.815,620	-	-	-	-
Tabatinga (Município) (130406)	52.272	52.272	36.355	3.266,060	52.272	36.355	100,0%	100,0%
Tefé (Município) (130420)	61.453	61.453	50.069	23.692,220	61.453	50.069	100,0%	100,0%
Boa Vista (Município) (140010)	284.313	284.313	277.799	5.687,040	231.151	224.637	80,9%	81,3%
Abaetetuba (Município) (150010)	141.100	141.100	82.998	1.610,400	141.100	82.998	100,0%	100,0%
Acará (Município) (150020)	53.569	53.569	12.621	4.343,810	53.569	12.621	100,0%	100,0%
Alenquer (Município) (150040)	52.626	52.626	27.722	23.645,450	52.626	27.722	100,0%	100,0%
