Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	7,21	0,00	2,73	0,00	2,73	0,00	493	53,84
Cacoal (Município) (110004)	22,29	0,00	2,66	0,00	0,63	0,13	369	46,73
Jaru (Município) (110011)	9,83	0,00	8,29	0,00	8,10	0,00	193	37,20
Ji-Paraná (Município) (110012)	28,88	0,00	16,44	0,09	3,32	0,00	774	65,95
Porto Velho (Município) (110020)	8,88	0,00	1,88	0,11	5,81	0,00	1.160	26,62
Rolim de Moura (Município) (110028)	88,41	0,00	11,20	0,20	1,77	0,00	490	96,27
Vilhena (Município) (110030)	24,25	0,00	6,16	0,00	0,64	0,00	658	84,43
Cruzeiro do Sul (Município) (120020)	104,45	0,00	1,64	0,00	31,32	0,00	579	73,13
Rio Branco (Município) (120040)	5,23	0,00	5,78	0,56	0,44	0,00	844	24,66
Careiro da Várzea (Município) (130115)	0,41	0,00	0,41	0,00	0,00	0,00	3	1,23
Coari (Município) (130120)	8,74	0,13	1,30	0,00	0,78	0,00	155	20,22
Humaitá (Município) (130170)	11,53	0,00	0,00	0,00	2,22	0,00	151	33,48
Iranduba (Município) (130185)	21,75	0,00	0,73	0,00	0,00	0,00	119	28,76
Itacoatiara (Município) (130190)	20,23	0,00	1,25	0,00	0,34	0,00	365	41,49
Manacapuru (Município) (130250)	14,17	0,00	1,63	0,00	0,23	0,12	314	36,48
Manaus (Município) (130260)	12,72	0,01	10,10	0,17	1,97	0,01	6.975	38,06
Manicoré (Município) (130270)	6,92	0,00	0,00	0,00	0,21	0,00	229	48,00
Maués (Município) (130290)	16,74	0,00	3,76	0,00	0,38	0,00	130	24,45
