Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	29.440	25.239	3,44	3,40	2.339,250	23.099,35	4.426,570	22,88
Cacoal (Município) (110004)	26.205	21.327	3,28	3,17	1.862,780	21.694,83	3.792,950	22,64
Jaru (Município) (110011)	17.233	12.047	3,23	3,12	1.391,220	25.023,37	2.944,130	18,88
Ji-Paraná (Município) (110012)	38.529	35.457	3,32	3,25	3.086,500	24.108,39	6.896,650	18,56
Porto Velho (Município) (110020)	134.873	123.942	3,60	3,57	15.205,970	31.353,04	34.090,960	14,23
Rolim de Moura (Município) (110028)	17.119	14.291	3,23	3,17	1.203,630	21.743,00	1.457,890	37,97
Vilhena (Município) (110030)	25.524	24.569	3,44	3,38	2.614,340	29.800,89	11.699,150	7,50
Cruzeiro do Sul (Município) (120020)	20.801	15.323	3,86	3,70	1.260,420	15.681,31	8.779,400	9,16
Rio Branco (Município) (120040)	105.200	95.494	3,40	3,43	8.847,730	24.770,11	8.834,940	40,43
Careiro da Várzea (Município) (130115)	6.242	291	4,28	3,84	304,650	11.400,65	2.627,470	10,17
Coari (Município) (130120)	16.524	11.692	4,92	4,55	5.924,900	72.854,66	57.970,770	1,40
Humaitá (Município) (130170)	10.688	7.882	4,60	4,30	477,220	9.712,05	33.111,160	1,48
Iranduba (Município) (130185)	10.657	7.647	4,18	4,14	625,730	14.060,40	2.216,820	20,08
Itacoatiara (Município) (130190)	21.611	14.997	4,36	4,21	1.872,380	19.860,22	8.891,910	10,60
Manacapuru (Município) (130250)	19.749	14.583	4,65	4,45	1.598,520	17.414,07	7.336,580	12,51
Manaus (Município) (130260)	528.849	525.156	3,75	3,76	82.958,930	41.852,43	11.401,090	173,86
Manicoré (Município) (130270)	10.379	4.855	4,95	4,58	521,110	10.151,96	48.315,020	1,06
Maués (Município) (130290)	10.886	5.763	5,30	4,95	469,170	8.136,33	39.991,070	1,44
Novo Airão (Município) (130320)	3.447	2.350	4,85	4,59	120,380	7.200,49	37.805,260	0,44
Parintins (Município) (130340)	22.593	16.159	4,83	4,63	1.313,490	12.025,55	5.956,370	18,34
Presidente Figueiredo (Município) (130353)	7.850	3.777	3,95	3,92	938,510	30.296,02	25.412,270	1,22
Rio Preto da Eva (Município) (130356)	6.642	3.236	4,37	4,25	423,960	14.619,89	5.815,620	4,99
Tabatinga (Município) (130406)	10.900	8.568	5,35	4,73	425,230	7.292,04	3.266,060	17,85
Tefé (Município) (130420)	13.222	11.219	4,76	4,57	701,920	11.161,98	23.692,220	2,65
Boa Vista (Município) (140010)	84.558	83.663	3,65	3,61	8.714,900	28.203,93	5.687,040	54,33
Abaetetuba (Município) (150010)	34.610	21.723	4,26	3,99	1.158,580	7.867,20	1.610,400	91,45
Acará (Município) (150020)	13.193	3.443	4,10	3,70	1.132,830	20.966,74	4.343,810	12,44
Alenquer (Município) (150040)	13.517	7.613	4,00	3,74	728,030	13.473,22	23.645,450	2,29
Altamira (Município) (150060)	29.598	25.850	3,55	3,45	4.021,280	38.259,24	159.533,330	0,66
Ananindeua (Município) (150080)	140.337	143.203	3,52	3,44	6.368,860	12.893,05	190,450	2.593,72
Barcarena (Município) (150130)	27.754	10.112	3,96	3,95	3.455,830	31.423,82	1.310,590	83,91
Belém (Município) (150140)	391.103	389.134	3,65	3,63	35.272,610	24.736,71	1.059,460	1.345,90
Benevides (Município) (150150)	15.275	8.639	3,67	3,64	1.197,990	21.349,92	187,830	298,74
Bragança (Município) (150170)	29.284	19.659	4,05	3,87	1.271,580	10.714,53	2.091,930	56,73
Breu Branco (Município) (150178)	13.673	8.041	4,24	4,03	615,660	10.608,88	3.941,910	14,72
Breves (Município) (150180)	19.634	11.036	4,91	4,38	721,840	7.484,58	9.563,010	10,09
Cametá (Município) (150210)	26.344	12.530	4,84	4,44	960,150	7.536,45	3.081,370	41,35
Capanema (Município) (150220)	18.852	15.633	3,47	3,34	1.076,810	16.440,37	614,690	106,55
Capitão Poço (Município) (150230)	14.499	6.545	3,62	3,32	480,670	9.149,25	2.899,550	18,12
Castanhal (Município) (150240)	50.756	46.190	3,62	3,53	3.167,770	17.223,89	1.028,890	178,75
Dom Eliseu (Município) (150293)	14.606	9.739	3,74	3,55	547,520	10.027,51	5.268,820	10,36
Igarapé-Miri (Município) (150330)	13.426	6.657	4,44	4,04	486,790	8.161,58	1.996,790	29,87
Ipixuna do Pará (Município) (150345)	12.708	3.327	4,30	3,91	612,420	11.214,56	5.215,560	10,47
Itaituba (Município) (150360)	26.683	19.640	3,69	3,63	1.515,340	15.405,61	62.042,470	1,59
Itupiranga (Município) (150370)	14.112	5.652	3,66	3,66	496,440	9.600,19	7.880,110	6,56
Jacundá (Município) (150380)	14.065	12.752	3,87	3,79	490,070	9.012,68	2.008,320	27,08
Juruti (Município) (150390)	10.606	3.872	4,85	4,48	1.129,070	21.930,89	8.305,130	6,20
Marabá (Município) (150420)	67.673	55.664	3,72	3,61	7.460,080	29.617,02	15.128,060	16,65
Marituba (Município) (150442)	30.555	30.893	3,85	3,77	1.446,100	12.295,30	103,340	1.138,09
Moju (Município) (150470)	17.475	6.678	4,28	4,02	854,370	11.426,98	9.094,140	8,22
Monte Alegre (Município) (150480)	15.351	7.201	3,66	3,45	722,290	12.864,34	18.152,560	3,09
Novo Repartimento (Município) (150506)	16.963	7.931	3,99	3,84	770,170	11.384,28	15.398,720	4,39
Óbidos (Município) (150510)	12.646	6.925	3,97	3,74	678,830	13.530,27	28.021,440	1,79
Oriximiná (Município) (150530)	15.278	10.058	4,37	4,25	1.981,600	29.655,42	107.603,660	0,62
Paragominas (Município) (150550)	27.874	22.667	3,72	3,58	2.273,180	21.904,90	19.342,250	5,37
Parauapebas (Município) (150553)	47.694	44.414	3,70	3,58	26.252,030	148.667,67	6.886,210	25,64
Portel (Município) (150580)	10.777	5.692	5,20	4,69	593,610	10.582,49	25.384,960	2,21
Redenção (Município) (150613)	22.625	21.433	3,49	3,42	1.424,960	18.035,15	3.823,810	20,66
Rondon do Pará (Município) (150618)	14.002	10.707	3,50	3,38	512,890	10.475,93	8.246,390	5,94
Santa Bárbara do Pará (Município) (150635)	4.982	1.588	3,76	3,76	133,350	7.117,56	278,150	67,36
Santa Izabel do Pará (Município) (150650)	17.064	13.304	3,75	3,48	658,280	10.289,91	717,660	89,14
Santana do Araguaia (Município) (150670)	15.620	8.303	4,04	4,01	669,640	10.623,97	11.591,460	5,44
