Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	5,28	0,00	2,16	0,00	2,26	0,00	339	36,55
Cacoal (Município) (110004)	35,30	0,00	1,76	0,25	0,63	0,00	330	41,60
Jaru (Município) (110011)	19,32	0,00	3,48	0,00	4,06	0,00	190	36,70
Ji-Paraná (Município) (110012)	28,03	0,00	12,02	0,00	2,12	0,00	601	50,89
Porto Velho (Município) (110020)	6,96	0,00	1,13	0,05	5,56	0,00	1.048	23,67
Rolim de Moura (Município) (110028)	124,16	0,00	27,96	0,00	0,39	0,00	327	63,94
Vilhena (Município) (110030)	27,51	0,00	9,17	0,00	0,88	0,00	739	92,82
Cruzeiro do Sul (Município) (120020)	145,70	0,00	0,13	0,00	27,06	0,00	631	79,05
Rio Branco (Município) (120040)	5,63	0,00	1,29	0,78	0,66	0,00	894	25,66
Careiro da Várzea (Município) (130115)	0,00	0,00	0,00	0,00	0,80	0,00	4	1,60
Coari (Município) (130120)	18,76	0,00	0,26	0,13	0,39	0,00	266	34,41
Humaitá (Município) (130170)	14,14	0,00	0,22	0,00	1,31	0,00	180	39,17
Iranduba (Município) (130185)	22,65	0,00	0,00	0,00	0,24	0,00	106	25,27
Itacoatiara (Município) (130190)	23,13	0,00	0,34	0,00	0,11	0,00	316	35,48
Manacapuru (Município) (130250)	18,51	0,00	0,80	0,00	0,00	0,00	292	33,57
Manaus (Município) (130260)	12,24	0,00	1,09	0,11	1,22	0,00	7.749	41,62
Manicoré (Município) (130270)	10,96	0,00	0,21	0,00	0,00	0,00	66	13,64
Maués (Município) (130290)	12,20	0,00	0,00	0,00	0,37	0,00	182	33,65
Novo Airão (Município) (130320)	22,60	0,00	0,00	0,00	1,29	0,00	27	17,43
Parintins (Município) (130340)	13,29	0,00	0,00	0,10	0,00	0,00	237	22,83
Presidente Figueiredo (Município) (130353)	23,04	0,00	1,05	0,00	2,79	0,00	194	67,71
Rio Preto da Eva (Município) (130356)	3,71	0,00	0,00	0,00	0,00	0,00	104	38,59
Tabatinga (Município) (130406)	1,47	0,00	0,73	0,00	1,47	0,00	66	12,12
Tefé (Município) (130420)	21,64	0,00	0,49	0,00	0,98	0,00	170	27,87
Boa Vista (Município) (140010)	10,98	0,00	3,00	0,00	4,75	0,00	1.315	44,28
Abaetetuba (Município) (150010)	118,20	0,00	16,55	0,14	0,69	0,00	810	56,09
Acará (Município) (150020)	60,24	0,00	2,05	0,00	0,56	0,00	238	44,25
Alenquer (Município) (150040)	161,89	0,00	0,19	0,00	1,12	0,00	759	142,22
Altamira (Município) (150060)	177,44	0,00	44,56	0,00	3,13	0,00	1.951	190,63
Ananindeua (Município) (150080)	65,46	0,00	9,53	0,04	0,08	0,00	3.834	79,24
Barcarena (Município) (150130)	38,15	0,00	8,54	0,00	0,28	0,00	698	66,23
Belém (Município) (150140)	35,75	0,00	1,46	0,14	0,13	0,00	5.045	35,77
Benevides (Município) (150150)	41,05	0,00	2,22	0,00	0,00	0,00	139	25,70
Bragança (Município) (150170)	103,99	0,00	14,12	0,17	0,00	0,00	1.698	146,17
Breu Branco (Município) (150178)	26,48	0,00	0,72	0,00	1,44	0,00	91	16,39
Breves (Município) (150180)	31,86	0,00	2,22	0,53	1,06	0,00	488	51,49
Cametá (Município) (150210)	49,92	0,00	6,75	0,00	3,86	0,00	498	40,03
Capanema (Município) (150220)	61,12	0,00	9,44	0,00	0,00	0,00	612	94,70
Capitão Poço (Município) (150230)	271,77	0,00	3,26	0,00	0,38	0,00	348	66,65
Castanhal (Município) (150240)	11,45	0,00	2,35	0,22	0,00	0,00	548	30,62
Dom Eliseu (Município) (150293)	137,66	0,00	8,47	0,00	0,00	0,00	279	52,54
Igarapé-Miri (Município) (150330)	164,50	0,00	1,87	0,00	1,19	0,00	574	97,45
Ipixuna do Pará (Município) (150345)	113,83	0,00	0,78	0,00	0,39	0,00	368	71,36
Itaituba (Município) (150360)	75,07	0,00	5,31	0,20	11,44	0,00	915	93,46
Itupiranga (Município) (150370)	29,34	0,00	5,83	0,00	0,19	0,00	88	17,10
Jacundá (Município) (150380)	184,55	0,00	42,08	0,00	9,44	0,00	89	16,79
Juruti (Município) (150390)	16,17	0,00	3,64	0,00	0,00	0,00	75	15,16
Marabá (Município) (150420)	7,39	0,00	0,53	0,00	0,21	0,00	477	19,58
Marituba (Município) (150442)	18,97	0,00	4,15	0,18	0,18	0,00	660	58,23
Moju (Município) (150470)	27,55	0,00	1,38	0,14	0,00	0,00	267	36,78
Monte Alegre (Município) (150480)	67,20	0,00	10,93	0,54	0,72	0,00	327	58,60
Novo Repartimento (Município) (150506)	26,88	0,00	0,92	0,00	0,46	0,00	131	20,12
Óbidos (Município) (150510)	147,30	0,00	0,20	0,40	0,20	0,00	508	102,08
Oriximiná (Município) (150530)	38,17	0,00	12,16	0,46	0,00	0,00	281	43,25
Paragominas (Município) (150550)	9,70	0,00	0,89	0,00	0,10	0,00	293	29,00
Parauapebas (Município) (150553)	4,27	0,00	1,68	0,00	0,18	0,00	392	23,57
Portel (Município) (150580)	36,28	0,00	1,10	0,18	0,37	0,18	167	30,75
Redenção (Município) (150613)	29,06	0,00	7,49	0,00	0,52	0,00	481	62,13
