Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	91.570	91.570	77.556	4.426,570	91.570	77.556	100,0%	100,0%
Cacoal (Município) (110004)	78.959	78.959	62.224	3.792,950	42.459	25.724	41,3%	53,8%
Jaru (Município) (110011)	51.883	51.883	35.036	2.944,130	51.883	35.036	100,0%	100,0%
Ji-Paraná (Município) (110012)	117.363	117.363	105.535	6.896,650	117.363	105.535	100,0%	100,0%
Porto Velho (Município) (110020)	435.732	435.732	397.303	34.090,960	423.906	385.477	97,0%	97,3%
Rolim de Moura (Município) (110028)	50.899	50.899	41.634	1.457,890	50.899	41.634	100,0%	100,0%
Vilhena (Município) (110030)	77.937	77.937	73.862	11.699,150	77.937	73.862	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	79.174	79.174	55.796	8.779,400	79.174	55.796	100,0%	100,0%
Rio Branco (Município) (120040)	342.299	342.299	314.294	8.834,940	274.299	246.294	78,4%	80,1%
Careiro da Várzea (Município) (130115)	24.442	24.442	1.021	2.627,470	24.442	1.021	100,0%	100,0%
Coari (Município) (130120)	76.646	76.646	50.096	57.970,770	-	-	-	-
Humaitá (Município) (130170)	45.105	45.105	31.107	33.111,160	45.105	31.107	100,0%	100,0%
Iranduba (Município) (130185)	41.374	41.374	29.400	2.216,820	41.374	29.400	100,0%	100,0%
Itacoatiara (Município) (130190)	87.970	87.970	58.914	8.891,910	87.970	58.914	100,0%	100,0%
Manacapuru (Município) (130250)	86.078	86.078	60.836	7.336,580	86.078	60.836	100,0%	100,0%
Manaus (Município) (130260)	1.832.424	1.832.424	1.823.137	11.401,090	1.340.575	1.331.288	73,0%	73,2%
Manicoré (Município) (130270)	47.707	47.707	20.648	48.315,020	47.707	20.648	100,0%	100,0%
Maués (Município) (130290)	53.173	53.173	26.295	39.991,070	53.173	26.295	100,0%	100,0%
Novo Airão (Município) (130320)	15.113	15.113	9.751	37.805,260	15.113	9.751	100,0%	100,0%
Parintins (Município) (130340)	102.946	102.946	70.515	5.956,370	-	-	-	-
Presidente Figueiredo (Município) (130353)	27.926	27.926	13.360	25.412,270	-	-	-	-
Rio Preto da Eva (Município) (130356)	26.344	26.344	12.502	5.815,620	-	-	-	-
Tabatinga (Município) (130406)	53.374	53.374	37.121	3.266,060	53.374	37.121	100,0%	100,0%
Tefé (Município) (130420)	61.223	61.223	49.882	23.692,220	-	-	-	-
Boa Vista (Município) (140010)	290.741	290.741	284.080	5.687,040	205.517	198.856	70,0%	70,7%
Abaetetuba (Município) (150010)	142.785	142.785	83.989	1.610,400	142.785	83.989	100,0%	100,0%
Acará (Município) (150020)	53.680	53.680	12.647	4.343,810	53.680	12.647	100,0%	100,0%
Alenquer (Município) (150040)	53.004	53.004	27.921	23.645,450	53.004	27.921	100,0%	100,0%
Altamira (Município) (150060)	100.736	100.736	85.502	159.533,330	100.736	85.502	100,0%	100,0%
Ananindeua (Município) (150080)	477.999	477.999	476.823	190,450	477.999	476.823	100,0%	100,0%
Barcarena (Município) (150130)	102.668	102.668	37.318	1.310,590	-	-	-	-
Belém (Município) (150140)	1.402.056	1.402.056	1.390.058	1.059,460	1.289.188	1.277.190	91,9%	91,9%
Benevides (Município) (150150)	52.888	52.888	29.604	187,830	-	-	-	-
Bragança (Município) (150170)	114.720	114.720	73.579	2.091,930	114.720	73.579	100,0%	100,0%
Breu Branco (Município) (150178)	54.032	54.032	30.167	3.941,910	54.032	30.167	100,0%	100,0%
Breves (Município) (150180)	93.835	93.835	47.049	9.563,010	93.835	47.049	100,0%	100,0%
Cametá (Município) (150210)	122.683	122.683	53.619	3.081,370	122.683	53.619	100,0%	100,0%
Capanema (Município) (150220)	64.140	64.140	51.131	614,690	64.140	51.131	100,0%	100,0%
Capitão Poço (Município) (150230)	52.057	52.057	21.509	2.899,550	52.057	21.509	100,0%	100,0%
Castanhal (Município) (150240)	176.116	176.116	156.006	1.028,890	176.116	156.006	100,0%	100,0%
Dom Eliseu (Município) (150293)	52.224	52.224	33.089	5.268,820	52.224	33.089	100,0%	100,0%
Igarapé-Miri (Município) (150330)	58.498	58.498	26.395	1.996,790	58.498	26.395	100,0%	100,0%
Ipixuna do Pará (Município) (150345)	53.318	53.318	12.706	5.215,560	-	-	-	-
Itaituba (Município) (150360)	97.704	97.704	70.835	62.042,470	97.704	70.835	100,0%	100,0%
Itupiranga (Município) (150370)	51.341	51.341	20.538	7.880,110	51.341	20.538	100,0%	100,0%
Jacundá (Município) (150380)	52.191	52.191	46.422	2.008,320	52.191	46.422	100,0%	100,0%
Juruti (Município) (150390)	48.306	48.306	16.263	8.305,130	48.306	16.263	100,0%	100,0%
Marabá (Município) (150420)	238.708	238.708	190.287	15.128,060	238.708	190.287	100,0%	100,0%
Marituba (Município) (150442)	110.842	110.842	109.692	103,340	110.842	109.692	100,0%	100,0%
Moju (Município) (150470)	71.329	71.329	25.633	9.094,140	71.329	25.633	100,0%	100,0%
Monte Alegre (Município) (150480)	55.636	55.636	24.642	18.152,560	55.636	24.642	100,0%	100,0%
