"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";4;11;6;2;3;1;2;2;2;-;-;-;33
"150013 Abel Figueiredo";1;3;5;3;3;-;-;1;-;1;1;-;18
"150020 Acará";1;-;2;1;1;-;-;1;1;-;3;5;15
"150034 Água Azul do Norte";-;-;2;7;4;-;-;-;1;-;-;-;14
"150040 Alenquer";2;1;-;1;1;-;-;-;-;-;-;-;5
"150050 Almeirim";-;-;-;-;-;-;1;-;-;-;-;-;1
"150060 Altamira";64;79;57;23;10;5;5;3;1;10;6;6;269
"150070 Anajás";-;-;1;11;-;-;-;-;-;-;-;-;12
"150080 Ananindeua";16;39;54;47;11;5;2;2;5;1;3;1;186
"150085 Anapu";2;-;42;19;2;1;2;3;3;13;24;6;117
"150090 Augusto Corrêa";1;1;1;4;-;-;-;1;-;-;-;-;8
"150095 Aurora do Pará";-;-;-;1;-;-;-;-;-;-;-;-;1
"150110 Bagre";-;-;-;-;-;1;-;-;-;-;-;-;1
"150120 Baião";-;-;1;-;-;-;-;1;-;-;-;1;3
"150125 Bannach";1;2;3;19;19;2;-;-;-;-;-;-;46
"150130 Barcarena";13;8;6;12;3;-;-;-;-;1;-;-;43
"150140 Belém";76;93;85;73;28;11;13;25;9;10;6;8;437
"150145 Belterra";14;11;18;5;-;-;-;-;-;-;-;-;48
"150150 Benevides";3;14;19;5;3;1;-;1;3;-;-;2;51
"150157 Bom Jesus do Tocantins";2;-;-;-;-;-;-;-;-;-;-;-;2
"150160 Bonito";-;-;-;-;-;-;-;-;1;2;-;-;3
"150170 Bragança";2;4;3;5;2;1;1;-;1;-;-;-;19
"150172 Brasil Novo";1;3;16;65;17;7;1;-;-;-;2;1;113
"150175 Brejo Grande do Araguaia";-;-;-;2;1;3;-;-;-;-;-;-;6
"150178 Breu Branco";-;2;5;8;10;1;-;-;-;-;-;-;26
"150180 Breves";-;8;4;1;-;-;5;-;-;2;2;-;22
