"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";-;-;1;2;3;1;1;2;1;-;-;1;12
"150013 Abel Figueiredo";-;-;3;4;1;-;1;1;-;-;-;2;12
"150020 Acará";11;12;16;4;6;4;4;1;3;1;-;1;63
"150034 Água Azul do Norte";1;1;-;-;1;-;-;-;-;-;-;-;3
"150040 Alenquer";1;-;-;-;1;-;-;-;-;1;-;-;3
"150050 Almeirim";-;-;1;38;62;25;6;2;-;-;-;-;134
"150060 Altamira";16;21;31;69;21;21;11;17;15;11;6;23;262
"150080 Ananindeua";1;1;4;2;-;4;4;11;8;15;12;6;68
"150085 Anapu";44;121;33;19;12;7;3;-;3;-;-;4;246
"150090 Augusto Corrêa";-;1;-;1;1;-;-;-;-;-;-;-;3
"150095 Aurora do Pará";-;-;-;-;-;2;-;-;1;1;3;-;7
"150120 Baião";-;-;-;-;-;1;-;-;-;-;-;-;1
"150125 Bannach";-;3;17;2;3;-;-;-;-;-;-;-;25
"150130 Barcarena";-;2;1;-;-;-;1;-;-;1;1;-;6
"150140 Belém";22;13;24;40;50;49;48;57;47;53;54;34;491
"150150 Benevides";-;-;-;2;-;-;-;-;-;1;2;1;6
"150170 Bragança";1;3;-;1;-;1;-;-;2;-;1;-;9
"150172 Brasil Novo";2;8;35;11;13;1;-;1;-;1;-;2;74
"150175 Brejo Grande do Araguaia";3;5;4;2;1;1;-;-;-;-;1;1;18
"150178 Breu Branco";1;-;-;-;-;-;-;-;-;-;-;-;1
"150180 Breves";-;-;4;-;-;1;-;-;-;-;1;-;6
"150195 Cachoeira do Piriá";8;4;3;2;1;-;-;-;-;-;-;1;19
"150210 Cametá";4;-;1;-;1;4;2;1;1;1;2;1;18
"150215 Canaã dos Carajás";-;4;3;1;2;2;-;-;1;2;-;-;15
"150220 Capanema";-;2;1;6;2;1;-;-;-;-;-;-;12
"150230 Capitão Poço";-;-;-;1;1;-;-;-;2;1;-;-;5
"150240 Castanhal";1;2;1;1;1;1;-;-;1;5;6;1;20
"150260 Colares";-;-;-;-;-;-;-;-;1;-;-;-;1
"150270 Conceição do Araguaia";3;1;2;-;-;1;-;1;1;-;2;-;11
"150275 Concórdia do Pará";-;2;1;-;1;-;-;-;-;-;-;-;4
"150276 Cumaru do Norte";2;2;-;-;-;-;-;-;-;-;-;-;4
