"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";3;8;19;28;6;2;1;2;3;7;7;-;86
"150013 Abel Figueiredo";5;-;-;2;-;-;-;-;-;-;-;-;7
"150020 Acará";-;-;7;10;2;-;-;-;-;1;-;-;20
"150030 Afuá";-;-;-;-;-;-;1;1;-;1;1;1;5
"150034 Água Azul do Norte";12;5;13;23;7;-;-;-;1;1;2;1;65
"150040 Alenquer";2;11;15;18;6;-;1;-;-;-;-;-;53
"150050 Almeirim";-;-;-;-;1;-;-;-;-;-;-;-;1
"150060 Altamira";2;3;4;9;4;-;1;-;-;-;1;1;25
"150080 Ananindeua";25;14;17;11;3;-;3;3;4;12;20;28;140
"150085 Anapu";1;-;-;2;5;2;-;-;-;-;-;-;10
"150090 Augusto Corrêa";1;-;4;1;2;1;-;-;1;1;2;3;16
"150095 Aurora do Pará";3;-;-;4;1;9;1;2;2;4;5;1;32
"150100 Aveiro";3;1;-;1;-;-;-;-;-;-;-;-;5
"150110 Bagre";-;1;-;-;1;-;-;-;-;-;-;-;2
"150120 Baião";1;5;8;4;1;-;1;-;-;-;-;-;20
"150125 Bannach";36;17;5;15;-;-;2;3;3;31;2;3;117
"150130 Barcarena";5;2;1;11;16;3;2;1;1;1;2;1;46
"150140 Belém";242;224;258;262;80;35;15;22;41;78;88;75;1420
"150145 Belterra";1;3;25;23;60;13;3;1;-;3;9;16;157
"150150 Benevides";10;6;7;9;3;3;-;3;1;3;4;3;52
"150157 Bom Jesus do Tocantins";16;25;18;13;4;7;-;-;-;-;3;-;86
"150160 Bonito";-;1;2;1;1;-;1;-;-;-;-;-;6
"150170 Bragança";5;14;10;16;8;10;1;3;3;10;8;9;97
"150175 Brejo Grande do Araguaia";3;1;1;1;-;-;-;-;-;3;5;-;14
"150178 Breu Branco";56;36;6;19;4;1;-;-;2;-;-;17;141
"150180 Breves";2;2;3;4;1;1;-;-;-;-;-;-;13
"150190 Bujaru";1;4;2;1;2;2;2;3;9;3;3;2;34
"150200 Cachoeira do Arari";-;-;-;1;-;-;-;-;-;-;-;-;1
"150195 Cachoeira do Piriá";1;10;-;-;-;1;-;-;-;2;1;-;15
"150210 Cametá";20;17;20;18;11;9;3;-;1;-;-;3;102
"150215 Canaã dos Carajás";13;15;16;14;-;-;-;-;-;1;1;-;60
"150220 Capanema";5;13;14;13;7;1;-;-;1;-;-;-;54
"150230 Capitão Poço";1;3;1;2;6;3;-;-;1;2;-;2;21
"150240 Castanhal";25;44;44;51;10;8;9;2;7;13;7;9;229
"150260 Colares";-;1;-;-;-;-;-;-;-;-;-;-;1
"150270 Conceição do Araguaia";467;366;347;131;44;13;4;2;1;2;9;44;1430
"150275 Concórdia do Pará";1;-;3;-;-;1;1;4;-;3;5;1;19
"150276 Cumaru do Norte";22;16;-;-;3;-;-;-;-;1;3;5;50
"150277 Curionópolis";13;9;19;1;6;5;-;-;1;-;-;3;57
"150280 Curralinho";-;-;-;-;-;1;-;-;-;-;-;-;1
"150285 Curuá";-;1;-;-;-;-;-;-;-;-;-;-;1
"150290 Curuçá";1;1;-;2;-;1;1;-;-;-;-;1;7
"150293 Dom Eliseu";13;14;32;46;27;19;13;4;1;2;-;-;171
"150295 Eldorado do Carajás";25;22;20;7;9;1;2;-;-;-;-;4;90
"150304 Floresta do Araguaia";87;8;2;1;-;-;-;-;-;-;1;5;104
"150307 Garrafão do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"150309 Goianésia do Pará";20;35;12;4;5;1;-;-;1;1;-;1;80
"150310 Gurupá";-;-;-;-;-;-;-;1;-;-;-;-;1
"150320 Igarapé-Açu";9;11;3;6;-;-;-;-;-;-;-;-;29
"150330 Igarapé-Miri";-;-;-;1;-;-;-;1;-;-;-;-;2
"150340 Inhangapi";1;-;-;-;1;-;-;-;1;1;-;-;4
"150345 Ipixuna do Pará";-;1;2;2;1;-;-;-;-;-;-;-;6
"150350 Irituia";-;6;6;-;2;19;5;1;-;-;-;1;40
"150360 Itaituba";117;115;41;4;2;-;1;1;2;2;7;14;306
"150370 Itupiranga";3;-;8;8;-;-;-;-;-;-;-;1;20
"150375 Jacareacanga";-;-;1;-;3;-;-;-;-;-;-;-;4
"150380 Jacundá";83;27;10;5;4;4;2;2;1;1;6;19;164
"150390 Juruti";1;2;66;114;13;5;13;2;-;-;-;-;216
"150400 Limoeiro do Ajuru";-;-;-;6;2;-;1;-;-;-;-;-;9
"150405 Mãe do Rio";1;1;13;16;5;-;1;2;2;4;7;11;63
"150410 Magalhães Barata";2;-;12;9;1;-;-;-;-;-;-;-;24
"150420 Marabá";143;102;66;171;21;45;28;5;5;1;4;20;611
"150430 Maracanã";10;10;7;2;1;1;-;-;1;-;-;2;34
"150440 Marapanim";2;4;2;6;-;3;-;-;-;-;-;-;17
