"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";90;53;25;15;7;5;-;5;9;1;3;9;222
"150013 Abel Figueiredo";2;-;1;2;1;1;-;1;3;1;5;9;26
"150020 Acará";18;14;6;8;1;-;-;-;-;-;1;6;54
"150030 Afuá";-;1;-;-;-;-;-;-;-;-;-;-;1
"150034 Água Azul do Norte";4;7;21;17;5;1;-;-;-;2;4;-;61
"150040 Alenquer";5;8;-;6;2;-;-;-;-;1;-;3;25
"150050 Almeirim";1;-;-;-;-;-;-;-;-;-;-;-;1
"150060 Altamira";293;359;250;125;84;31;32;30;38;26;13;12;1293
"150080 Ananindeua";47;53;45;24;24;10;9;18;31;35;53;4;353
"150085 Anapu";3;5;1;4;-;1;-;-;1;-;-;-;15
"150090 Augusto Corrêa";2;9;16;1;-;-;-;1;-;3;-;-;32
"150095 Aurora do Pará";1;2;12;3;1;-;-;-;-;1;-;-;20
"150100 Aveiro";-;1;-;-;-;-;-;-;-;-;-;-;1
"150110 Bagre";-;-;-;1;2;-;-;1;-;-;-;-;4
"150120 Baião";-;-;3;1;-;1;-;-;-;-;-;-;5
"150125 Bannach";2;4;3;-;1;-;-;-;-;-;-;-;10
"150130 Barcarena";23;21;9;7;1;3;-;8;21;25;4;3;125
"150140 Belém";278;300;278;157;117;60;59;69;92;114;100;57;1681
"150145 Belterra";22;8;12;12;1;-;-;-;-;-;-;-;55
"150150 Benevides";21;5;10;9;5;2;4;1;3;8;2;6;76
"150157 Bom Jesus do Tocantins";5;10;7;1;-;-;-;-;-;-;-;-;23
"150170 Bragança";17;29;17;8;3;3;3;9;5;2;2;1;99
"150172 Brasil Novo";31;32;-;11;7;-;1;-;2;1;-;1;86
"150175 Brejo Grande do Araguaia";7;1;1;2;-;-;-;-;-;-;-;-;11
"150178 Breu Branco";25;82;73;30;-;1;-;1;4;-;-;8;224
"150180 Breves";-;2;1;2;1;2;1;2;2;1;-;-;14
"150190 Bujaru";1;-;3;-;-;-;-;-;-;-;-;-;4
"150195 Cachoeira do Piriá";7;19;16;3;1;-;-;-;-;1;-;-;47
"150210 Cametá";45;45;14;3;5;1;-;23;8;3;2;12;161
"150215 Canaã dos Carajás";31;9;14;6;-;1;-;-;-;-;-;-;61
"150220 Capanema";1;25;14;8;5;-;2;2;4;9;-;-;70
"150230 Capitão Poço";2;2;3;5;8;-;-;2;-;-;-;-;22
"150240 Castanhal";41;20;13;12;11;3;5;2;7;13;8;4;139
"150260 Colares";1;-;-;-;-;-;-;-;-;-;-;-;1
"150270 Conceição do Araguaia";25;67;80;34;11;4;-;1;-;-;-;-;222
"150275 Concórdia do Pará";8;29;16;3;-;-;-;-;-;-;1;-;57
"150276 Cumaru do Norte";3;8;2;5;2;-;-;-;-;-;-;1;21
"150277 Curionópolis";4;17;30;18;6;-;-;1;-;-;1;-;77
"150285 Curuá";-;-;-;1;-;-;-;-;-;-;-;-;1
"150290 Curuçá";3;-;-;-;-;-;-;1;-;4;-;-;8
"150293 Dom Eliseu";12;30;24;6;6;1;1;2;1;-;-;1;84
"150295 Eldorado do Carajás";4;13;43;29;5;-;-;-;5;-;1;-;100
"150304 Floresta do Araguaia";8;16;15;11;4;-;-;-;-;-;2;-;56
"150307 Garrafão do Norte";-;1;4;-;-;1;1;-;-;-;-;-;7
"150309 Goianésia do Pará";21;55;6;3;-;-;-;-;1;-;-;-;86
"150310 Gurupá";-;-;-;-;-;5;2;-;-;-;-;-;7
"150320 Igarapé-Açu";7;18;4;4;2;1;4;-;-;4;3;1;48
"150330 Igarapé-Miri";8;7;5;-;-;-;-;1;1;1;-;2;25
"150340 Inhangapi";2;3;2;-;-;-;-;-;1;2;-;-;10
"150345 Ipixuna do Pará";25;44;22;21;2;2;1;1;-;-;3;2;123
"150350 Irituia";1;7;7;2;-;-;-;-;-;1;-;-;18
"150360 Itaituba";120;160;78;18;11;7;11;6;3;-;1;4;419
"150370 Itupiranga";27;86;31;6;-;-;-;-;-;-;1;6;157
"150380 Jacundá";32;82;116;34;9;4;-;1;-;1;-;1;280
"150390 Juruti";26;54;49;9;3;4;1;-;-;-;-;-;146
"150400 Limoeiro do Ajuru";-;3;3;3;1;2;-;-;-;-;-;-;12
"150405 Mãe do Rio";-;3;-;1;1;-;-;-;-;-;-;-;5
"150410 Magalhães Barata";-;1;-;1;-;-;-;-;-;-;-;-;2
"150420 Marabá";194;135;101;30;2;4;6;5;15;8;3;15;518
"150430 Maracanã";7;1;9;2;1;1;-;-;-;-;1;-;22
"150440 Marapanim";-;-;7;3;1;1;1;-;-;-;-;-;13
"150442 Marituba";87;124;53;46;19;13;12;20;27;28;47;23;499
"150445 Medicilândia";7;2;1;-;3;-;1;-;-;5;4;-;23
"150460 Mocajuba";-;-;1;-;-;-;-;-;-;-;-;-;1
"150470 Moju";11;18;16;9;4;-;-;-;4;8;7;-;77
"150480 Monte Alegre";71;176;33;-;-;-;-;-;-;-;-;3;283
"150495 Nova Esperança do Piriá";-;-;-;1;1;1;-;1;-;-;-;-;4
"150497 Nova Ipixuna";57;25;4;2;1;-;-;1;2;-;1;1;94
"150500 Nova Timboteua";1;-;-;1;-;-;-;-;-;-;-;-;2
"150503 Novo Progresso";262;51;21;12;9;-;-;-;1;3;-;67;426
"150506 Novo Repartimento";57;94;77;17;14;4;-;3;2;3;17;14;302
"150510 Óbidos";2;1;3;-;-;2;-;1;-;-;-;-;9
"150520 Oeiras do Pará";-;-;1;-;-;-;-;-;-;-;-;1;2
"150530 Oriximiná";15;81;73;14;7;4;2;-;-;-;1;1;198
"150540 Ourém";-;-;1;1;-;-;1;-;-;-;-;-;3
"150543 Ourilândia do Norte";4;27;47;11;11;8;2;2;6;5;19;42;184
"150548 Pacajá";37;32;50;104;35;4;-;-;-;-;-;3;265
"150549 Palestina do Pará";-;3;14;5;1;-;-;-;-;-;-;2;25
"150550 Paragominas";102;111;41;52;19;7;5;11;13;7;15;29;412
"150553 Parauapebas";203;192;119;49;17;4;5;1;9;21;57;4;681
"150555 Pau D'Arco";5;8;7;4;19;-;-;-;1;-;-;-;44
"150560 Peixe-Boi";-;4;18;6;-;-;-;2;-;1;-;-;31
"150563 Piçarra";7;6;3;2;-;-;-;-;-;-;4;4;26
"150565 Placas";2;3;3;6;1;5;8;4;2;-;-;-;34
"150570 Ponta de Pedras";2;5;2;2;3;-;-;-;-;1;-;-;15
"150580 Portel";12;14;3;3;-;-;-;1;-;1;-;1;35
"150590 Porto de Moz";1;-;-;-;-;-;-;-;-;-;-;-;1
"150600 Prainha";17;4;1;-;-;-;-;-;-;-;-;8;30
"150610 Primavera";-;-;-;-;-;-;-;1;12;5;-;-;18
"150613 Redenção";34;48;44;48;10;5;4;1;1;3;8;6;212
"150616 Rio Maria";17;27;4;5;4;1;1;-;-;-;-;4;63
"150618 Rondon do Pará";15;20;36;14;14;12;1;-;3;-;-;-;115
"150619 Rurópolis";8;13;8;7;-;-;-;-;-;-;-;2;38
"150620 Salinópolis";48;38;68;28;16;7;10;10;9;4;-;4;242
"150630 Salvaterra";1;1;-;-;-;-;-;-;1;2;6;-;11
"150635 Santa Bárbara do Pará";15;14;15;12;1;2;2;-;1;1;2;2;67
"150650 Santa Izabel do Pará";7;12;26;5;3;3;2;3;1;1;2;1;66
"150655 Santa Luzia do Pará";5;4;7;-;1;-;-;-;-;-;-;-;17
"150658 Santa Maria das Barreiras";6;57;37;14;-;-;-;-;-;-;-;-;114
"150660 Santa Maria do Pará";1;13;3;3;1;1;-;-;-;-;3;-;25
"150670 Santana do Araguaia";-;4;12;9;-;-;-;-;1;-;-;-;26
"150680 Santarém";289;340;215;241;119;17;9;10;10;2;10;21;1283
"150690 Santarém Novo";39;12;11;10;11;5;-;3;2;8;-;-;101
"150700 Santo Antônio do Tauá";2;2;-;1;1;-;-;-;-;2;-;-;8
"150710 São Caetano de Odivelas";2;-;-;1;-;-;-;-;-;2;1;-;6
"150715 São Domingos do Araguaia";46;30;16;19;-;-;-;-;-;-;-;3;114
"150720 São Domingos do Capim";4;4;10;2;-;-;-;-;-;-;-;-;20
"150730 São Félix do Xingu";152;110;101;26;14;3;-;-;2;-;3;25;436
"150740 São Francisco do Pará";-;-;-;-;-;-;-;2;3;-;-;-;5
"150745 São Geraldo do Araguaia";42;43;46;12;11;6;-;-;-;-;1;-;161
"150746 São João da Ponta";-;-;-;-;-;-;-;-;-;1;-;-;1
