"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"170025 Abreulândia";1;1;1;1;-;-;-;-;-;-;-;1;5
"170030 Aguiarnópolis";-;-;1;-;-;1;-;-;-;-;-;-;2
"170040 Almas";-;-;1;-;-;-;-;1;-;-;2;-;4
"170070 Alvorada";-;1;2;4;2;-;-;-;-;-;-;-;9
"170100 Ananás";1;2;3;6;11;-;-;-;-;-;-;-;23
"170110 Aparecida do Rio Negro";1;-;1;-;1;-;-;-;-;1;3;5;12
"170200 Araguaçu";1;-;8;2;3;1;-;-;-;-;-;-;15
"170210 Araguaína";77;38;50;91;34;27;9;25;14;20;9;18;412
"170215 Araguanã";1;1;1;4;1;-;-;-;-;-;-;2;10
"170220 Araguatins";5;8;3;13;-;-;-;-;-;2;4;1;36
"170230 Arapoema";1;-;-;-;2;-;1;-;-;-;1;-;5
"170240 Arraias";1;3;6;4;1;2;-;-;-;2;-;-;19
"170255 Augustinópolis";-;-;-;-;-;-;-;-;-;1;-;-;1
"170290 Axixá do Tocantins";1;-;-;2;2;-;-;-;-;-;-;-;5
"170300 Babaçulândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"170305 Bandeirantes do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;1;1;-;-;-;-;-;-;-;-;2
"170310 Barrolândia";-;-;1;-;1;-;-;-;-;-;2;2;6
"170320 Bernardo Sayão";-;1;-;-;4;-;-;-;-;-;-;1;6
"170330 Bom Jesus do Tocantins";-;-;-;1;-;-;-;-;-;-;1;-;2
"170370 Brejinho de Nazaré";1;-;-;-;-;-;-;-;-;-;2;-;3
"170380 Buriti do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"170384 Campos Lindos";-;-;-;2;1;-;-;-;-;-;5;10;18
"170386 Cariri do Tocantins";1;2;3;25;11;1;-;-;-;-;1;-;44
"170388 Carmolândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"170389 Carrasco Bonito";1;-;-;-;-;-;-;-;-;-;-;-;1
"170390 Caseara";-;1;-;-;-;-;1;-;-;-;-;1;3
"170510 Chapada da Natividade";1;-;-;3;6;-;-;-;-;1;-;4;15
"170550 Colinas do Tocantins";-;3;1;2;-;2;1;-;-;-;-;1;10
"171670 Colméia";-;1;1;1;2;-;-;-;-;-;3;1;9
"170555 Combinado";5;7;6;1;2;5;-;-;-;-;-;-;26
"170560 Conceição do Tocantins";-;1;-;-;-;-;-;-;1;-;-;-;2
"170600 Couto Magalhães";-;-;-;1;-;-;-;-;-;1;1;-;3
