"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"170025 Abreulândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"170030 Aguiarnópolis";-;1;3;12;3;4;4;2;-;-;2;-;31
"170035 Aliança do Tocantins";3;2;6;3;1;-;-;-;-;-;-;-;15
"170040 Almas";1;7;16;36;5;1;1;-;1;-;11;2;81
"170070 Alvorada";3;4;-;1;-;-;-;-;-;-;-;-;8
"170100 Ananás";-;-;-;1;1;-;-;-;-;-;-;-;2
"170105 Angico";-;-;-;-;-;-;-;-;-;-;1;-;1
"170110 Aparecida do Rio Negro";13;4;2;-;-;-;-;2;-;-;-;3;24
"170130 Aragominas";-;-;1;1;1;2;-;-;-;-;1;-;6
"170190 Araguacema";-;2;-;1;-;1;-;-;-;-;-;-;4
"170200 Araguaçu";76;49;83;77;54;11;1;-;-;6;34;14;405
"170210 Araguaína";14;7;14;19;14;17;3;6;4;6;18;35;157
"170220 Araguatins";-;-;1;-;1;-;-;-;-;-;-;2;4
"170230 Arapoema";58;17;7;-;-;-;1;2;-;-;-;8;93
"170240 Arraias";24;24;32;23;35;19;1;5;1;-;-;4;168
"170255 Augustinópolis";2;5;5;2;1;3;-;-;-;-;-;-;18
"170270 Aurora do Tocantins";8;13;5;2;1;-;-;-;-;-;-;-;29
"170290 Axixá do Tocantins";2;2;2;-;-;-;-;-;-;-;-;-;6
"170310 Barrolândia";-;-;1;5;-;-;-;-;-;-;-;-;6
"170320 Bernardo Sayão";-;8;19;1;-;-;-;-;2;-;-;-;30
"170330 Bom Jesus do Tocantins";-;-;-;1;2;-;-;-;-;-;-;-;3
"170360 Brasilândia do Tocantins";-;12;10;10;10;8;1;-;-;-;-;1;52
"170370 Brejinho de Nazaré";2;2;1;-;-;1;-;-;-;-;-;-;6
"170380 Buriti do Tocantins";1;-;1;-;-;-;-;-;-;-;-;-;2
"170382 Cachoeirinha";-;-;-;-;-;-;-;-;-;-;-;1;1
"170384 Campos Lindos";18;10;10;5;6;2;-;-;-;-;1;2;54
"170386 Cariri do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"170388 Carmolândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"170389 Carrasco Bonito";-;-;-;-;-;-;-;-;1;-;-;-;1
"170390 Caseara";-;-;1;-;-;-;-;-;-;-;-;-;1
"170410 Centenário";2;-;1;8;1;6;-;-;-;-;-;-;18
"170460 Chapada de Areia";1;1;1;-;-;-;-;-;-;-;-;1;4
"170550 Colinas do Tocantins";16;40;73;70;48;7;2;3;1;1;-;4;265
"171670 Colméia";1;-;-;-;1;-;1;-;-;-;-;-;3
"170555 Combinado";-;2;10;6;3;-;-;-;-;-;-;-;21
"170600 Couto Magalhães";-;-;-;-;1;-;-;-;-;-;-;-;1
"170610 Cristalândia";-;3;7;12;6;3;-;-;-;-;1;-;32
"170625 Crixás do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"170700 Dianópolis";5;9;17;21;21;11;10;1;1;-;5;12;113
"170710 Divinópolis do Tocantins";-;2;3;8;9;3;3;3;-;-;-;-;31
"170720 Dois Irmãos do Tocantins";1;1;5;4;-;1;-;-;-;-;-;2;14
"170730 Dueré";1;4;3;6;7;2;-;-;-;-;9;11;43
"170755 Fátima";-;-;2;2;4;3;-;-;-;-;-;2;13
"170765 Figueirópolis";-;-;28;6;-;-;-;-;-;1;2;-;37
"170770 Filadélfia";-;2;1;5;-;-;-;-;-;-;-;1;9
"170820 Formoso do Araguaia";-;3;2;1;2;-;1;2;-;-;5;7;23
"170830 Goianorte";1;2;3;-;-;-;-;-;5;-;4;8;23
"170900 Goiatins";-;2;-;-;-;-;-;-;-;-;-;-;2
"170930 Guaraí";-;1;2;2;1;3;1;-;-;-;4;-;14
"170950 Gurupi";19;50;72;59;38;4;2;4;6;3;30;46;333
"170980 Ipueiras";-;1;1;-;2;-;-;1;-;-;-;-;5
"171050 Itacajá";1;1;-;2;1;-;-;-;-;-;2;5;12
"171070 Itaguatins";3;5;2;-;1;-;-;3;-;1;-;1;16
"171090 Itapiratins";-;-;-;-;1;-;-;-;-;-;6;-;7
"171110 Itaporã do Tocantins";1;-;1;1;1;-;-;-;-;-;-;-;4
"171150 Jaú do Tocantins";4;5;60;38;11;2;-;-;-;-;-;-;120
"171180 Juarina";3;15;8;-;-;-;-;-;-;-;-;-;26
"171190 Lagoa da Confusão";1;-;-;-;-;-;-;-;-;-;-;-;1
"171195 Lagoa do Tocantins";-;2;-;-;1;1;-;-;-;-;3;-;7
"171200 Lajeado";4;3;5;9;-;-;-;-;-;-;-;1;22
"171215 Lavandeira";7;5;18;57;34;4;-;-;-;-;2;1;128
"171240 Lizarda";1;2;-;1;5;6;3;1;-;-;-;1;20
"171270 Mateiros";-;15;10;-;-;-;-;-;-;-;-;-;25
"171280 Maurilândia do Tocantins";-;-;-;-;-;-;-;5;8;1;1;-;15
"171320 Miracema do Tocantins";4;3;10;10;4;-;2;1;2;3;1;2;42
"171330 Miranorte";25;13;12;18;4;1;-;2;-;-;9;10;94
"171360 Monte do Carmo";7;9;4;6;5;1;-;-;-;-;-;1;33
"171370 Monte Santo do Tocantins";2;5;5;7;-;-;-;-;-;-;-;-;19
"171395 Muricilândia";-;-;2;1;-;2;-;-;-;-;1;-;6
"171420 Natividade";-;4;20;21;14;4;-;-;-;-;2;-;65
"171488 Nova Olinda";2;2;2;10;1;-;1;1;-;1;2;1;23
"171500 Nova Rosalândia";-;-;-;-;-;-;-;-;-;-;1;-;1
