"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";1;-;-;-;-;-;-;-;-;-;2;2;5
"120005 Assis Brasil";1;1;-;3;-;1;-;-;-;-;-;-;6
"120010 Brasiléia";3;4;4;3;7;-;-;3;1;5;1;5;36
"120017 Capixaba";-;-;-;-;1;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";2312;1252;694;187;101;96;45;30;28;30;29;111;4915
"120025 Epitaciolândia";1;-;-;-;1;-;1;1;2;5;5;8;24
"120030 Feijó";1;-;-;-;-;-;-;-;-;-;-;2;3
"120033 Mâncio Lima";4;3;2;-;-;2;4;-;-;1;1;2;19
"120038 Plácido de Castro";-;-;2;-;-;-;-;-;-;-;-;-;2
"120080 Porto Acre";-;-;-;-;-;-;-;-;-;-;1;1;2
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;-;-;1;1
"120040 Rio Branco";57;58;88;60;71;41;15;9;21;23;30;72;545
"120042 Rodrigues Alves";6;3;3;8;6;3;2;-;-;-;1;1;33
"120045 Senador Guiomard";-;-;-;1;2;-;-;-;-;-;-;-;3
"120070 Xapuri";2;-;4;4;7;1;-;-;-;2;1;18;39
"Total";2388;1321;797;266;196;144;67;43;52;66;71;223;5634
