"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";4;6;6;2;-;2;1;-;-;-;-;2;23
"120005 Assis Brasil";15;9;1;3;5;-;-;2;-;-;1;6;42
"120010 Brasiléia";17;35;31;41;34;40;26;21;17;37;127;177;603
"120013 Bujari";7;20;22;5;4;3;3;1;2;1;2;6;76
"120017 Capixaba";14;21;19;22;1;-;4;-;1;1;3;27;113
"120020 Cruzeiro do Sul";4;6;4;-;1;-;1;-;1;1;1;1;20
"120025 Epitaciolândia";26;28;30;35;37;35;11;24;18;38;122;255;659
"120030 Feijó";-;1;2;-;-;-;-;-;1;-;-;-;4
"120032 Jordão";-;-;-;-;-;-;-;-;-;-;-;3;3
"120033 Mâncio Lima";-;2;1;-;-;-;-;-;-;-;-;-;3
"120034 Manoel Urbano";3;2;1;1;-;-;-;-;-;-;-;-;7
"120038 Plácido de Castro";4;14;14;1;2;1;1;-;-;2;-;1;40
"120080 Porto Acre";48;65;91;13;15;6;2;-;-;-;5;14;259
"120039 Porto Walter";-;-;1;-;-;-;-;-;-;-;-;-;1
"120040 Rio Branco";2820;5882;4833;1266;662;206;83;68;55;113;308;973;17269
"120042 Rodrigues Alves";-;1;-;-;-;-;-;-;-;-;-;-;1
"120043 Santa Rosa do Purus";3;-;2;1;1;-;-;-;-;-;-;-;7
"120050 Sena Madureira";42;16;4;2;6;1;-;1;-;1;4;14;91
"120045 Senador Guiomard";29;20;23;5;3;3;5;1;-;-;-;5;94
"120060 Tarauacá";3;2;4;-;-;-;-;-;-;-;-;-;9
"120070 Xapuri";5;9;9;4;7;-;1;-;-;-;2;12;49
"Total";3044;6139;5098;1401;778;297;138;118;95;194;575;1496;19373
