"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";-;4;-;5;2;3;1;-;-;-;-;1;16
"210010 Afonso Cunha";-;3;-;1;-;-;-;-;-;-;-;-;4
"210020 Alcântara";-;-;-;-;-;1;-;-;1;-;-;-;2
"210030 Aldeias Altas";-;-;2;2;-;-;1;-;-;-;-;-;5
"210040 Altamira do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210047 Alto Alegre do Pindaré";3;2;-;-;-;-;-;-;-;-;-;-;5
"210050 Alto Parnaíba";1;-;-;12;3;5;-;4;-;1;-;-;26
"210055 Amapá do Maranhão";-;-;-;1;-;-;-;-;-;-;-;-;1
"210060 Amarante do Maranhão";-;1;-;-;-;-;-;-;-;-;1;-;2
"210070 Anajatuba";-;-;-;1;-;-;-;-;-;-;-;-;1
"210083 Apicum-Açu";-;-;1;3;-;-;-;1;-;-;-;-;5
"210087 Araguanã";-;-;1;-;1;-;-;-;-;-;-;-;2
"210090 Araioses";-;-;2;-;-;4;-;-;-;-;-;-;6
"210095 Arame";-;-;-;-;-;3;2;1;1;-;1;2;10
"210100 Arari";-;-;1;-;1;-;-;-;-;-;-;-;2
"210110 Axixá";-;-;-;2;-;-;-;-;-;-;-;-;2
"210120 Bacabal";2;-;-;2;-;1;1;-;-;2;-;-;8
"210140 Balsas";6;-;4;-;-;5;-;-;-;1;-;-;16
"210150 Barão de Grajaú";3;7;7;4;-;1;-;1;-;-;-;2;25
"210160 Barra do Corda";54;86;72;16;18;4;-;-;-;1;-;-;251
"210170 Barreirinhas";-;-;-;1;-;-;-;1;-;-;1;-;3
"210177 Bela Vista do Maranhão";-;2;-;-;-;-;-;-;-;-;-;-;2
"210173 Belágua";-;-;1;-;-;-;-;-;-;-;-;-;1
"210190 Bequimão";1;2;5;4;8;2;1;-;-;1;-;-;24
"210200 Bom Jardim";-;-;1;9;11;3;4;3;-;1;1;2;35
"210203 Bom Jesus das Selvas";1;-;-;-;-;-;-;-;-;-;-;-;1
"210207 Bom Lugar";-;-;-;4;-;-;-;-;-;-;-;-;4
"210210 Brejo";-;-;1;-;-;-;-;-;1;-;-;-;2
"210230 Buriti Bravo";-;1;-;2;-;-;-;-;-;-;-;-;3
"210232 Buriticupu";-;-;2;6;8;8;-;-;-;-;-;-;24
"210235 Buritirana";-;4;2;1;1;-;-;-;-;-;-;-;8
"210240 Cajapió";-;-;-;-;1;-;-;-;-;-;-;-;1
"210255 Campestre do Maranhão";-;1;2;6;1;1;-;-;-;-;-;-;11
"210260 Cândido Mendes";6;4;3;14;6;-;-;1;-;-;-;-;34
"210270 Cantanhede";-;-;1;1;-;-;-;-;-;-;-;-;2
"210275 Capinzal do Norte";-;8;5;-;-;-;-;-;-;-;-;-;13
"210280 Carolina";15;30;12;8;3;6;3;2;5;3;1;4;92
"210290 Carutapera";-;1;2;3;4;-;-;-;-;-;-;-;10
"210300 Caxias";6;5;8;5;8;7;1;-;-;-;1;-;41
"210320 Chapadinha";-;-;3;3;-;-;-;-;-;-;1;-;7
"210330 Codó";-;-;1;-;2;1;1;1;2;-;-;3;11
"210340 Coelho Neto";3;-;-;-;-;-;-;-;-;-;-;-;3
"210350 Colinas";-;2;2;-;1;3;1;-;-;-;1;1;11
"210370 Cururupu";-;-;-;2;1;-;-;-;1;-;1;-;5
"210375 Davinópolis";2;4;3;3;1;-;-;-;-;-;-;-;13
"210380 Dom Pedro";1;1;-;1;1;-;-;-;-;-;-;-;4
"210390 Duque Bacelar";-;1;-;-;-;-;-;-;-;-;-;-;1
"210405 Estreito";2;4;4;2;5;-;-;-;-;-;-;-;17
"210407 Feira Nova do Maranhão";-;1;8;8;6;-;-;-;-;-;1;-;24
"210408 Fernando Falcão";-;3;-;-;-;-;-;-;-;-;-;-;3
"210409 Formosa da Serra Negra";-;30;18;11;5;-;-;-;-;-;-;-;64
"210410 Fortaleza dos Nogueiras";1;1;-;-;-;-;-;-;-;1;-;-;3
"210420 Fortuna";-;-;-;1;-;-;2;-;-;-;-;-;3
"210430 Godofredo Viana";14;15;10;4;-;-;-;-;-;-;1;-;44
"210450 Governador Archer";-;2;11;1;1;-;-;1;-;-;-;-;16
"210455 Governador Edison Lobão";1;2;11;5;-;-;-;-;-;1;1;-;21
"210460 Governador Eugênio Barros";-;4;4;-;-;-;-;-;-;-;-;-;8
"210465 Governador Newton Bello";-;1;1;4;-;-;-;-;-;-;-;-;6
"210467 Governador Nunes Freire";-;-;-;-;1;2;-;-;-;-;-;-;3
"210470 Graça Aranha";-;-;6;2;-;2;-;-;-;-;-;-;10
"210480 Grajaú";12;23;15;4;2;1;4;-;-;-;-;-;61
"210490 Guimarães";-;1;-;-;1;-;-;-;2;-;-;-;4
"210500 Humberto de Campos";2;1;7;6;6;3;2;3;1;-;1;-;32
"210510 Icatu";-;1;3;1;7;-;-;-;-;-;-;-;12
"210515 Igarapé do Meio";2;30;36;2;2;-;-;-;-;-;-;-;72
"210520 Igarapé Grande";-;-;2;11;23;-;-;-;-;-;-;-;36
"210530 Imperatriz";36;91;39;28;13;14;1;5;2;2;-;1;232
"210535 Itaipava do Grajaú";-;4;19;11;1;-;1;-;-;-;-;-;36
"210540 Itapecuru Mirim";-;1;-;3;1;-;-;-;-;-;-;-;5
"210545 Jatobá";-;1;-;2;2;-;-;-;-;-;-;-;5
"210550 João Lisboa";3;6;1;-;1;-;-;-;-;-;-;-;11
"210560 Joselândia";-;-;-;2;1;-;-;-;-;1;1;-;5
"210565 Junco do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210570 Lago da Pedra";-;1;3;15;-;1;1;-;1;-;-;-;22
"210580 Lago do Junco";-;-;-;-;-;-;2;1;-;-;-;-;3
"210592 Lagoa do Mato";-;-;2;1;2;-;-;-;-;-;-;-;5
"210596 Lagoa Grande do Maranhão";-;-;1;6;1;-;-;-;-;-;-;-;8
"210598 Lajeado Novo";2;3;-;-;-;-;-;-;-;-;-;-;5
"210632 Maracaçumé";-;-;-;3;8;-;-;-;-;-;-;-;11
"210637 Maranhãozinho";-;-;-;2;-;-;-;-;-;-;-;-;2
"210640 Mata Roma";-;-;-;-;1;-;-;-;-;-;-;-;1
"210650 Matinha";-;-;-;-;-;-;-;-;-;-;-;1;1
"210660 Matões";-;-;3;2;4;-;1;1;1;2;2;-;16
"210670 Mirador";-;-;1;2;-;-;-;-;-;-;-;-;3
"210675 Miranda do Norte";-;1;2;1;-;1;-;-;-;-;-;-;5
"210690 Monção";1;-;-;-;-;-;-;-;-;-;-;-;1
"210700 Montes Altos";1;4;1;-;-;-;-;-;-;-;-;-;6
"210710 Morros";-;1;1;2;1;-;-;-;-;-;-;-;5
"210720 Nina Rodrigues";11;-;1;1;-;-;-;-;-;-;-;-;13
"210730 Nova Iorque";-;-;-;-;1;-;1;2;-;-;-;-;4
"210735 Nova Olinda do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;1
"210745 Olinda Nova do Maranhão";-;-;-;-;-;-;-;-;1;-;-;-;1
"210750 Paço do Lumiar";-;-;5;11;5;8;4;19;21;4;7;2;86
"210770 Paraibano";2;-;-;9;4;5;-;-;2;-;4;-;26
"210780 Parnarama";4;1;-;2;1;7;2;-;1;-;-;-;18
"210790 Passagem Franca";1;-;-;-;-;-;-;-;-;-;-;-;1
"210800 Pastos Bons";-;-;5;1;2;-;-;-;-;-;-;-;8
"210805 Paulino Neves";-;-;-;2;-;-;-;-;-;-;-;-;2
"210810 Paulo Ramos";-;-;-;-;6;2;1;-;-;-;-;-;9
"210820 Pedreiras";2;3;4;25;8;4;2;1;-;2;2;-;53
"210825 Pedro do Rosário";-;-;-;-;-;-;-;-;1;-;-;-;1
"210830 Penalva";1;1;-;-;-;-;-;-;-;1;-;-;3
"210840 Peri Mirim";-;4;-;1;-;-;-;-;-;-;-;-;5
"210845 Peritoró";-;-;-;1;-;-;-;-;-;-;-;-;1
"210850 Pindaré-Mirim";2;5;4;1;1;1;-;-;-;-;-;-;14
"210860 Pinheiro";-;-;2;-;-;-;-;-;1;-;-;-;3
"210870 Pio XII";-;-;-;-;-;1;-;-;-;-;1;2;4
"210880 Pirapemas";-;1;-;-;2;-;-;-;-;-;-;-;3
"210890 Poção de Pedras";-;-;-;-;1;-;1;1;-;-;-;-;3
"210900 Porto Franco";-;-;-;1;2;3;1;-;-;-;-;-;7
"210905 Porto Rico do Maranhão";-;-;-;-;-;-;-;4;12;1;-;-;17
"210910 Presidente Dutra";1;-;-;3;-;-;-;-;-;1;-;1;6
"210923 Presidente Médici";-;-;-;1;2;-;1;-;-;-;-;-;4
"210930 Presidente Vargas";-;-;-;-;-;1;-;2;-;-;-;-;3
"210940 Primeira Cruz";-;-;-;-;1;-;-;-;-;-;-;-;1
"210945 Raposa";1;-;1;2;2;-;-;-;1;-;-;-;7
"210950 Riachão";2;15;4;7;1;-;3;3;-;-;-;-;35
"210955 Ribamar Fiquene";-;-;1;1;-;-;-;-;-;-;-;-;2
"210960 Rosário";-;-;1;4;8;2;1;-;1;1;-;-;18
"210975 Santa Filomena do Maranhão";-;-;1;3;1;-;-;-;-;-;-;-;5
"210980 Santa Helena";3;2;3;-;-;-;-;1;-;-;-;-;9
"210990 Santa Inês";1;2;6;5;1;2;1;-;-;1;-;2;21
"211000 Santa Luzia";2;2;-;-;-;-;1;1;-;-;1;-;7
"211003 Santa Luzia do Paruá";-;-;2;9;-;-;-;-;-;-;-;-;11
"211010 Santa Quitéria do Maranhão";-;-;-;-;-;-;1;-;-;-;-;-;1
"211027 Santo Amaro do Maranhão";-;-;-;1;1;-;-;-;-;-;-;-;2
"211030 Santo Antônio dos Lopes";1;-;-;-;-;-;-;-;1;-;-;-;2
"211040 São Benedito do Rio Preto";-;-;-;-;-;1;-;-;-;-;-;-;1
