"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";8;9;9;8;14;8;3;-;4;21;36;20;140
"120005 Assis Brasil";1;-;1;-;-;-;-;-;-;-;-;-;2
"120010 Brasiléia";65;24;25;9;8;3;4;3;4;6;3;8;162
"120017 Capixaba";6;2;2;2;1;1;-;-;-;-;-;4;18
"120020 Cruzeiro do Sul";20;41;49;21;24;11;28;24;15;56;131;204;624
"120025 Epitaciolândia";12;28;18;10;3;2;2;-;4;4;-;3;86
"120033 Mâncio Lima";1;-;-;-;-;-;-;-;-;-;2;2;5
"120038 Plácido de Castro";18;53;19;11;7;3;3;-;-;-;2;7;123
"120040 Rio Branco";116;46;61;50;23;17;10;16;8;25;31;74;477
"120042 Rodrigues Alves";-;-;4;-;1;-;-;-;1;1;4;8;19
"120050 Sena Madureira";1;-;-;-;-;1;-;-;-;-;-;-;2
"120045 Senador Guiomard";-;-;-;-;-;-;-;-;-;-;-;1;1
"120070 Xapuri";47;24;27;26;17;14;6;5;4;8;14;6;198
"Total";295;227;215;137;98;60;56;48;40;121;223;337;1857
