"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";-;1;-;-;-;-;3;-;-;-;1;-;5
"130010 Anori";-;-;-;-;-;-;1;1;-;-;-;-;2
"130014 Apuí";1;3;2;1;-;1;-;-;-;-;-;-;8
"130030 Autazes";-;-;-;-;-;-;1;-;-;-;-;-;1
"130040 Barcelos";-;-;2;-;-;1;9;9;40;92;99;26;278
"130063 Beruri";1;-;-;-;-;-;-;1;-;-;-;-;2
"130068 Boa Vista do Ramos";-;-;-;-;-;-;1;-;-;-;-;-;1
"130070 Boca do Acre";1;3;-;-;-;3;2;-;-;1;-;12;22
"130080 Borba";24;32;36;14;5;-;4;-;-;-;-;-;115
"130110 Careiro";1;-;7;15;38;10;-;-;-;2;3;14;90
"130120 Coari";1;-;2;1;16;18;227;103;34;23;74;199;698
"130130 Codajás";1;2;1;6;18;25;45;32;2;2;16;21;171
"130140 Eirunepé";-;-;-;-;-;1;-;-;-;-;-;1;2
"130150 Envira";-;-;-;-;-;-;-;-;1;-;-;-;1
"130170 Humaitá";345;164;78;30;35;10;3;-;-;2;-;86;753
"130185 Iranduba";1;-;-;2;-;1;-;-;1;-;-;1;6
"130190 Itacoatiara";-;-;-;-;1;-;-;-;-;25;6;10;42
"130240 Lábrea";122;51;29;10;19;4;1;-;1;-;35;73;345
"130250 Manacapuru";4;7;10;2;1;2;2;7;-;-;-;7;42
"130260 Manaus";37;73;130;111;157;157;228;250;266;231;707;888;3235
"130270 Manicoré";-;-;11;10;19;-;1;1;-;-;-;1;43
"130290 Maués";-;-;1;3;36;60;49;10;1;1;-;-;161
"130310 Nova Olinda do Norte";-;2;18;46;19;19;53;32;5;2;3;1;200
"130320 Novo Airão";1;-;-;-;-;-;-;-;-;1;6;25;33
"130330 Novo Aripuanã";4;32;37;39;19;29;28;19;2;21;15;8;253
"130340 Parintins";1;2;3;-;2;-;1;2;1;-;-;1;13
"130353 Presidente Figueiredo";1;1;3;1;2;24;1;6;2;-;-;1;42
"130380 São Gabriel da Cachoeira";1;-;1;34;40;268;103;118;27;9;13;5;619
"130400 Silves";-;-;-;-;-;-;-;-;-;-;-;3;3
"130406 Tabatinga";-;-;-;-;1;-;-;-;-;-;-;-;1
"130410 Tapauá";-;1;-;-;-;-;-;-;-;-;-;-;1
"130420 Tefé";-;1;-;-;-;-;1;4;22;45;61;163;297
"130430 Urucará";-;-;-;-;-;-;-;1;-;-;-;-;1
"Total";547;375;371;325;428;633;764;596;405;457;1039;1546;7486
