"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";-;-;3;-;2;-;-;-;-;-;-;-;5
"130010 Anori";-;-;-;-;1;-;-;-;-;-;-;-;1
"130014 Apuí";1;-;-;-;-;-;-;-;-;-;-;-;1
"130030 Autazes";-;-;-;-;1;-;-;-;-;-;-;-;1
"130040 Barcelos";-;1;-;-;-;-;2;-;-;-;-;-;3
"130060 Benjamin Constant";2;-;2;3;2;-;-;-;-;-;1;2;12
"130063 Beruri";-;4;2;4;-;1;-;-;-;-;-;-;11
"130068 Boa Vista do Ramos";1;2;-;3;-;-;-;-;-;1;-;-;7
"130070 Boca do Acre";-;1;-;-;-;-;-;-;-;-;-;-;1
"130080 Borba";7;12;18;1;-;-;-;-;1;-;1;2;42
"130083 Caapiranga";1;-;-;-;-;-;-;-;-;-;-;-;1
"130090 Canutama";1;-;-;-;-;-;-;-;-;-;-;-;1
"130100 Carauari";-;3;19;13;-;-;-;-;-;-;-;-;35
"130120 Coari";74;74;30;26;1;3;6;11;1;2;11;4;243
"130130 Codajás";-;-;31;27;-;1;-;-;-;-;-;-;59
"130165 Guajará";3;-;-;2;2;7;18;10;10;12;8;6;78
"130170 Humaitá";15;17;7;7;-;1;-;-;-;-;1;2;50
"130185 Iranduba";2;2;2;-;1;-;-;-;-;-;-;1;8
"130190 Itacoatiara";-;-;8;4;-;-;-;1;1;-;1;9;24
"130210 Japurá";-;-;2;-;-;-;-;-;-;-;-;-;2
"130240 Lábrea";1;4;2;2;1;-;1;1;-;1;-;3;16
"130250 Manacapuru";6;7;2;-;1;1;-;-;-;-;-;-;17
"130260 Manaus";352;342;390;385;223;153;150;168;215;64;46;64;2552
"130290 Maués";12;9;18;1;1;3;-;-;-;-;-;1;45
"130310 Nova Olinda do Norte";1;5;1;1;-;-;-;1;-;-;-;-;9
"130320 Novo Airão";2;2;5;-;-;-;-;1;-;1;-;1;12
"130330 Novo Aripuanã";8;21;1;1;1;1;-;-;1;-;2;-;36
"130340 Parintins";-;1;9;6;6;1;-;-;-;-;-;1;24
"130350 Pauini";1;-;-;-;-;-;-;-;-;-;-;1;2
"130380 São Gabriel da Cachoeira";19;3;2;10;3;-;7;5;7;4;3;8;71
"130406 Tabatinga";8;25;9;6;9;9;16;8;8;7;3;6;114
"130410 Tapauá";36;18;20;4;4;5;1;1;-;-;5;4;98
"130420 Tefé";10;4;11;19;20;16;14;35;42;38;65;35;309
"130440 Urucurituba";-;-;1;-;-;-;-;-;-;-;-;1;2
"Total";563;557;595;525;279;202;215;242;286;130;147;151;3892
