"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";-;11;1;1;-;-;-;-;-;-;-;-;13
"130006 Amaturá";-;-;-;-;-;-;-;-;2;2;-;-;4
"130010 Anori";4;13;12;5;2;1;-;-;-;-;2;-;39
"130014 Apuí";-;-;-;1;-;-;-;-;-;-;-;-;1
"130020 Atalaia do Norte";4;-;-;-;-;-;-;-;-;-;-;2;6
"130040 Barcelos";-;-;-;-;-;-;-;5;4;-;-;-;9
"130060 Benjamin Constant";1;-;-;-;-;-;-;-;-;1;-;-;2
"130070 Boca do Acre";2;1;4;1;-;-;-;-;-;-;-;-;8
"130080 Borba";7;8;19;7;4;1;1;1;-;-;-;-;48
"130083 Caapiranga";-;-;1;-;-;-;-;-;-;-;-;-;1
"130110 Careiro";-;-;1;-;3;-;-;-;2;-;-;-;6
"130120 Coari";69;67;81;95;78;42;32;12;4;3;1;23;507
"130130 Codajás";2;1;3;-;-;-;-;-;-;-;-;-;6
"130165 Guajará";-;-;-;-;-;-;17;65;66;14;16;46;224
"130170 Humaitá";36;18;4;2;-;1;-;-;-;-;-;4;65
"130190 Itacoatiara";57;139;144;82;21;12;3;2;-;-;1;5;466
"130240 Lábrea";9;3;5;1;2;-;1;-;-;-;-;1;22
"130250 Manacapuru";4;-;1;1;-;1;1;-;-;2;-;3;13
"130260 Manaus";239;326;630;560;306;178;77;42;63;45;69;87;2622
"130270 Manicoré";-;-;-;-;-;-;-;-;-;1;1;1;3
"130280 Maraã";1;1;1;-;-;-;1;-;-;-;1;-;5
"130290 Maués";1;1;-;-;-;1;-;-;-;-;-;-;3
"130310 Nova Olinda do Norte";-;-;1;-;2;-;-;-;-;-;-;-;3
"130320 Novo Airão";-;-;2;3;-;-;-;-;-;-;-;-;5
"130330 Novo Aripuanã";19;3;3;2;1;-;2;5;-;-;12;10;57
"130340 Parintins";2;2;-;1;-;-;-;-;1;-;1;3;10
"130353 Presidente Figueiredo";-;-;1;-;1;16;8;-;-;-;-;-;26
"130370 Santo Antônio do Içá";-;-;-;1;-;-;-;-;-;-;-;-;1
"130380 São Gabriel da Cachoeira";105;22;62;22;36;9;31;39;16;11;20;12;385
"130400 Silves";-;-;-;1;-;-;-;-;-;-;-;-;1
"130406 Tabatinga";534;239;64;18;39;18;14;7;21;33;54;57;1098
"130410 Tapauá";-;-;-;-;-;1;-;-;-;-;-;-;1
"130420 Tefé";57;115;108;77;70;45;54;38;21;41;55;14;695
"Total";1153;970;1148;881;565;326;242;216;200;153;233;268;6355
