"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";-;1;-;-;-;-;-;-;-;-;-;-;1
"130010 Anori";-;1;-;-;-;-;1;-;-;-;-;-;2
"130040 Barcelos";-;-;-;1;-;-;-;-;-;-;-;-;1
"130060 Benjamin Constant";-;-;1;-;-;-;-;-;-;-;-;-;1
"130068 Boa Vista do Ramos";-;-;-;1;-;-;-;-;-;-;-;-;1
"130080 Borba";-;-;1;3;2;-;1;-;-;-;-;1;8
"130100 Carauari";-;-;-;-;-;1;1;-;-;-;-;-;2
"130120 Coari";4;2;-;5;2;2;-;-;-;-;-;-;15
"130130 Codajás";-;-;1;-;-;-;-;-;-;-;-;-;1
"130150 Envira";-;-;-;-;-;-;-;-;-;-;1;-;1
"130165 Guajará";12;15;24;5;8;2;6;5;6;4;5;11;103
"130170 Humaitá";8;7;1;1;1;-;-;-;-;-;-;-;18
"130190 Itacoatiara";66;101;88;50;2;5;12;11;3;9;7;2;356
"130200 Itapiranga";-;-;1;-;-;-;-;-;-;-;-;-;1
"130240 Lábrea";1;-;2;-;-;-;-;-;-;-;-;-;3
"130250 Manacapuru";-;1;-;-;1;-;-;-;-;-;-;-;2
"130260 Manaus";52;87;154;182;149;145;133;109;87;71;66;67;1302
"130290 Maués";-;-;1;1;6;1;2;2;1;1;-;-;15
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-;-;-;1;-;-;1
"130330 Novo Aripuanã";2;-;5;5;2;-;-;-;1;1;-;-;16
"130340 Parintins";-;-;-;4;-;2;-;-;-;-;-;-;6
"130353 Presidente Figueiredo";1;-;-;-;-;2;-;-;-;-;-;-;3
"130356 Rio Preto da Eva";-;-;-;-;-;-;-;2;-;-;1;-;3
"130380 São Gabriel da Cachoeira";7;2;1;14;5;6;18;18;18;11;10;5;115
"130406 Tabatinga";3;1;6;1;-;2;1;1;-;-;2;-;17
"130410 Tapauá";6;8;5;4;6;2;2;2;1;-;1;1;38
"130420 Tefé";94;68;31;24;14;13;9;7;5;5;1;9;280
"130440 Urucurituba";-;1;1;-;2;-;1;-;-;-;-;-;5
"Total";256;295;323;301;200;183;187;157;122;103;94;96;2317
