"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";-;3;-;-;-;-;-;-;-;-;-;-;3
"130020 Atalaia do Norte";-;-;-;-;-;-;-;-;-;1;3;8;12
"130040 Barcelos";-;-;4;-;2;2;-;-;1;-;-;-;9
"130060 Benjamin Constant";-;1;-;-;-;-;-;-;-;6;96;293;396
"130070 Boca do Acre";109;37;9;-;-;-;-;-;-;-;-;39;194
"130080 Borba";2;9;1;4;5;1;4;4;9;-;1;3;43
"130100 Carauari";-;2;-;-;-;-;2;5;5;23;307;257;601
"130120 Coari";-;-;-;-;-;-;-;-;-;-;1;1;2
"130130 Codajás";-;-;3;3;-;-;-;-;1;-;-;-;7
"130140 Eirunepé";-;-;-;-;-;-;-;-;-;-;1;9;10
"130165 Guajará";16;35;28;20;8;6;7;16;19;146;184;128;613
"130170 Humaitá";-;1;17;19;6;6;-;1;-;2;7;11;70
"130180 Ipixuna";-;19;2;1;-;-;-;-;-;-;-;-;22
"130185 Iranduba";-;-;-;-;1;-;-;-;-;-;-;-;1
"130190 Itacoatiara";4;10;4;1;2;4;5;2;2;1;-;-;35
"130240 Lábrea";-;-;-;-;-;-;-;-;-;-;-;1;1
"130250 Manacapuru";-;-;-;-;-;-;-;-;-;1;1;10;12
"130260 Manaus";49;61;55;68;62;60;30;21;4;22;18;20;470
"130290 Maués";1;2;-;-;1;-;-;-;-;-;-;-;4
"130310 Nova Olinda do Norte";-;-;-;-;-;-;1;-;-;-;-;-;1
"130320 Novo Airão";-;-;-;1;1;-;-;-;4;1;-;-;7
"130330 Novo Aripuanã";2;2;-;4;3;-;2;1;-;-;-;-;14
"130340 Parintins";-;-;1;-;1;-;-;-;-;-;-;-;2
"130350 Pauini";-;-;-;-;1;-;-;-;-;-;-;-;1
"130353 Presidente Figueiredo";-;2;14;11;17;1;1;-;-;-;2;-;48
"130356 Rio Preto da Eva";-;-;1;-;-;-;-;-;-;-;-;-;1
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;-;-;-;-;1;1
"130380 São Gabriel da Cachoeira";-;2;6;3;1;2;1;-;42;160;294;318;829
"130390 São Paulo de Olivença";-;-;-;-;-;-;-;1;1;-;-;3;5
"130406 Tabatinga";1;1;-;3;-;4;5;3;31;154;111;70;383
"130410 Tapauá";5;5;4;1;-;-;-;-;-;-;-;-;15
"130420 Tefé";15;12;5;1;7;3;-;-;1;1;-;4;49
"130430 Urucará";-;-;-;-;-;-;-;-;-;-;2;-;2
"Total";204;204;154;140;118;89;58;54;120;518;1028;1176;3863
