"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";-;1;-;1;-;-;-;1;3;-;1;-;7
"150013 Abel Figueiredo";1;-;-;-;1;1;1;2;-;-;-;-;6
"150020 Acará";-;-;-;-;1;1;-;-;-;-;-;-;2
"150030 Afuá";5;-;-;-;-;-;-;-;-;-;-;-;5
"150034 Água Azul do Norte";5;18;7;-;-;-;-;-;-;-;-;-;30
"150040 Alenquer";-;-;1;1;1;-;1;-;1;-;-;-;5
"150060 Altamira";6;4;-;5;5;-;2;5;-;6;9;15;57
"150080 Ananindeua";7;13;7;5;5;1;3;5;2;2;9;8;67
"150085 Anapu";1;4;26;30;45;20;3;4;1;-;-;-;134
"150090 Augusto Corrêa";-;1;2;-;-;-;-;-;1;-;-;-;4
"150095 Aurora do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150120 Baião";-;1;-;-;-;-;-;-;-;-;-;-;1
"150125 Bannach";1;3;4;2;-;-;-;-;1;-;18;-;29
"150130 Barcarena";4;-;-;-;-;-;-;-;-;-;3;2;9
"150140 Belém";14;20;13;7;15;9;14;23;16;21;22;24;198
"150145 Belterra";-;-;-;-;1;-;2;-;-;1;-;-;4
"150150 Benevides";-;1;2;1;-;-;1;-;-;-;-;1;6
"150160 Bonito";-;1;11;4;-;-;1;-;-;-;-;1;18
"150170 Bragança";-;-;4;5;12;2;5;1;1;-;-;-;30
"150172 Brasil Novo";7;46;7;5;-;-;5;-;-;1;2;-;73
"150175 Brejo Grande do Araguaia";-;-;-;2;-;-;-;-;-;-;-;-;2
"150178 Breu Branco";-;-;-;1;1;-;-;-;-;-;3;-;5
"150180 Breves";-;-;-;-;-;-;-;-;-;2;-;-;2
"150210 Cametá";2;-;2;1;-;2;2;-;-;-;2;2;13
"150215 Canaã dos Carajás";58;85;75;30;33;8;3;1;-;2;1;3;299
"150220 Capanema";7;9;20;5;2;1;3;5;4;3;2;2;63
"150230 Capitão Poço";-;-;1;-;-;-;1;-;-;-;-;-;2
"150240 Castanhal";3;4;-;2;-;2;-;4;1;3;1;10;30
"150250 Chaves";1;-;-;1;-;-;-;-;-;-;-;-;2
"150260 Colares";-;-;-;-;-;-;1;-;-;-;-;-;1
"150270 Conceição do Araguaia";20;79;117;19;18;-;-;-;3;11;21;2;290
"150276 Cumaru do Norte";-;-;-;2;3;3;-;-;-;-;-;-;8
"150277 Curionópolis";-;1;-;1;-;-;-;-;-;-;-;-;2
"150280 Curralinho";-;-;-;-;-;-;1;-;-;-;-;-;1
"150290 Curuçá";-;-;-;2;-;-;-;-;-;-;1;1;4
"150293 Dom Eliseu";9;7;5;3;7;-;1;2;1;-;-;-;35
"150304 Floresta do Araguaia";7;-;-;-;4;-;-;-;-;-;-;-;11
"150309 Goianésia do Pará";2;6;10;55;108;27;33;17;5;5;2;3;273
"150320 Igarapé-Açu";2;-;1;2;-;-;-;-;2;2;1;-;10
"150330 Igarapé-Miri";-;-;-;-;-;1;-;-;-;1;5;4;11
"150340 Inhangapi";-;-;-;-;-;-;-;-;-;-;-;1;1
"150345 Ipixuna do Pará";-;-;-;1;-;2;-;2;-;-;-;-;5
"150350 Irituia";-;-;1;1;-;-;-;-;-;-;-;-;2
"150360 Itaituba";1;1;2;5;2;3;2;-;-;-;-;3;19
"150370 Itupiranga";-;1;8;14;1;-;-;-;-;-;-;1;25
"150380 Jacundá";2;2;3;2;1;7;1;-;-;-;-;-;18
"150390 Juruti";-;-;-;-;-;-;-;-;2;-;-;-;2
"150400 Limoeiro do Ajuru";1;-;-;-;-;-;-;-;-;-;-;-;1
"150405 Mãe do Rio";4;5;1;1;2;-;-;1;-;-;-;-;14
"150420 Marabá";8;8;10;5;7;2;5;7;-;1;-;-;53
"150430 Maracanã";-;-;1;-;1;-;2;17;1;-;-;-;22
"150440 Marapanim";1;1;7;-;-;-;-;-;-;-;1;-;10
"150442 Marituba";-;1;2;5;3;4;1;-;2;1;3;2;24
"150445 Medicilândia";22;26;3;5;2;2;-;-;1;-;1;1;63
"150460 Mocajuba";-;-;-;-;2;-;1;3;1;5;11;-;23
"150470 Moju";30;4;-;-;-;-;-;-;-;1;-;4;39
"150475 Mojuí dos Campos";-;-;2;-;1;1;-;-;-;-;-;-;4
"150480 Monte Alegre";-;-;1;-;-;-;-;-;-;-;-;-;1
"150495 Nova Esperança do Piriá";1;-;2;-;-;1;-;-;-;-;-;-;4
"150497 Nova Ipixuna";4;-;-;2;2;-;-;1;3;16;35;6;69
"150500 Nova Timboteua";-;1;1;-;-;-;-;-;-;-;-;-;2
