"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";11;6;4;1;2;-;1;3;1;3;4;3;39
"150013 Abel Figueiredo";-;-;-;-;-;-;-;-;1;-;-;1;2
"150020 Acará";-;-;2;4;1;-;-;1;-;-;-;-;8
"150030 Afuá";-;-;-;-;-;-;-;-;-;-;1;-;1
"150034 Água Azul do Norte";1;-;1;1;-;-;-;-;-;-;-;2;5
"150040 Alenquer";5;2;1;1;1;-;-;-;-;-;1;3;14
"150050 Almeirim";-;-;-;23;34;7;2;4;2;4;-;-;76
"150060 Altamira";2;2;2;2;2;1;4;1;-;-;1;1;18
"150080 Ananindeua";3;12;5;6;11;1;5;11;14;5;2;5;80
"150085 Anapu";-;-;-;4;-;-;-;-;-;-;1;-;5
"150090 Augusto Corrêa";2;8;25;10;16;2;-;-;1;-;-;1;65
"150095 Aurora do Pará";-;7;5;-;-;-;1;1;1;-;1;-;16
"150120 Baião";-;6;21;1;2;-;-;-;-;-;-;-;30
"150125 Bannach";-;-;1;-;-;-;-;-;-;-;-;2;3
"150130 Barcarena";2;4;1;1;-;1;6;6;-;1;2;-;24
"150140 Belém";40;34;48;40;33;33;11;18;15;6;5;10;293
"150145 Belterra";3;1;5;2;3;2;1;-;-;-;-;-;17
"150150 Benevides";2;2;2;1;-;-;-;-;-;-;2;-;9
"150160 Bonito";1;1;-;-;1;-;-;-;-;-;-;-;3
"150170 Bragança";-;1;2;4;10;4;-;1;-;-;-;1;23
"150172 Brasil Novo";-;-;-;1;3;1;-;3;1;-;-;-;9
"150175 Brejo Grande do Araguaia";-;-;3;12;1;-;-;-;-;-;-;-;16
"150178 Breu Branco";-;3;77;30;33;1;-;-;-;1;-;-;145
"150210 Cametá";1;-;1;-;-;-;-;-;1;1;-;-;4
"150215 Canaã dos Carajás";-;9;4;7;1;1;2;-;-;2;-;6;32
"150220 Capanema";2;3;12;9;4;2;1;1;5;2;-;-;41
"150230 Capitão Poço";3;6;14;9;4;4;1;-;-;-;-;1;42
"150240 Castanhal";15;18;25;12;7;2;9;26;3;-;-;2;119
"150270 Conceição do Araguaia";3;15;27;14;11;9;8;3;2;2;2;3;99
"150275 Concórdia do Pará";-;-;-;1;-;-;1;2;-;-;-;-;4
"150276 Cumaru do Norte";-;-;-;1;7;-;-;-;1;-;-;-;9
"150290 Curuçá";-;-;1;14;2;1;1;-;-;1;-;-;20
"150293 Dom Eliseu";2;1;1;2;-;-;-;-;-;-;-;3;9
"150304 Floresta do Araguaia";6;19;18;23;13;1;-;-;1;-;-;2;83
"150307 Garrafão do Norte";-;-;-;-;-;-;-;1;-;-;1;-;2
"150309 Goianésia do Pará";15;18;22;34;62;17;8;1;-;11;4;30;222
"150310 Gurupá";-;-;1;-;-;-;-;-;-;-;-;-;1
"150320 Igarapé-Açu";-;2;1;-;-;-;1;-;-;-;1;-;5
"150330 Igarapé-Miri";-;-;1;-;-;-;1;3;1;-;-;-;6
"150340 Inhangapi";3;51;13;3;-;1;-;-;-;-;-;2;73
"150345 Ipixuna do Pará";-;1;-;-;3;-;4;-;-;-;-;-;8
