"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";13;21;13;11;3;5;9;13;10;9;10;8;125
"150013 Abel Figueiredo";3;6;4;2;3;2;-;-;-;-;-;-;20
"150020 Acará";-;1;2;2;-;-;-;-;2;-;-;-;7
"150030 Afuá";-;-;-;-;-;-;-;-;-;-;-;1;1
"150034 Água Azul do Norte";10;2;-;1;-;-;-;-;-;-;1;2;16
"150040 Alenquer";60;155;148;108;51;6;-;3;-;-;-;-;531
"150050 Almeirim";-;1;-;-;-;-;-;-;-;-;-;-;1
"150060 Altamira";3;27;17;11;4;4;-;5;7;1;3;1;83
"150080 Ananindeua";102;69;36;13;14;18;12;5;6;13;6;16;310
"150085 Anapu";8;26;14;1;-;-;-;-;-;-;2;1;52
"150090 Augusto Corrêa";1;-;1;1;-;-;-;-;1;-;-;-;4
"150095 Aurora do Pará";1;1;-;2;-;-;-;-;-;-;-;-;4
"150100 Aveiro";-;-;1;-;-;-;-;-;-;-;-;-;1
"150120 Baião";-;2;-;-;-;-;-;-;1;-;-;-;3
"150125 Bannach";14;18;4;-;-;-;-;-;-;-;1;1;38
"150130 Barcarena";10;31;12;2;5;1;2;5;3;3;1;-;75
"150140 Belém";142;207;152;58;26;15;13;10;29;22;33;29;736
"150145 Belterra";3;9;6;1;2;-;-;-;-;-;-;-;21
"150150 Benevides";18;6;8;12;-;-;-;1;-;1;-;1;47
"150157 Bom Jesus do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"150160 Bonito";-;-;-;-;-;-;-;-;-;-;1;1;2
"150170 Bragança";34;27;25;27;11;22;10;17;14;22;9;2;220
"150172 Brasil Novo";-;11;10;10;10;1;1;-;-;1;1;-;45
"150175 Brejo Grande do Araguaia";6;4;2;28;1;-;-;-;-;-;-;1;42
"150178 Breu Branco";1;7;1;10;129;44;36;28;3;95;51;50;455
"150180 Breves";13;15;9;4;-;-;1;-;-;-;1;2;45
"150195 Cachoeira do Piriá";5;51;12;7;2;-;1;2;1;-;-;-;81
"150210 Cametá";2;9;20;5;1;3;4;-;-;-;1;-;45
"150215 Canaã dos Carajás";23;36;6;3;3;1;-;-;-;-;2;7;81
"150220 Capanema";4;5;7;5;12;32;31;31;9;1;-;3;140
"150230 Capitão Poço";5;3;7;7;3;9;13;8;11;2;6;2;76
"150240 Castanhal";12;6;9;9;8;1;8;-;2;-;2;2;59
"150260 Colares";-;-;-;-;-;1;-;-;-;1;-;-;2
"150270 Conceição do Araguaia";23;21;11;3;2;-;1;1;7;3;10;11;93
"150275 Concórdia do Pará";-;1;2;1;-;1;-;-;-;-;-;-;5
"150276 Cumaru do Norte";40;45;57;20;6;-;9;-;-;-;2;-;179
"150277 Curionópolis";-;-;-;31;19;1;1;-;-;1;-;1;54
"150285 Curuá";-;-;1;1;3;-;-;-;-;-;-;-;5
"150290 Curuçá";4;2;-;-;-;1;-;4;-;-;-;-;11
"150293 Dom Eliseu";-;13;145;271;67;5;-;-;1;1;-;-;503
"150295 Eldorado do Carajás";-;-;-;-;2;1;-;-;-;-;1;-;4
"150304 Floresta do Araguaia";25;4;1;149;9;1;-;-;-;-;-;-;189
"150307 Garrafão do Norte";-;1;-;-;1;-;1;-;-;-;-;-;3
"150309 Goianésia do Pará";6;5;26;65;14;-;-;-;-;-;-;-;116
"150310 Gurupá";1;9;6;-;-;-;-;-;-;-;-;-;16
"150320 Igarapé-Açu";2;3;4;3;2;-;-;-;2;-;-;5;21
"150330 Igarapé-Miri";-;2;1;1;-;-;-;-;-;-;-;-;4
"150340 Inhangapi";7;1;3;-;-;-;1;-;-;-;-;-;12
"150345 Ipixuna do Pará";1;1;2;-;-;-;-;-;1;-;1;-;6
"150350 Irituia";1;2;1;-;1;-;-;-;-;-;-;-;5
"150360 Itaituba";10;108;179;180;45;11;7;-;1;9;1;3;554
"150370 Itupiranga";2;10;2;-;-;4;4;2;1;-;-;-;25
"150375 Jacareacanga";-;1;1;-;-;-;-;-;-;-;-;-;2
"150380 Jacundá";1;12;19;11;9;2;3;5;5;1;-;-;68
"150390 Juruti";-;7;7;11;2;2;1;1;-;-;-;-;31
"150400 Limoeiro do Ajuru";1;-;1;-;-;-;-;2;1;-;-;-;5
"150405 Mãe do Rio";-;2;1;1;-;-;-;-;-;-;-;-;4
"150420 Marabá";9;41;69;43;99;81;62;22;19;18;39;39;541
"150430 Maracanã";-;5;1;5;-;3;-;-;1;1;-;-;16
"150442 Marituba";47;51;33;5;2;5;13;18;4;5;11;2;196
"150445 Medicilândia";4;-;-;-;-;-;-;-;-;-;-;-;4
"150460 Mocajuba";2;5;14;-;-;-;-;-;-;-;-;-;21
"150470 Moju";-;2;1;-;-;-;-;-;-;-;-;-;3
"150475 Mojuí dos Campos";2;8;4;6;7;2;1;-;-;1;-;-;31
"150480 Monte Alegre";190;156;71;46;22;4;2;-;-;-;-;10;501
"150490 Muaná";-;2;-;1;-;-;-;-;-;-;-;-;3
"150495 Nova Esperança do Piriá";-;-;5;-;-;2;1;-;1;-;3;14;26
"150497 Nova Ipixuna";19;10;3;1;14;21;23;6;-;-;-;-;97
"150500 Nova Timboteua";2;11;5;-;-;-;-;-;-;-;-;-;18
"150503 Novo Progresso";73;88;14;10;32;3;9;2;9;11;23;27;301
"150506 Novo Repartimento";8;34;89;35;15;5;-;1;-;-;1;4;192
"150510 Óbidos";-;5;4;9;8;3;3;3;3;4;5;-;47
"150520 Oeiras do Pará";-;-;4;-;3;1;-;1;-;-;-;-;9
"150530 Oriximiná";75;141;53;21;10;6;2;4;-;2;5;2;321
"150540 Ourém";-;-;1;-;-;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";11;8;-;2;3;5;8;3;-;-;-;1;41
"150548 Pacajá";24;99;62;21;10;3;-;2;1;-;1;-;223
"150550 Paragominas";-;1;1;-;1;1;1;-;-;1;2;-;8
"150553 Parauapebas";37;88;44;16;28;29;22;14;20;18;6;24;346
"150555 Pau D'Arco";8;14;15;3;-;-;-;-;-;-;-;-;40
"150560 Peixe-Boi";-;-;1;8;-;2;-;-;6;1;4;-;22
"150563 Piçarra";4;-;-;-;-;-;-;-;-;-;-;-;4
"150565 Placas";-;1;-;2;-;-;-;-;-;1;-;-;4
"150570 Ponta de Pedras";15;16;10;4;2;5;-;-;1;-;-;-;53
"150580 Portel";1;4;6;5;1;-;2;1;-;-;-;-;20
"150590 Porto de Moz";1;3;2;2;-;-;-;-;-;-;1;-;9
"150600 Prainha";16;16;15;16;19;1;-;-;-;-;-;1;84
"150610 Primavera";-;4;16;6;1;-;-;3;1;-;-;-;31
"150611 Quatipuru";7;21;2;2;-;-;-;2;4;-;1;-;39
"150613 Redenção";5;6;3;2;2;1;3;1;3;5;4;10;45
"150616 Rio Maria";6;8;2;1;-;-;-;-;-;-;-;1;18
"150618 Rondon do Pará";-;4;27;104;87;12;5;3;1;-;-;1;244
"150619 Rurópolis";61;71;46;35;12;2;-;3;-;-;-;1;231
"150620 Salinópolis";-;5;-;-;-;-;-;3;6;1;-;1;16
"150630 Salvaterra";-;1;6;3;5;2;2;2;-;-;2;-;23
"150635 Santa Bárbara do Pará";2;2;3;-;-;1;-;-;-;-;-;-;8
"150650 Santa Izabel do Pará";6;7;3;2;1;2;-;-;-;-;-;1;22
"150655 Santa Luzia do Pará";-;2;17;1;-;-;-;-;-;-;-;-;20
"150658 Santa Maria das Barreiras";73;29;6;1;1;-;-;-;-;-;-;-;110
"150660 Santa Maria do Pará";7;2;-;2;2;-;-;-;-;-;-;-;13
"150670 Santana do Araguaia";36;67;41;5;8;2;1;-;1;-;-;3;164
"150680 Santarém";8;3;1;4;5;-;-;3;-;-;-;-;24
"150690 Santarém Novo";-;-;-;-;1;1;-;-;-;-;-;-;2
"150700 Santo Antônio do Tauá";6;4;-;-;-;-;-;-;-;-;-;2;12
"150710 São Caetano de Odivelas";-;1;2;-;-;-;-;-;-;-;-;-;3
"150715 São Domingos do Araguaia";7;27;12;3;8;9;4;38;13;5;-;-;126
"150720 São Domingos do Capim";1;-;2;1;-;-;-;-;-;-;-;-;4
"150730 São Félix do Xingu";26;45;31;15;6;8;3;-;-;-;-;-;134
"150740 São Francisco do Pará";-;1;1;3;1;-;-;-;-;-;-;-;6
"150745 São Geraldo do Araguaia";13;21;6;14;15;14;6;5;3;1;-;1;99
"150746 São João da Ponta";-;4;1;-;-;-;-;-;-;-;-;-;5
"150747 São João de Pirabas";8;9;2;-;1;1;1;3;-;-;-;-;25
"150750 São João do Araguaia";1;2;1;9;9;7;12;14;7;12;26;6;106
"150760 São Miguel do Guamá";-;4;-;2;-;-;-;1;2;-;-;-;9
"150770 São Sebastião da Boa Vista";3;1;-;1;1;-;-;-;-;-;-;-;6
"150775 Sapucaia";-;-;-;-;-;-;-;-;-;-;7;84;91
"150780 Senador José Porfírio";2;-;9;5;1;1;3;2;-;-;-;-;23
"150790 Soure";2;4;11;11;1;3;-;-;-;-;-;-;32
"150795 Tailândia";3;7;2;1;2;3;1;1;-;-;-;-;20
"150796 Terra Alta";-;2;-;-;-;-;-;-;1;-;-;-;3
"150800 Tomé-Açu";17;55;16;2;-;-;-;-;2;-;-;-;92
"150803 Tracuateua";4;4;11;3;1;5;8;5;-;-;-;-;41
"150805 Trairão";3;-;5;1;-;-;-;-;-;-;-;-;9
