"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";1;2;7;1;10;7;2;2;-;-;-;2;34
"210010 Afonso Cunha";3;-;4;6;16;5;1;-;-;-;-;1;36
"210015 Água Doce do Maranhão";-;-;-;-;-;1;-;-;-;-;-;-;1
"210030 Aldeias Altas";-;-;3;3;6;12;2;-;-;-;-;-;26
"210040 Altamira do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;1
"210043 Alto Alegre do Maranhão";-;-;3;-;-;-;-;-;-;-;-;-;3
"210047 Alto Alegre do Pindaré";1;-;2;4;3;1;1;-;-;-;-;-;12
"210050 Alto Parnaíba";1;-;1;-;-;-;-;-;-;-;-;-;2
"210055 Amapá do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210060 Amarante do Maranhão";-;-;1;-;1;-;-;-;-;-;-;-;2
"210070 Anajatuba";-;-;1;1;-;-;-;-;-;-;-;-;2
"210080 Anapurus";-;-;1;-;-;-;-;-;-;-;-;-;1
"210083 Apicum-Açu";-;2;-;-;-;-;-;-;-;-;-;-;2
"210087 Araguanã";-;-;-;-;-;1;-;-;-;-;-;-;1
"210095 Arame";-;-;-;2;2;-;-;-;-;-;-;-;4
"210110 Axixá";-;-;1;-;-;-;-;-;-;-;-;-;1
"210120 Bacabal";-;-;1;3;-;-;-;1;-;-;-;-;5
"210140 Balsas";4;6;12;10;3;3;-;-;1;1;-;1;41
"210150 Barão de Grajaú";2;1;1;1;3;-;3;5;9;3;4;2;34
"210160 Barra do Corda";4;4;23;16;8;3;1;2;1;-;-;1;63
"210170 Barreirinhas";1;-;-;2;-;-;-;1;-;-;-;-;4
"210177 Bela Vista do Maranhão";-;-;-;1;-;-;-;-;-;-;-;-;1
"210190 Bequimão";-;-;-;-;-;-;1;-;-;-;-;-;1
"210193 Bernardo do Mearim";1;-;-;-;2;-;-;-;-;-;-;-;3
"210197 Boa Vista do Gurupi";-;-;7;3;-;-;-;-;-;-;-;2;12
"210200 Bom Jardim";2;1;2;1;-;-;-;-;-;-;-;-;6
"210203 Bom Jesus das Selvas";-;2;-;3;4;-;-;-;-;-;-;-;9
"210210 Brejo";-;-;-;-;1;-;2;-;-;-;-;-;3
"210215 Brejo de Areia";-;-;1;-;1;-;-;-;-;-;-;-;2
"210220 Buriti";1;-;3;-;-;-;-;-;-;-;-;-;4
"210230 Buriti Bravo";1;1;28;20;26;10;8;-;-;-;1;1;96
"210232 Buriticupu";1;-;3;-;2;-;-;-;-;-;-;-;6
"210235 Buritirana";1;-;-;-;-;-;-;-;-;-;-;-;1
"210237 Cachoeira Grande";-;1;2;2;-;-;-;-;-;-;-;-;5
"210250 Cajari";-;-;-;-;-;1;-;-;-;-;-;-;1
"210255 Campestre do Maranhão";1;-;1;1;1;-;-;-;-;-;-;-;4
"210275 Capinzal do Norte";-;3;4;1;7;-;-;-;-;-;-;-;15
"210280 Carolina";3;4;6;3;4;-;-;-;-;-;-;-;20
"210290 Carutapera";-;-;3;3;4;-;-;-;-;-;-;-;10
"210300 Caxias";6;7;43;8;15;7;3;1;1;-;-;-;91
"210320 Chapadinha";1;-;4;8;-;-;1;1;-;-;-;-;15
"210325 Cidelândia";-;-;6;-;-;-;-;1;1;-;-;-;8
"210330 Codó";-;-;4;1;1;1;-;-;-;-;-;-;7
"210340 Coelho Neto";-;-;-;-;1;-;-;-;-;-;-;-;1
"210350 Colinas";6;1;5;-;3;-;-;1;-;1;-;-;17
"210355 Conceição do Lago-Açu";-;-;-;-;1;-;-;-;-;-;-;-;1
"210360 Coroatá";-;-;8;8;4;3;2;-;-;-;-;-;25
"210375 Davinópolis";-;3;-;-;-;-;-;-;-;-;-;-;3
"210390 Duque Bacelar";-;1;1;3;-;4;-;-;-;-;-;-;9
"210400 Esperantinópolis";-;2;3;5;14;-;-;-;-;-;-;-;24
"210405 Estreito";-;-;1;1;6;-;-;-;-;-;-;-;8
"210409 Formosa da Serra Negra";-;-;2;2;2;-;-;-;-;-;-;-;6
"210410 Fortaleza dos Nogueiras";-;-;1;-;-;1;1;-;-;-;-;-;3
"210420 Fortuna";-;1;-;-;-;-;1;-;-;-;-;-;2
"210440 Gonçalves Dias";-;-;1;6;13;-;-;-;-;-;-;-;20
"210450 Governador Archer";-;-;-;-;3;-;-;-;-;-;-;-;3
"210455 Governador Edison Lobão";-;-;2;1;1;2;-;1;-;-;-;-;7
"210460 Governador Eugênio Barros";-;1;9;1;1;1;-;-;-;-;-;-;13
"210462 Governador Luiz Rocha";-;6;8;-;-;-;-;-;-;-;-;-;14
"210467 Governador Nunes Freire";-;-;-;-;1;-;-;-;-;-;-;-;1
"210480 Grajaú";-;-;2;-;2;-;-;-;-;1;-;-;5
"210490 Guimarães";-;-;1;-;-;-;-;-;-;-;-;-;1
"210500 Humberto de Campos";2;3;4;6;1;-;1;-;-;-;-;-;17
"210510 Icatu";-;-;2;-;-;-;-;-;-;-;-;-;2
"210515 Igarapé do Meio";-;-;3;-;-;-;-;-;-;-;-;-;3
"210520 Igarapé Grande";-;-;-;-;1;-;-;-;-;-;-;-;1
"210530 Imperatriz";20;65;80;46;32;17;2;-;-;-;-;-;262
"210535 Itaipava do Grajaú";-;-;-;1;-;-;-;-;-;-;-;-;1
"210540 Itapecuru Mirim";-;-;1;-;-;-;-;-;-;-;-;-;1
"210542 Itinga do Maranhão";5;6;17;6;1;-;-;1;-;-;-;-;36
"210547 Jenipapo dos Vieiras";-;-;1;1;-;-;-;-;-;-;-;-;2
"210550 João Lisboa";-;1;2;-;1;-;-;-;-;-;-;-;4
"210560 Joselândia";1;4;4;5;6;9;2;1;-;-;-;-;32
"210565 Junco do Maranhão";-;1;-;2;-;-;-;-;-;-;-;-;3
"210570 Lago da Pedra";2;5;94;2;1;2;-;12;17;1;1;1;138
"210580 Lago do Junco";-;-;-;1;12;13;3;-;-;-;-;1;30
"210590 Lago Verde";-;1;-;-;-;-;-;-;-;-;-;-;1
"210596 Lagoa Grande do Maranhão";3;-;1;5;5;-;-;-;-;-;-;-;14
"210598 Lajeado Novo";-;1;7;-;5;-;-;-;-;-;-;-;13
"210600 Lima Campos";-;-;-;-;3;-;-;-;-;-;-;-;3
"210610 Loreto";-;6;-;-;4;-;-;-;-;-;-;-;10
"210630 Magalhães de Almeida";-;-;4;-;-;-;-;-;-;-;-;-;4
"210660 Matões";-;-;-;5;4;1;-;-;-;-;-;-;10
"210667 Milagres do Maranhão";-;1;1;-;-;-;-;-;-;-;-;-;2
"210670 Mirador";8;4;-;-;-;-;-;-;-;-;-;-;12
"210675 Miranda do Norte";4;-;3;2;2;1;-;1;-;-;-;-;13
"210690 Monção";-;-;2;-;-;-;-;-;-;-;-;-;2
"210700 Montes Altos";1;1;-;2;-;-;-;-;-;-;-;1;5
"210710 Morros";-;8;11;2;8;5;1;-;-;-;-;-;35
"210720 Nina Rodrigues";1;-;-;-;-;-;-;-;-;-;-;-;1
"210725 Nova Colinas";-;-;1;-;-;1;-;-;-;1;-;-;3
"210740 Olho d'Água das Cunhãs";-;-;-;-;1;-;-;-;-;-;-;-;1
"210750 Paço do Lumiar";2;5;-;-;2;3;-;-;2;-;-;-;14
"210770 Paraibano";2;7;2;5;28;3;-;3;2;-;-;-;52
"210780 Parnarama";6;1;3;1;-;-;3;-;-;-;-;-;14
"210800 Pastos Bons";1;-;-;1;-;1;-;-;-;-;-;-;3
"210810 Paulo Ramos";-;-;1;-;-;-;-;-;-;-;-;-;1
"210820 Pedreiras";1;4;14;33;49;7;1;1;-;1;2;2;115
"210845 Peritoró";-;-;1;-;2;-;-;1;1;-;-;-;5
"210850 Pindaré-Mirim";-;1;5;3;-;-;-;-;-;-;-;-;9
"210870 Pio XII";1;5;7;1;5;1;-;-;-;-;-;-;20
"210880 Pirapemas";-;-;-;1;5;1;-;-;-;-;-;-;7
"210890 Poção de Pedras";1;3;1;-;2;1;-;-;-;-;-;-;8
"210900 Porto Franco";1;1;2;-;4;3;2;-;1;-;-;-;14
"210910 Presidente Dutra";-;1;1;3;7;4;-;1;-;-;-;-;17
"210920 Presidente Juscelino";1;-;-;-;-;-;-;-;-;-;-;-;1
"210927 Presidente Sarney";-;1;-;1;-;-;-;-;-;-;-;-;2
"210930 Presidente Vargas";-;1;-;-;-;-;-;-;-;-;-;1;2
"210940 Primeira Cruz";-;-;-;-;2;-;-;-;-;-;-;-;2
"210945 Raposa";-;-;-;1;-;2;-;-;-;-;-;-;3
"210950 Riachão";-;-;-;-;2;2;-;-;-;-;-;-;4
"210960 Rosário";-;-;-;-;-;1;-;-;-;-;-;-;1
"210970 Sambaíba";-;-;-;-;3;-;-;-;-;-;-;-;3
"210975 Santa Filomena do Maranhão";-;3;9;7;10;6;-;-;-;-;-;-;35
"210980 Santa Helena";-;-;1;-;-;-;-;-;-;-;-;-;1
"210990 Santa Inês";-;2;4;9;6;2;-;-;-;-;-;-;23
"211000 Santa Luzia";5;7;8;4;1;2;-;-;-;-;-;-;27
"211003 Santa Luzia do Paruá";-;-;6;1;1;-;-;-;-;-;-;-;8
"211010 Santa Quitéria do Maranhão";1;-;3;3;4;3;3;1;1;-;-;-;19
"211020 Santa Rita";-;-;-;-;1;-;-;-;-;-;-;1;2
"211030 Santo Antônio dos Lopes";1;5;-;13;1;-;-;-;-;-;-;-;20
"211060 São Bernardo";1;-;4;-;1;2;-;-;-;1;-;-;9
"211070 São Domingos do Maranhão";2;-;1;1;-;1;-;1;1;-;-;-;7
"211085 São Francisco do Brejão";2;4;1;1;-;-;-;-;-;-;-;-;8
"211090 São Francisco do Maranhão";-;7;7;2;8;5;-;2;-;-;-;-;31
"211105 São João do Paraíso";-;1;1;-;-;-;-;-;-;-;-;-;2
"211110 São João dos Patos";1;2;9;11;15;5;1;1;-;-;-;-;45
"211120 São José de Ribamar";1;-;-;1;1;1;1;-;-;-;1;-;6
"211125 São José dos Basílios";-;-;2;-;3;2;-;-;-;-;-;-;7
"211130 São Luís";8;9;14;12;7;6;4;2;-;2;2;-;66
"211150 São Mateus do Maranhão";-;-;-;-;1;-;-;-;-;-;-;-;1
"211153 São Pedro da Água Branca";7;1;-;-;-;-;-;-;-;-;-;-;8
"211163 São Raimundo do Doca Bezerra";-;-;1;-;3;-;-;-;-;-;-;-;4
"211167 São Roberto";-;3;2;-;1;-;-;-;-;-;-;-;6
"211174 Senador Alexandre Costa";-;-;1;-;1;-;-;-;-;-;-;-;2
"211176 Senador La Rocque";-;-;3;-;2;-;-;-;-;-;-;-;5
"211180 Sítio Novo";-;-;1;-;-;-;-;-;-;-;-;-;1
"211195 Sucupira do Riachão";-;-;-;-;-;2;1;-;-;-;-;-;3
"211200 Tasso Fragoso";2;-;-;4;1;-;-;1;-;-;-;-;8
"211210 Timbiras";-;-;-;-;2;3;-;-;-;-;-;-;5
"211220 Timon";5;6;26;20;11;6;1;10;-;-;-;-;85
"211223 Trizidela do Vale";-;-;1;2;7;2;1;-;7;10;1;1;32
"211230 Tuntum";8;8;1;1;17;-;-;-;-;-;-;-;35
"211250 Tutóia";-;-;1;2;-;-;-;-;-;-;-;-;3
"211260 Urbano Santos";-;-;1;-;-;-;-;-;-;-;-;-;1
"211270 Vargem Grande";-;1;1;-;1;-;2;1;-;-;-;-;6
"211300 Vitorino Freire";-;-;-;2;-;2;-;-;-;-;-;1;5
"211400 Zé Doca";-;7;17;6;3;2;1;1;1;-;-;-;38
"Total";148;253;624;369;479;193;59;57;46;22;12;19;2281
