"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";-;7;1;-;-;-;-;-;-;-;1;-;9
"210010 Afonso Cunha";-;-;-;-;-;1;1;-;-;-;-;-;2
"210015 Água Doce do Maranhão";-;1;3;2;-;8;-;2;-;-;-;1;17
"210030 Aldeias Altas";1;1;3;6;2;1;-;-;-;-;-;-;14
"210043 Alto Alegre do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210047 Alto Alegre do Pindaré";4;-;2;1;-;1;-;-;-;-;-;-;8
"210050 Alto Parnaíba";17;40;20;1;1;1;-;1;-;-;-;-;81
"210055 Amapá do Maranhão";-;-;-;-;-;2;-;-;-;-;-;-;2
"210060 Amarante do Maranhão";2;-;-;-;-;-;-;-;-;-;-;1;3
"210080 Anapurus";-;1;-;-;2;9;-;-;-;-;1;-;13
"210083 Apicum-Açu";-;-;8;5;14;1;-;-;-;-;-;-;28
"210087 Araguanã";-;9;-;-;-;-;-;-;-;-;-;-;9
"210090 Araioses";2;-;-;-;3;18;34;12;1;1;-;-;71
"210095 Arame";3;5;9;1;-;1;-;-;-;-;-;-;19
"210100 Arari";-;1;-;-;-;-;-;-;-;-;-;-;1
"210120 Bacabal";2;8;50;17;7;2;-;2;-;-;-;-;88
"210125 Bacabeira";1;-;3;2;-;1;2;1;-;-;-;-;10
"210130 Bacuri";-;-;-;-;-;-;-;-;-;-;-;1;1
"210140 Balsas";28;6;3;3;-;3;2;-;-;-;1;1;47
"210150 Barão de Grajaú";13;13;3;6;1;-;-;1;-;-;-;-;37
"210160 Barra do Corda";17;50;25;12;9;13;2;1;1;2;3;-;135
"210170 Barreirinhas";1;1;1;-;-;-;-;1;-;1;-;-;5
"210177 Bela Vista do Maranhão";-;-;1;-;1;-;-;-;-;-;-;-;2
"210173 Belágua";-;-;-;-;-;-;-;1;-;-;-;-;1
"210190 Bequimão";1;4;4;6;5;-;3;3;-;-;-;-;26
"210193 Bernardo do Mearim";-;-;-;1;-;1;-;-;-;-;-;-;2
"210197 Boa Vista do Gurupi";-;-;-;3;-;-;-;-;-;-;-;-;3
"210200 Bom Jardim";6;18;32;29;15;-;1;-;-;-;-;1;102
"210203 Bom Jesus das Selvas";1;2;-;1;1;-;-;-;-;-;-;-;5
"210207 Bom Lugar";-;-;-;1;-;-;-;-;-;-;-;-;1
"210210 Brejo";6;15;4;4;12;16;1;1;-;4;1;1;65
"210230 Buriti Bravo";-;2;-;5;4;1;-;-;-;-;-;-;12
"210232 Buriticupu";-;-;-;1;-;-;-;-;-;-;-;-;1
"210235 Buritirana";-;-;-;-;-;-;-;-;-;2;-;-;2
"210237 Cachoeira Grande";-;-;-;-;-;-;-;-;1;-;-;-;1
"210255 Campestre do Maranhão";-;-;2;-;1;-;-;-;-;-;-;-;3
"210260 Cândido Mendes";-;-;-;-;-;-;-;-;5;4;-;1;10
"210270 Cantanhede";-;1;-;1;-;2;-;-;-;-;-;-;4
"210275 Capinzal do Norte";4;1;4;5;2;-;-;-;-;-;-;-;16
"210280 Carolina";5;2;-;3;2;1;-;-;1;1;-;6;21
"210290 Carutapera";1;5;-;3;7;22;19;9;3;-;-;-;69
"210300 Caxias";17;26;52;71;60;12;3;2;1;1;2;2;249
"210317 Centro Novo do Maranhão";-;-;-;-;-;-;-;16;1;-;-;-;17
"210320 Chapadinha";4;17;20;5;4;9;-;-;-;-;-;-;59
"210325 Cidelândia";2;4;-;-;-;-;-;-;1;-;-;1;8
"210330 Codó";1;1;3;1;2;-;-;-;1;-;-;1;10
"210340 Coelho Neto";8;8;19;2;5;-;-;1;-;-;-;1;44
"210350 Colinas";5;2;1;-;-;4;-;1;-;-;-;-;13
"210360 Coroatá";-;1;13;5;-;-;-;-;-;-;-;1;20
"210370 Cururupu";-;1;-;4;2;1;-;-;-;-;-;-;8
"210375 Davinópolis";1;5;5;3;1;1;-;-;1;-;1;-;18
"210380 Dom Pedro";1;5;48;6;3;-;-;-;-;-;-;-;63
"210390 Duque Bacelar";1;3;2;-;2;-;-;-;-;-;-;1;9
"210400 Esperantinópolis";2;1;-;-;-;-;-;-;-;-;-;2;5
"210405 Estreito";2;10;22;14;4;7;-;-;-;1;-;1;61
"210407 Feira Nova do Maranhão";1;15;9;7;2;1;-;-;-;-;1;11;47
"210409 Formosa da Serra Negra";4;-;-;-;-;-;-;-;-;-;-;-;4
"210410 Fortaleza dos Nogueiras";-;2;-;-;-;-;-;-;-;-;-;-;2
"210420 Fortuna";9;4;3;4;1;-;-;-;1;-;-;-;22
"210430 Godofredo Viana";-;-;-;-;-;-;1;2;-;-;-;-;3
"210440 Gonçalves Dias";3;1;13;1;-;2;-;-;-;-;-;-;20
"210450 Governador Archer";8;25;17;10;1;1;-;-;-;-;-;-;62
"210455 Governador Edison Lobão";-;-;1;-;1;1;1;-;-;-;-;1;5
"210460 Governador Eugênio Barros";25;2;1;-;-;1;-;-;-;-;-;1;30
"210462 Governador Luiz Rocha";-;-;-;-;-;-;-;-;-;-;-;1;1
"210465 Governador Newton Bello";1;5;-;-;-;-;-;-;-;-;-;-;6
"210467 Governador Nunes Freire";3;1;-;-;-;-;-;-;-;-;-;-;4
"210470 Graça Aranha";2;6;-;1;2;-;1;-;-;-;-;-;12
"210480 Grajaú";-;2;5;-;1;5;6;-;-;-;1;1;21
"210500 Humberto de Campos";2;4;2;1;2;-;3;-;6;7;2;-;29
"210510 Icatu";1;-;-;-;-;-;-;-;-;-;-;-;1
