"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";-;2;6;3;-;-;-;-;-;-;-;-;11
"210020 Alcântara";2;19;1;-;-;-;-;-;-;-;-;-;22
"210030 Aldeias Altas";-;-;1;2;1;-;-;-;-;-;-;-;4
"210047 Alto Alegre do Pindaré";2;-;-;-;-;1;2;-;-;-;-;-;5
"210050 Alto Parnaíba";2;9;7;5;1;4;-;-;-;-;1;4;33
"210060 Amarante do Maranhão";2;18;6;2;2;-;-;-;-;-;-;-;30
"210070 Anajatuba";-;1;-;1;-;-;-;-;-;-;-;-;2
"210087 Araguanã";-;5;12;13;55;7;-;-;-;-;-;-;92
"210090 Araioses";1;-;5;-;-;1;-;-;-;-;-;-;7
"210095 Arame";-;2;35;23;13;2;-;1;-;-;-;-;76
"210110 Axixá";3;6;10;5;2;2;-;-;-;-;-;-;28
"210120 Bacabal";4;10;23;119;44;3;-;-;-;-;-;-;203
"210125 Bacabeira";-;1;5;5;1;-;1;-;-;-;-;-;13
"210130 Bacuri";-;-;-;-;-;1;-;-;-;-;-;-;1
"210140 Balsas";12;28;199;1020;175;9;-;-;1;1;2;1;1448
"210150 Barão de Grajaú";-;-;1;2;3;7;-;-;-;-;-;-;13
"210160 Barra do Corda";944;2558;1639;582;114;15;70;52;48;60;104;166;6352
"210170 Barreirinhas";-;-;-;-;-;-;1;-;-;-;-;-;1
"210177 Bela Vista do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210173 Belágua";-;-;5;-;-;-;-;-;-;-;-;-;5
"210190 Bequimão";-;1;9;56;15;15;14;14;11;2;-;3;140
"210193 Bernardo do Mearim";-;-;1;2;-;1;-;-;-;-;-;-;4
"210200 Bom Jardim";6;9;7;17;23;14;13;27;5;8;4;2;135
"210203 Bom Jesus das Selvas";1;75;401;39;-;-;-;-;-;-;-;-;516
"210210 Brejo";-;-;15;6;1;-;-;-;-;-;-;-;22
"210215 Brejo de Areia";-;-;-;-;-;-;1;-;-;-;-;1;2
"210230 Buriti Bravo";-;56;151;1;1;-;-;-;-;-;-;-;209
"210232 Buriticupu";-;10;2;-;2;-;-;-;-;-;-;-;14
"210235 Buritirana";-;-;7;2;-;-;1;-;-;-;-;-;10
"210237 Cachoeira Grande";-;-;-;-;-;-;-;1;-;-;-;-;1
"210255 Campestre do Maranhão";28;51;32;20;3;5;4;1;-;-;-;1;145
"210270 Cantanhede";3;49;2;1;-;-;-;-;-;-;3;3;61
"210280 Carolina";1;12;12;10;18;21;7;2;-;1;1;-;85
"210300 Caxias";1;52;183;194;98;7;-;1;-;1;2;-;539
"210315 Centro do Guilherme";-;-;-;-;-;-;1;-;-;-;-;-;1
"210320 Chapadinha";223;209;32;28;184;16;-;-;-;-;-;1;693
"210325 Cidelândia";-;3;6;1;-;-;-;-;-;-;-;-;10
"210330 Codó";-;-;-;2;2;2;-;-;-;-;-;-;6
